Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2021-07-06-eerstekamer-12	ParlaMint-NL_2021-07-06-eerstekamer-12.u1	Report of the meeting of the Dutch Upper House, Meeting 44, Session 12 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 12	Meeting 44	Sitting 2021-07-06	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2021-07-06-eerstekamer-12	ParlaMint-NL_2021-07-06-eerstekamer-12.u2	Report of the meeting of the Dutch Upper House, Meeting 44, Session 12 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 12	Meeting 44	Sitting 2021-07-06	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2021-07-06-eerstekamer-12	ParlaMint-NL_2021-07-06-eerstekamer-12.u3	Report of the meeting of the Dutch Upper House, Meeting 44, Session 12 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 12	Meeting 44	Sitting 2021-07-06	-	COVID	English	Guest	notMP	notMinister	50PLUS	50PLUS	-	Centre	MartinvanRooijen	van Rooijen, Martin	M	1942	
ParlaMint-NL-en_2021-07-06-eerstekamer-12	ParlaMint-NL_2021-07-06-eerstekamer-12.u4	Report of the meeting of the Dutch Upper House, Meeting 44, Session 12 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 12	Meeting 44	Sitting 2021-07-06	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2021-07-06-eerstekamer-12	ParlaMint-NL_2021-07-06-eerstekamer-12.u5	Report of the meeting of the Dutch Upper House, Meeting 44, Session 12 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 12	Meeting 44	Sitting 2021-07-06	-	COVID	English	Guest	notMP	notMinister	50PLUS	50PLUS	-	Centre	MartinvanRooijen	van Rooijen, Martin	M	1942	
ParlaMint-NL-en_2021-07-06-eerstekamer-12	ParlaMint-NL_2021-07-06-eerstekamer-12.u6	Report of the meeting of the Dutch Upper House, Meeting 44, Session 12 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 12	Meeting 44	Sitting 2021-07-06	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2021-07-06-eerstekamer-12	ParlaMint-NL_2021-07-06-eerstekamer-12.u7	Report of the meeting of the Dutch Upper House, Meeting 44, Session 12 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 12	Meeting 44	Sitting 2021-07-06	-	COVID	English	Guest	notMP	notMinister	50PLUS	50PLUS	-	Centre	MartinvanRooijen	van Rooijen, Martin	M	1942	
ParlaMint-NL-en_2021-07-06-eerstekamer-12	ParlaMint-NL_2021-07-06-eerstekamer-12.u8	Report of the meeting of the Dutch Upper House, Meeting 44, Session 12 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 12	Meeting 44	Sitting 2021-07-06	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2021-07-06-eerstekamer-12	ParlaMint-NL_2021-07-06-eerstekamer-12.u9	Report of the meeting of the Dutch Upper House, Meeting 44, Session 12 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 12	Meeting 44	Sitting 2021-07-06	-	COVID	English	Guest	notMP	notMinister	50PLUS	50PLUS	-	Centre	MartinvanRooijen	van Rooijen, Martin	M	1942	
ParlaMint-NL-en_2021-07-06-eerstekamer-12	ParlaMint-NL_2021-07-06-eerstekamer-12.u10	Report of the meeting of the Dutch Upper House, Meeting 44, Session 12 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 12	Meeting 44	Sitting 2021-07-06	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2021-07-06-eerstekamer-12	ParlaMint-NL_2021-07-06-eerstekamer-12.u11	Report of the meeting of the Dutch Upper House, Meeting 44, Session 12 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 12	Meeting 44	Sitting 2021-07-06	-	COVID	English	Guest	MP	notMinister	D66	Democraten 66	-	Centre	HansVijlbrief	Vijlbrief, Hans	M	1963	
