Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GB-en_2016-10-27-commons	ParlaMint-GB_2016-10-27-commons.u1	Minutes of the House of Commons, Daily Session 2016-10-27	2016-10-27	Lower house	56	-	2016-10-27	2016-10-27	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-GB-en_2016-10-27-commons	ParlaMint-GB_2016-10-27-commons.u2	Minutes of the House of Commons, Daily Session 2016-10-27	2016-10-27	Lower house	56	-	2016-10-27	2016-10-27	-	Reference	English	Regular	MP	notMinister	LAB	Labour	Opposition	Centre-left	ChinyeluOnwurah	Onwurah, Chinyelu Susan	F	-	
ParlaMint-GB-en_2016-10-27-commons	ParlaMint-GB_2016-10-27-commons.u3	Minutes of the House of Commons, Daily Session 2016-10-27	2016-10-27	Lower house	56	-	2016-10-27	2016-10-27	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	RobertBuckland	Buckland, Robert James	M	-	
ParlaMint-GB-en_2016-10-27-commons	ParlaMint-GB_2016-10-27-commons.u4	Minutes of the House of Commons, Daily Session 2016-10-27	2016-10-27	Lower house	56	-	2016-10-27	2016-10-27	-	Reference	English	Regular	MP	notMinister	LAB	Labour	Opposition	Centre-left	ChinyeluOnwurah	Onwurah, Chinyelu Susan	F	-	
ParlaMint-GB-en_2016-10-27-commons	ParlaMint-GB_2016-10-27-commons.u5	Minutes of the House of Commons, Daily Session 2016-10-27	2016-10-27	Lower house	56	-	2016-10-27	2016-10-27	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	RobertBuckland	Buckland, Robert James	M	-	
ParlaMint-GB-en_2016-10-27-commons	ParlaMint-GB_2016-10-27-commons.u6	Minutes of the House of Commons, Daily Session 2016-10-27	2016-10-27	Lower house	56	-	2016-10-27	2016-10-27	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	MariaMiller	Miller, Maria Frances Lewis	F	-	
ParlaMint-GB-en_2016-10-27-commons	ParlaMint-GB_2016-10-27-commons.u7	Minutes of the House of Commons, Daily Session 2016-10-27	2016-10-27	Lower house	56	-	2016-10-27	2016-10-27	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	RobertBuckland	Buckland, Robert James	M	-	
ParlaMint-GB-en_2016-10-27-commons	ParlaMint-GB_2016-10-27-commons.u8	Minutes of the House of Commons, Daily Session 2016-10-27	2016-10-27	Lower house	56	-	2016-10-27	2016-10-27	-	Reference	English	Regular	MP	notMinister	LAB	Labour	Opposition	Centre-left	BarrySheerman	Sheerman, Barry John	M	-	
ParlaMint-GB-en_2016-10-27-commons	ParlaMint-GB_2016-10-27-commons.u9	Minutes of the House of Commons, Daily Session 2016-10-27	2016-10-27	Lower house	56	-	2016-10-27	2016-10-27	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	RobertBuckland	Buckland, Robert James	M	-	
ParlaMint-GB-en_2016-10-27-commons	ParlaMint-GB_2016-10-27-commons.u10	Minutes of the House of Commons, Daily Session 2016-10-27	2016-10-27	Lower house	56	-	2016-10-27	2016-10-27	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	DavidDavies	Davies, David Thomas Charles	M	-	
ParlaMint-GB-en_2016-10-27-commons	ParlaMint-GB_2016-10-27-commons.u11	Minutes of the House of Commons, Daily Session 2016-10-27	2016-10-27	Lower house	56	-	2016-10-27	2016-10-27	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	RobertBuckland	Buckland, Robert James	M	-	
ParlaMint-GB-en_2016-10-27-commons	ParlaMint-GB_2016-10-27-commons.u12	Minutes of the House of Commons, Daily Session 2016-10-27	2016-10-27	Lower house	56	-	2016-10-27	2016-10-27	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	FionaBruce	Bruce, Fiona Claire	F	-	
ParlaMint-GB-en_2016-10-27-commons	ParlaMint-GB_2016-10-27-commons.u13	Minutes of the House of Commons, Daily Session 2016-10-27	2016-10-27	Lower house	56	-	2016-10-27	2016-10-27	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	JeremyWright	Wright, Jeremy Paul	M	-	
ParlaMint-GB-en_2016-10-27-commons	ParlaMint-GB_2016-10-27-commons.u14	Minutes of the House of Commons, Daily Session 2016-10-27	2016-10-27	Lower house	56	-	2016-10-27	2016-10-27	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	FionaBruce	Bruce, Fiona Claire	F	-	
ParlaMint-GB-en_2016-10-27-commons	ParlaMint-GB_2016-10-27-commons.u15	Minutes of the House of Commons, Daily Session 2016-10-27	2016-10-27	Lower house	56	-	2016-10-27	2016-10-27	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	JeremyWright	Wright, Jeremy Paul	M	-	
ParlaMint-GB-en_2016-10-27-commons	ParlaMint-GB_2016-10-27-commons.u16	Minutes of the House of Commons, Daily Session 2016-10-27	2016-10-27	Lower house	56	-	2016-10-27	2016-10-27	-	Reference	English	Regular	MP	notMinister	DUP	Democratic Unionist Party	-	Right	RichardShannon	Shannon, Richard James	M	-	
ParlaMint-GB-en_2016-10-27-commons	ParlaMint-GB_2016-10-27-commons.u17	Minutes of the House of Commons, Daily Session 2016-10-27	2016-10-27	Lower house	56	-	2016-10-27	2016-10-27	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	JeremyWright	Wright, Jeremy Paul	M	-	
