Session,Date,Left,Centre,Right
ParlaMint-NL-en_2014-04-16-tweedekamer-2-meta.tsv,2014-04-16,1,1,2
ParlaMint-NL-en_2014-04-16-tweedekamer-3-meta.tsv,2014-04-16,3,1,4
ParlaMint-NL-en_2014-04-16-tweedekamer-5-meta.tsv,2014-04-16,3,1,5
ParlaMint-NL-en_2014-04-16-tweedekamer-6-meta.tsv,2014-04-16,5,1,6
ParlaMint-NL-en_2014-04-16-tweedekamer-7-meta.tsv,2014-04-16,3,1,7
ParlaMint-NL-en_2014-12-09-tweedekamer-2-meta.tsv,2014-12-09,2,0,3
ParlaMint-NL-en_2014-12-09-tweedekamer-3-meta.tsv,2014-12-09,1,0,4
ParlaMint-NL-en_2014-12-09-tweedekamer-32-meta.tsv,2014-12-09,2,1,4
ParlaMint-NL-en_2014-12-09-tweedekamer-33-meta.tsv,2014-12-09,1,0,3
ParlaMint-NL-en_2014-12-09-tweedekamer-34-meta.tsv,2014-12-09,1,0,3
ParlaMint-NL-en_2014-12-09-tweedekamer-35-meta.tsv,2014-12-09,2,1,7
ParlaMint-NL-en_2014-12-09-tweedekamer-4-meta.tsv,2014-12-09,2,0,2
ParlaMint-NL-en_2014-12-09-tweedekamer-5-meta.tsv,2014-12-09,1,0,4
ParlaMint-NL-en_2014-12-09-tweedekamer-6-meta.tsv,2014-12-09,2,2,2
ParlaMint-NL-en_2014-12-09-tweedekamer-8-meta.tsv,2014-12-09,17,6,25
ParlaMint-NL-en_2014-12-09-tweedekamer-9-meta.tsv,2014-12-09,1,0,3
ParlaMint-NL-en_2014-12-10-tweedekamer-3-meta.tsv,2014-12-10,2,1,4
ParlaMint-NL-en_2014-12-10-tweedekamer-5-meta.tsv,2014-12-10,5,2,3
ParlaMint-NL-en_2014-12-10-tweedekamer-6-meta.tsv,2014-12-10,2,1,6
ParlaMint-NL-en_2014-12-10-tweedekamer-7-meta.tsv,2014-12-10,2,0,3
ParlaMint-NL-en_2014-12-11-tweedekamer-10-meta.tsv,2014-12-11,4,1,5
ParlaMint-NL-en_2014-12-11-tweedekamer-3-meta.tsv,2014-12-11,5,2,5
ParlaMint-NL-en_2014-12-11-tweedekamer-5-meta.tsv,2014-12-11,2,0,5
ParlaMint-NL-en_2014-12-11-tweedekamer-6-meta.tsv,2014-12-11,3,1,4
ParlaMint-NL-en_2014-12-11-tweedekamer-9-meta.tsv,2014-12-11,2,1,5
ParlaMint-NL-en_2014-12-15-eerstekamer-3-meta.tsv,2014-12-15,5,1,4
ParlaMint-NL-en_2014-12-15-eerstekamer-4-meta.tsv,2014-12-15,3,2,5
ParlaMint-NL-en_2014-12-15-eerstekamer-5-meta.tsv,2014-12-15,3,2,4
ParlaMint-NL-en_2014-12-16-eerstekamer-10-meta.tsv,2014-12-16,4,1,4
ParlaMint-NL-en_2014-12-16-eerstekamer-11-meta.tsv,2014-12-16,3,2,6
ParlaMint-NL-en_2014-12-16-eerstekamer-12-meta.tsv,2014-12-16,4,2,4
ParlaMint-NL-en_2014-12-16-eerstekamer-2-meta.tsv,2014-12-16,3,1,4
ParlaMint-NL-en_2014-12-16-eerstekamer-3-meta.tsv,2014-12-16,5,1,3
ParlaMint-NL-en_2014-12-16-eerstekamer-7-meta.tsv,2014-12-16,2,1,3
ParlaMint-NL-en_2014-12-16-tweedekamer-19-meta.tsv,2014-12-16,2,1,4
ParlaMint-NL-en_2014-12-16-tweedekamer-2-meta.tsv,2014-12-16,1,0,2
ParlaMint-NL-en_2014-12-16-tweedekamer-20-meta.tsv,2014-12-16,3,1,6
ParlaMint-NL-en_2014-12-16-tweedekamer-21-meta.tsv,2014-12-16,2,1,4
ParlaMint-NL-en_2014-12-16-tweedekamer-3-meta.tsv,2014-12-16,3,1,6
ParlaMint-NL-en_2014-12-16-tweedekamer-4-meta.tsv,2014-12-16,2,1,2
ParlaMint-NL-en_2014-12-16-tweedekamer-5-meta.tsv,2014-12-16,4,1,3
ParlaMint-NL-en_2014-12-16-tweedekamer-7-meta.tsv,2014-12-16,12,5,20
ParlaMint-NL-en_2014-12-16-tweedekamer-8-meta.tsv,2014-12-16,3,1,2
ParlaMint-NL-en_2014-12-17-tweedekamer-10-meta.tsv,2014-12-17,3,1,7
ParlaMint-NL-en_2014-12-17-tweedekamer-11-meta.tsv,2014-12-17,4,1,7
ParlaMint-NL-en_2014-12-17-tweedekamer-14-meta.tsv,2014-12-17,1,0,7
ParlaMint-NL-en_2014-12-17-tweedekamer-15-meta.tsv,2014-12-17,1,1,2
ParlaMint-NL-en_2014-12-17-tweedekamer-16-meta.tsv,2014-12-17,2,0,1
ParlaMint-NL-en_2014-12-17-tweedekamer-17-meta.tsv,2014-12-17,4,1,6
ParlaMint-NL-en_2014-12-17-tweedekamer-18-meta.tsv,2014-12-17,2,0,4
ParlaMint-NL-en_2014-12-17-tweedekamer-19-meta.tsv,2014-12-17,2,1,4
ParlaMint-NL-en_2014-12-17-tweedekamer-3-meta.tsv,2014-12-17,1,1,2
ParlaMint-NL-en_2014-12-17-tweedekamer-4-meta.tsv,2014-12-17,2,1,4
ParlaMint-NL-en_2014-12-17-tweedekamer-5-meta.tsv,2014-12-17,4,2,8
ParlaMint-NL-en_2014-12-17-tweedekamer-6-meta.tsv,2014-12-17,3,0,3
ParlaMint-NL-en_2014-12-17-tweedekamer-7-meta.tsv,2014-12-17,3,2,5
ParlaMint-NL-en_2014-12-17-tweedekamer-9-meta.tsv,2014-12-17,3,1,6
ParlaMint-NL-en_2014-12-18-tweedekamer-10-meta.tsv,2014-12-18,2,0,5
ParlaMint-NL-en_2014-12-18-tweedekamer-11-meta.tsv,2014-12-18,2,0,3
ParlaMint-NL-en_2014-12-18-tweedekamer-13-meta.tsv,2014-12-18,9,2,15
ParlaMint-NL-en_2014-12-18-tweedekamer-14-meta.tsv,2014-12-18,4,1,2
ParlaMint-NL-en_2014-12-18-tweedekamer-15-meta.tsv,2014-12-18,3,0,1
ParlaMint-NL-en_2014-12-18-tweedekamer-16-meta.tsv,2014-12-18,4,0,3
ParlaMint-NL-en_2014-12-18-tweedekamer-17-meta.tsv,2014-12-18,1,0,2
ParlaMint-NL-en_2014-12-18-tweedekamer-18-meta.tsv,2014-12-18,1,0,2
ParlaMint-NL-en_2014-12-18-tweedekamer-19-meta.tsv,2014-12-18,1,0,2
ParlaMint-NL-en_2014-12-18-tweedekamer-20-meta.tsv,2014-12-18,2,0,3
ParlaMint-NL-en_2014-12-18-tweedekamer-21-meta.tsv,2014-12-18,2,0,1
ParlaMint-NL-en_2014-12-18-tweedekamer-22-meta.tsv,2014-12-18,2,0,2
ParlaMint-NL-en_2014-12-18-tweedekamer-23-meta.tsv,2014-12-18,2,1,3
ParlaMint-NL-en_2014-12-18-tweedekamer-24-meta.tsv,2014-12-18,0,1,3
ParlaMint-NL-en_2014-12-18-tweedekamer-25-meta.tsv,2014-12-18,1,0,2
ParlaMint-NL-en_2014-12-18-tweedekamer-26-meta.tsv,2014-12-18,1,0,2
ParlaMint-NL-en_2014-12-18-tweedekamer-27-meta.tsv,2014-12-18,2,0,4
ParlaMint-NL-en_2014-12-18-tweedekamer-28-meta.tsv,2014-12-18,2,0,2
ParlaMint-NL-en_2014-12-18-tweedekamer-3-meta.tsv,2014-12-18,4,1,5
ParlaMint-NL-en_2014-12-18-tweedekamer-6-meta.tsv,2014-12-18,5,0,5
ParlaMint-NL-en_2014-12-18-tweedekamer-7-meta.tsv,2014-12-18,5,1,3
ParlaMint-NL-en_2014-12-18-tweedekamer-71-meta.tsv,2014-12-18,4,2,9
ParlaMint-NL-en_2014-12-18-tweedekamer-8-meta.tsv,2014-12-18,4,1,4
ParlaMint-NL-en_2014-12-18-tweedekamer-9-meta.tsv,2014-12-18,1,0,4
ParlaMint-NL-en_2014-12-22-eerstekamer-3-meta.tsv,2014-12-22,3,1,3
ParlaMint-NL-en_2014-12-22-eerstekamer-4-meta.tsv,2014-12-22,4,1,4
ParlaMint-NL-en_2015-01-13-eerstekamer-3-meta.tsv,2015-01-13,3,1,7
ParlaMint-NL-en_2015-01-13-tweedekamer-2-meta.tsv,2015-01-13,4,1,5
ParlaMint-NL-en_2015-01-13-tweedekamer-3-meta.tsv,2015-01-13,2,0,2
ParlaMint-NL-en_2015-01-13-tweedekamer-4-meta.tsv,2015-01-13,2,1,5
ParlaMint-NL-en_2015-01-13-tweedekamer-5-meta.tsv,2015-01-13,0,0,3
ParlaMint-NL-en_2015-01-13-tweedekamer-7-meta.tsv,2015-01-13,0,0,0
ParlaMint-NL-en_2015-01-13-tweedekamer-8-meta.tsv,2015-01-13,12,3,19
ParlaMint-NL-en_2015-01-13-tweedekamer-9-meta.tsv,2015-01-13,4,1,7
ParlaMint-NL-en_2015-01-14-tweedekamer-3-meta.tsv,2015-01-14,2,1,5
ParlaMint-NL-en_2015-01-14-tweedekamer-5-meta.tsv,2015-01-14,5,2,8
ParlaMint-NL-en_2015-01-14-tweedekamer-6-meta.tsv,2015-01-14,5,1,6
ParlaMint-NL-en_2015-01-14-tweedekamer-7-meta.tsv,2015-01-14,5,2,9
ParlaMint-NL-en_2015-01-15-tweedekamer-3-meta.tsv,2015-01-15,3,1,4
ParlaMint-NL-en_2015-01-15-tweedekamer-4-meta.tsv,2015-01-15,2,1,4
ParlaMint-NL-en_2015-01-15-tweedekamer-5-meta.tsv,2015-01-15,3,0,6
ParlaMint-NL-en_2015-01-20-eerstekamer-3-meta.tsv,2015-01-20,4,1,6
ParlaMint-NL-en_2015-01-20-eerstekamer-8-meta.tsv,2015-01-20,5,1,5
ParlaMint-NL-en_2015-01-20-tweedekamer-19-meta.tsv,2015-01-20,4,1,3
ParlaMint-NL-en_2015-01-20-tweedekamer-2-meta.tsv,2015-01-20,3,1,3
ParlaMint-NL-en_2015-01-20-tweedekamer-20-meta.tsv,2015-01-20,3,1,5
ParlaMint-NL-en_2015-01-20-tweedekamer-21-meta.tsv,2015-01-20,2,1,6
ParlaMint-NL-en_2015-01-20-tweedekamer-3-meta.tsv,2015-01-20,0,1,3
ParlaMint-NL-en_2015-01-20-tweedekamer-4-meta.tsv,2015-01-20,1,1,4
ParlaMint-NL-en_2015-01-20-tweedekamer-5-meta.tsv,2015-01-20,1,1,5
ParlaMint-NL-en_2015-01-20-tweedekamer-7-meta.tsv,2015-01-20,22,5,32
ParlaMint-NL-en_2015-01-21-tweedekamer-10-meta.tsv,2015-01-21,2,1,6
ParlaMint-NL-en_2015-01-21-tweedekamer-3-meta.tsv,2015-01-21,3,0,1
ParlaMint-NL-en_2015-01-21-tweedekamer-4-meta.tsv,2015-01-21,2,1,7
ParlaMint-NL-en_2015-01-21-tweedekamer-6-meta.tsv,2015-01-21,8,2,10
ParlaMint-NL-en_2015-01-21-tweedekamer-9-meta.tsv,2015-01-21,2,1,5
ParlaMint-NL-en_2015-01-22-tweedekamer-10-meta.tsv,2015-01-22,3,1,5
ParlaMint-NL-en_2015-01-22-tweedekamer-11-meta.tsv,2015-01-22,3,1,4
ParlaMint-NL-en_2015-01-22-tweedekamer-3-meta.tsv,2015-01-22,2,1,2
ParlaMint-NL-en_2015-01-22-tweedekamer-4-meta.tsv,2015-01-22,2,1,6
ParlaMint-NL-en_2015-01-22-tweedekamer-7-meta.tsv,2015-01-22,7,4,13
ParlaMint-NL-en_2015-01-22-tweedekamer-8-meta.tsv,2015-01-22,3,2,4
ParlaMint-NL-en_2015-01-22-tweedekamer-9-meta.tsv,2015-01-22,1,0,2
ParlaMint-NL-en_2015-01-27-tweedekamer-2-meta.tsv,2015-01-27,3,1,3
ParlaMint-NL-en_2015-01-27-tweedekamer-26-meta.tsv,2015-01-27,2,1,6
ParlaMint-NL-en_2015-01-27-tweedekamer-3-meta.tsv,2015-01-27,1,1,5
ParlaMint-NL-en_2015-01-27-tweedekamer-4-meta.tsv,2015-01-27,1,2,2
ParlaMint-NL-en_2015-01-27-tweedekamer-5-meta.tsv,2015-01-27,1,0,2
ParlaMint-NL-en_2015-01-27-tweedekamer-6-meta.tsv,2015-01-27,3,0,4
ParlaMint-NL-en_2015-01-27-tweedekamer-8-meta.tsv,2015-01-27,13,6,22
ParlaMint-NL-en_2015-01-28-tweedekamer-10-meta.tsv,2015-01-28,3,1,6
ParlaMint-NL-en_2015-01-28-tweedekamer-11-meta.tsv,2015-01-28,3,2,5
ParlaMint-NL-en_2015-01-28-tweedekamer-3-meta.tsv,2015-01-28,4,1,4
ParlaMint-NL-en_2015-01-28-tweedekamer-4-meta.tsv,2015-01-28,3,0,5
ParlaMint-NL-en_2015-01-28-tweedekamer-6-meta.tsv,2015-01-28,8,3,10
ParlaMint-NL-en_2015-01-28-tweedekamer-7-meta.tsv,2015-01-28,2,1,3
ParlaMint-NL-en_2015-01-28-tweedekamer-9-meta.tsv,2015-01-28,3,0,5
ParlaMint-NL-en_2015-01-29-tweedekamer-10-meta.tsv,2015-01-29,3,1,4
ParlaMint-NL-en_2015-01-29-tweedekamer-11-meta.tsv,2015-01-29,2,1,6
ParlaMint-NL-en_2015-01-29-tweedekamer-12-meta.tsv,2015-01-29,2,0,3
ParlaMint-NL-en_2015-01-29-tweedekamer-13-meta.tsv,2015-01-29,2,1,6
ParlaMint-NL-en_2015-01-29-tweedekamer-3-meta.tsv,2015-01-29,2,1,5
ParlaMint-NL-en_2015-01-29-tweedekamer-5-meta.tsv,2015-01-29,9,5,17
ParlaMint-NL-en_2015-02-03-eerstekamer-4-meta.tsv,2015-02-03,0,0,1
ParlaMint-NL-en_2015-02-03-tweedekamer-2-meta.tsv,2015-02-03,2,1,4
ParlaMint-NL-en_2015-02-03-tweedekamer-24-meta.tsv,2015-02-03,3,0,3
ParlaMint-NL-en_2015-02-03-tweedekamer-25-meta.tsv,2015-02-03,3,1,5
ParlaMint-NL-en_2015-02-03-tweedekamer-26-meta.tsv,2015-02-03,0,1,5
ParlaMint-NL-en_2015-02-03-tweedekamer-27-meta.tsv,2015-02-03,2,0,5
ParlaMint-NL-en_2015-02-03-tweedekamer-3-meta.tsv,2015-02-03,2,0,5
ParlaMint-NL-en_2015-02-03-tweedekamer-4-meta.tsv,2015-02-03,3,0,2
ParlaMint-NL-en_2015-02-03-tweedekamer-5-meta.tsv,2015-02-03,2,1,1
ParlaMint-NL-en_2015-02-03-tweedekamer-7-meta.tsv,2015-02-03,24,9,32
ParlaMint-NL-en_2015-02-04-tweedekamer-10-meta.tsv,2015-02-04,3,0,5
ParlaMint-NL-en_2015-02-04-tweedekamer-3-meta.tsv,2015-02-04,3,2,3
ParlaMint-NL-en_2015-02-04-tweedekamer-4-meta.tsv,2015-02-04,4,1,3
ParlaMint-NL-en_2015-02-04-tweedekamer-6-meta.tsv,2015-02-04,8,3,14
ParlaMint-NL-en_2015-02-04-tweedekamer-7-meta.tsv,2015-02-04,3,1,4
ParlaMint-NL-en_2015-02-04-tweedekamer-8-meta.tsv,2015-02-04,3,2,6
ParlaMint-NL-en_2015-02-04-tweedekamer-9-meta.tsv,2015-02-04,2,1,6
ParlaMint-NL-en_2015-02-05-tweedekamer-4-meta.tsv,2015-02-05,2,1,6
ParlaMint-NL-en_2015-02-05-tweedekamer-6-meta.tsv,2015-02-05,2,1,4
ParlaMint-NL-en_2015-02-05-tweedekamer-7-meta.tsv,2015-02-05,3,1,7
ParlaMint-NL-en_2015-02-05-tweedekamer-8-meta.tsv,2015-02-05,3,1,4
ParlaMint-NL-en_2015-02-05-tweedekamer-9-meta.tsv,2015-02-05,2,1,6
ParlaMint-NL-en_2015-02-10-eerstekamer-6-meta.tsv,2015-02-10,3,1,3
ParlaMint-NL-en_2015-02-10-tweedekamer-2-meta.tsv,2015-02-10,1,1,5
ParlaMint-NL-en_2015-02-10-tweedekamer-24-meta.tsv,2015-02-10,2,1,3
ParlaMint-NL-en_2015-02-10-tweedekamer-25-meta.tsv,2015-02-10,3,1,4
ParlaMint-NL-en_2015-02-10-tweedekamer-3-meta.tsv,2015-02-10,2,0,3
ParlaMint-NL-en_2015-02-10-tweedekamer-4-meta.tsv,2015-02-10,0,1,3
ParlaMint-NL-en_2015-02-10-tweedekamer-5-meta.tsv,2015-02-10,3,1,2
ParlaMint-NL-en_2015-02-10-tweedekamer-7-meta.tsv,2015-02-10,15,5,23
ParlaMint-NL-en_2015-02-11-tweedekamer-3-meta.tsv,2015-02-11,4,1,8
ParlaMint-NL-en_2015-02-11-tweedekamer-5-meta.tsv,2015-02-11,9,1,14
ParlaMint-NL-en_2015-02-11-tweedekamer-7-meta.tsv,2015-02-11,4,1,9
ParlaMint-NL-en_2015-02-11-tweedekamer-8-meta.tsv,2015-02-11,2,1,7
ParlaMint-NL-en_2015-02-12-tweedekamer-10-meta.tsv,2015-02-12,3,1,6
ParlaMint-NL-en_2015-02-12-tweedekamer-11-meta.tsv,2015-02-12,5,1,7
ParlaMint-NL-en_2015-02-12-tweedekamer-12-meta.tsv,2015-02-12,2,0,2
ParlaMint-NL-en_2015-02-12-tweedekamer-5-meta.tsv,2015-02-12,3,1,4
ParlaMint-NL-en_2015-02-12-tweedekamer-6-meta.tsv,2015-02-12,1,1,1
ParlaMint-NL-en_2015-02-12-tweedekamer-7-meta.tsv,2015-02-12,2,1,7
ParlaMint-NL-en_2015-02-12-tweedekamer-8-meta.tsv,2015-02-12,5,1,6
ParlaMint-NL-en_2015-02-24-eerstekamer-3-meta.tsv,2015-02-24,0,0,1
ParlaMint-NL-en_2015-02-24-tweedekamer-2-meta.tsv,2015-02-24,3,1,2
ParlaMint-NL-en_2015-02-24-tweedekamer-3-meta.tsv,2015-02-24,3,1,3
ParlaMint-NL-en_2015-02-24-tweedekamer-4-meta.tsv,2015-02-24,0,1,5
ParlaMint-NL-en_2015-02-24-tweedekamer-5-meta.tsv,2015-02-24,2,1,2
ParlaMint-NL-en_2015-02-24-tweedekamer-6-meta.tsv,2015-02-24,0,0,1
ParlaMint-NL-en_2015-02-24-tweedekamer-8-meta.tsv,2015-02-24,31,10,40
ParlaMint-NL-en_2015-02-25-tweedekamer-3-meta.tsv,2015-02-25,2,1,3
ParlaMint-NL-en_2015-02-25-tweedekamer-4-meta.tsv,2015-02-25,4,1,6
ParlaMint-NL-en_2015-02-25-tweedekamer-6-meta.tsv,2015-02-25,15,4,15
ParlaMint-NL-en_2015-02-25-tweedekamer-7-meta.tsv,2015-02-25,3,2,4
ParlaMint-NL-en_2015-02-25-tweedekamer-8-meta.tsv,2015-02-25,4,1,8
ParlaMint-NL-en_2015-02-26-tweedekamer-10-meta.tsv,2015-02-26,2,1,2
ParlaMint-NL-en_2015-02-26-tweedekamer-11-meta.tsv,2015-02-26,4,1,6
ParlaMint-NL-en_2015-02-26-tweedekamer-3-meta.tsv,2015-02-26,2,1,5
ParlaMint-NL-en_2015-02-26-tweedekamer-5-meta.tsv,2015-02-26,13,3,18
ParlaMint-NL-en_2015-02-26-tweedekamer-8-meta.tsv,2015-02-26,4,1,7
ParlaMint-NL-en_2015-02-26-tweedekamer-9-meta.tsv,2015-02-26,3,0,3
ParlaMint-NL-en_2015-03-03-eerstekamer-3-meta.tsv,2015-03-03,4,1,5
