Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-RS-en_2017-05-31-0	ParlaMint-RS_2017-05-31-0.u17259	Term 11, Meeting p7	2017-05-31	Unicameralism	11. mandat	-	Zasedanje p7	2017-05-31	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	GojkovićMaja	Gojković, Maja	F	1963	
ParlaMint-RS-en_2017-05-31-0	ParlaMint-RS_2017-05-31-0.u17261	Term 11, Meeting p7	2017-05-31	Unicameralism	11. mandat	-	Zasedanje p7	2017-05-31	-	Reference	English	Regular	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	VučićAleksandar	Vučić, Aleksandar	M	1970	
ParlaMint-RS-en_2017-05-31-0	ParlaMint-RS_2017-05-31-0.u17262	Term 11, Meeting p7	2017-05-31	Unicameralism	11. mandat	-	Zasedanje p7	2017-05-31	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	GojkovićMaja	Gojković, Maja	F	1963	
ParlaMint-RS-en_2017-05-31-0	ParlaMint-RS_2017-05-31-0.u17263	Term 11, Meeting p7	2017-05-31	Unicameralism	11. mandat	-	Zasedanje p7	2017-05-31	-	Reference	English	Regular	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	VučićAleksandar	Vučić, Aleksandar	M	1970	
ParlaMint-RS-en_2017-05-31-0	ParlaMint-RS_2017-05-31-0.u17264	Term 11, Meeting p7	2017-05-31	Unicameralism	11. mandat	-	Zasedanje p7	2017-05-31	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	GojkovićMaja	Gojković, Maja	F	1963	
