Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2011-12-31-0	ParlaMint-BA_2011-12-31-0.u976	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 10	2011-12-31	Unicameralism	6. mandat	-	Sjednica 10	2011-12-31	-	Reference	English	Chairperson	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	TadićOgnjen	Tadić, Ognjen	M	1974	
ParlaMint-BA-en_2011-12-31-0	ParlaMint-BA_2011-12-31-0.u979	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 10	2011-12-31	Unicameralism	6. mandat	-	Sjednica 10	2011-12-31	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MerdžoJosip	Merdžo, Josip	U	-	
ParlaMint-BA-en_2011-12-31-0	ParlaMint-BA_2011-12-31-0.u980	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 10	2011-12-31	Unicameralism	6. mandat	-	Sjednica 10	2011-12-31	-	Reference	English	Chairperson	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	TadićOgnjen	Tadić, Ognjen	M	1974	
