Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2011-06-29-0	ParlaMint-BA_2011-06-29-0.u46	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 02	2011-06-29	Unicameralism	6. mandat	-	Sjednica 02	2011-06-29	-	Reference	English	Chairperson	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	TadićOgnjen	Tadić, Ognjen	M	1974	
ParlaMint-BA-en_2011-06-29-0	ParlaMint-BA_2011-06-29-0.u54	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 02	2011-06-29	Unicameralism	6. mandat	-	Sjednica 02	2011-06-29	-	Reference	English	Regular	MP	notMinister	PDP	Partija demokratskog progresa	Opposition	Centre to centre-right	IvanićMladen	Ivanić, Mladen	M	1958	
ParlaMint-BA-en_2011-06-29-0	ParlaMint-BA_2011-06-29-0.u55	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 02	2011-06-29	Unicameralism	6. mandat	-	Sjednica 02	2011-06-29	-	Reference	English	Chairperson	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	TadićOgnjen	Tadić, Ognjen	M	1974	
ParlaMint-BA-en_2011-06-29-0	ParlaMint-BA_2011-06-29-0.u56	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 02	2011-06-29	Unicameralism	6. mandat	-	Sjednica 02	2011-06-29	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	VukojeMarin	Vukoje, Marin	U	-	
ParlaMint-BA-en_2011-06-29-0	ParlaMint-BA_2011-06-29-0.u57	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 02	2011-06-29	Unicameralism	6. mandat	-	Sjednica 02	2011-06-29	-	Reference	English	Chairperson	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	TadićOgnjen	Tadić, Ognjen	M	1974	
ParlaMint-BA-en_2011-06-29-0	ParlaMint-BA_2011-06-29-0.u58	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 02	2011-06-29	Unicameralism	6. mandat	-	Sjednica 02	2011-06-29	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	VukojeMarin	Vukoje, Marin	U	-	
ParlaMint-BA-en_2011-06-29-0	ParlaMint-BA_2011-06-29-0.u59	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 02	2011-06-29	Unicameralism	6. mandat	-	Sjednica 02	2011-06-29	-	Reference	English	Chairperson	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	TadićOgnjen	Tadić, Ognjen	M	1974	
