Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2011-12-28-0	ParlaMint-BA_2011-12-28-0.u946	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 09	2011-12-28	Unicameralism	6. mandat	-	Sjednica 09	2011-12-28	-	Reference	English	Chairperson	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	TadićOgnjen	Tadić, Ognjen	M	1974	
ParlaMint-BA-en_2011-12-28-0	ParlaMint-BA_2011-12-28-0.u955	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 09	2011-12-28	Unicameralism	6. mandat	-	Sjednica 09	2011-12-28	-	Reference	English	Regular	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	ČovićDragan	Čović, Dragan	M	1956	
ParlaMint-BA-en_2011-12-28-0	ParlaMint-BA_2011-12-28-0.u956	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 09	2011-12-28	Unicameralism	6. mandat	-	Sjednica 09	2011-12-28	-	Reference	English	Chairperson	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	TadićOgnjen	Tadić, Ognjen	M	1974	
ParlaMint-BA-en_2011-12-28-0	ParlaMint-BA_2011-12-28-0.u957	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 09	2011-12-28	Unicameralism	6. mandat	-	Sjednica 09	2011-12-28	-	Reference	English	Regular	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	ČovićDragan	Čović, Dragan	M	1956	
ParlaMint-BA-en_2011-12-28-0	ParlaMint-BA_2011-12-28-0.u958	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 09	2011-12-28	Unicameralism	6. mandat	-	Sjednica 09	2011-12-28	-	Reference	English	Chairperson	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	TadićOgnjen	Tadić, Ognjen	M	1974	
ParlaMint-BA-en_2011-12-28-0	ParlaMint-BA_2011-12-28-0.u959	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 09	2011-12-28	Unicameralism	6. mandat	-	Sjednica 09	2011-12-28	-	Reference	English	Regular	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Coalition	Centre-left	BradarićMehmed	Bradarić, Mehmed	M	1958	
ParlaMint-BA-en_2011-12-28-0	ParlaMint-BA_2011-12-28-0.u960	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 09	2011-12-28	Unicameralism	6. mandat	-	Sjednica 09	2011-12-28	-	Reference	English	Chairperson	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	TadićOgnjen	Tadić, Ognjen	M	1974	
ParlaMint-BA-en_2011-12-28-0	ParlaMint-BA_2011-12-28-0.u961	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 09	2011-12-28	Unicameralism	6. mandat	-	Sjednica 09	2011-12-28	-	Reference	English	Regular	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	SimićKrstan	Simić, Krstan	M	1948	
ParlaMint-BA-en_2011-12-28-0	ParlaMint-BA_2011-12-28-0.u962	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 09	2011-12-28	Unicameralism	6. mandat	-	Sjednica 09	2011-12-28	-	Reference	English	Chairperson	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	TadićOgnjen	Tadić, Ognjen	M	1974	
ParlaMint-BA-en_2011-12-28-0	ParlaMint-BA_2011-12-28-0.u963	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 09	2011-12-28	Unicameralism	6. mandat	-	Sjednica 09	2011-12-28	-	Reference	English	Regular	MP	notMinister	DNS	Demokratski narodni savez	Opposition	Centre-right	RodićDragutin	Rodić, Dragutin	M	1958	
ParlaMint-BA-en_2011-12-28-0	ParlaMint-BA_2011-12-28-0.u964	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 09	2011-12-28	Unicameralism	6. mandat	-	Sjednica 09	2011-12-28	-	Reference	English	Chairperson	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	TadićOgnjen	Tadić, Ognjen	M	1974	
ParlaMint-BA-en_2011-12-28-0	ParlaMint-BA_2011-12-28-0.u965	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 09	2011-12-28	Unicameralism	6. mandat	-	Sjednica 09	2011-12-28	-	Reference	English	Regular	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	KošaracStaša	Košarac, Staša	M	1975	
ParlaMint-BA-en_2011-12-28-0	ParlaMint-BA_2011-12-28-0.u966	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 09	2011-12-28	Unicameralism	6. mandat	-	Sjednica 09	2011-12-28	-	Reference	English	Chairperson	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	TadićOgnjen	Tadić, Ognjen	M	1974	
ParlaMint-BA-en_2011-12-28-0	ParlaMint-BA_2011-12-28-0.u967	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 09	2011-12-28	Unicameralism	6. mandat	-	Sjednica 09	2011-12-28	-	Reference	English	Regular	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	KošaracStaša	Košarac, Staša	M	1975	
ParlaMint-BA-en_2011-12-28-0	ParlaMint-BA_2011-12-28-0.u968	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 09	2011-12-28	Unicameralism	6. mandat	-	Sjednica 09	2011-12-28	-	Reference	English	Chairperson	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	TadićOgnjen	Tadić, Ognjen	M	1974	
ParlaMint-BA-en_2011-12-28-0	ParlaMint-BA_2011-12-28-0.u969	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 09	2011-12-28	Unicameralism	6. mandat	-	Sjednica 09	2011-12-28	-	Reference	English	Regular	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	KošaracStaša	Košarac, Staša	M	1975	
