Session,Date,Male,Female
ParlaMint-PL-en_2015-11-12-sejm-01-1-meta.tsv,2015-11-12,333,124
ParlaMint-PL-en_2015-11-12-senat-01-1-meta.tsv,2015-11-12,11,0
ParlaMint-PL-en_2015-11-13-sejm-01-2-meta.tsv,2015-11-13,15,1
ParlaMint-PL-en_2015-11-13-senat-01-2-meta.tsv,2015-11-13,20,4
ParlaMint-PL-en_2015-11-16-sejm-01-3-meta.tsv,2015-11-16,14,4
ParlaMint-PL-en_2015-11-18-sejm-01-4-meta.tsv,2015-11-18,94,30
ParlaMint-PL-en_2015-11-18-senat-02-1-meta.tsv,2015-11-18,24,2
ParlaMint-PL-en_2015-11-19-sejm-01-5-meta.tsv,2015-11-19,25,5
ParlaMint-PL-en_2015-11-19-senat-02-2-meta.tsv,2015-11-19,31,5
ParlaMint-PL-en_2015-11-20-senat-02-3-meta.tsv,2015-11-20,7,0
ParlaMint-PL-en_2015-11-25-sejm-02-1-meta.tsv,2015-11-25,64,33
ParlaMint-PL-en_2015-11-26-sejm-02-2-meta.tsv,2015-11-26,35,13
ParlaMint-PL-en_2015-11-26-senat-03-1-meta.tsv,2015-11-26,31,3
ParlaMint-PL-en_2015-12-02-sejm-03-1-meta.tsv,2015-12-02,80,33
ParlaMint-PL-en_2015-12-09-sejm-04-1-meta.tsv,2015-12-09,70,29
ParlaMint-PL-en_2015-12-10-sejm-04-2-meta.tsv,2015-12-10,63,17
ParlaMint-PL-en_2015-12-10-senat-04-1-meta.tsv,2015-12-10,20,1
ParlaMint-PL-en_2015-12-15-sejm-05-1-meta.tsv,2015-12-15,74,26
ParlaMint-PL-en_2015-12-16-sejm-05-2-meta.tsv,2015-12-16,94,49
ParlaMint-PL-en_2015-12-17-sejm-05-3-meta.tsv,2015-12-17,85,35
ParlaMint-PL-en_2015-12-17-senat-05-1-meta.tsv,2015-12-17,36,5
ParlaMint-PL-en_2015-12-18-senat-05-2-meta.tsv,2015-12-18,29,3
ParlaMint-PL-en_2015-12-21-sejm-06-1-meta.tsv,2015-12-21,63,21
ParlaMint-PL-en_2015-12-22-sejm-06-2-meta.tsv,2015-12-22,102,43
ParlaMint-PL-en_2015-12-22-senat-06-1-meta.tsv,2015-12-22,33,1
ParlaMint-PL-en_2015-12-23-senat-06-2-meta.tsv,2015-12-23,53,4
ParlaMint-PL-en_2015-12-29-sejm-07-1-meta.tsv,2015-12-29,137,67
ParlaMint-PL-en_2015-12-30-sejm-07-2-meta.tsv,2015-12-30,67,38
ParlaMint-PL-en_2015-12-30-senat-07-1-meta.tsv,2015-12-30,48,7
ParlaMint-PL-en_2015-12-31-senat-07-2-meta.tsv,2015-12-31,40,4
ParlaMint-PL-en_2016-01-13-sejm-08-1-meta.tsv,2016-01-13,67,39
ParlaMint-PL-en_2016-01-13-senat-08-1-meta.tsv,2016-01-13,26,2
ParlaMint-PL-en_2016-01-14-sejm-08-2-meta.tsv,2016-01-14,86,46
ParlaMint-PL-en_2016-01-15-sejm-08-3-meta.tsv,2016-01-15,37,16
ParlaMint-PL-en_2016-01-27-sejm-09-1-meta.tsv,2016-01-27,73,38
