Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2010-08-25-024-XXIV-NRSITZ-00076	ParlaMint-AT_2010-08-25-024-XXIV-NRSITZ-00076_d7e398	Sitting Number 76, Legislative period XXIV, Wednesday, 25. August 2010	2010-08-25	Lower house	Legislative period XXIV	-	-	Sitting 76	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
ParlaMint-AT-en_2010-08-25-024-XXIV-NRSITZ-00076	ParlaMint-AT_2010-08-25-024-XXIV-NRSITZ-00076_d7e429	Sitting Number 76, Legislative period XXIV, Wednesday, 25. August 2010	2010-08-25	Lower house	Legislative period XXIV	-	-	Sitting 76	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
ParlaMint-AT-en_2010-08-25-024-XXIV-NRSITZ-00076	ParlaMint-AT_2010-08-25-024-XXIV-NRSITZ-00076_d7e597	Sitting Number 76, Legislative period XXIV, Wednesday, 25. August 2010	2010-08-25	Lower house	Legislative period XXIV	-	-	Sitting 76	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
