Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2010-10-22-024-XXIV-NRSITZ-00082	ParlaMint-AT_2010-10-22-024-XXIV-NRSITZ-00082_d7e376	Sitting Number 82, Legislative period XXIV, Friday, 22. October 2010	2010-10-22	Lower house	Legislative period XXIV	-	-	Sitting 82	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2010-10-22-024-XXIV-NRSITZ-00082	ParlaMint-AT_2010-10-22-024-XXIV-NRSITZ-00082_d7e407	Sitting Number 82, Legislative period XXIV, Friday, 22. October 2010	2010-10-22	Lower house	Legislative period XXIV	-	-	Sitting 82	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2010-10-22-024-XXIV-NRSITZ-00082	ParlaMint-AT_2010-10-22-024-XXIV-NRSITZ-00082_d7e639	Sitting Number 82, Legislative period XXIV, Friday, 22. October 2010	2010-10-22	Lower house	Legislative period XXIV	-	-	Sitting 82	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
