Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2010-11-17-024-XXIV-NRSITZ-00084	ParlaMint-AT_2010-11-17-024-XXIV-NRSITZ-00084_d7e437	Sitting Number 84, Legislative period XXIV, Wednesday, 17. November 2010	2010-11-17	Lower house	Legislative period XXIV	-	-	Sitting 84	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2010-11-17-024-XXIV-NRSITZ-00084	ParlaMint-AT_2010-11-17-024-XXIV-NRSITZ-00084_d7e468	Sitting Number 84, Legislative period XXIV, Wednesday, 17. November 2010	2010-11-17	Lower house	Legislative period XXIV	-	-	Sitting 84	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2010-11-17-024-XXIV-NRSITZ-00084	ParlaMint-AT_2010-11-17-024-XXIV-NRSITZ-00084_d7e675	Sitting Number 84, Legislative period XXIV, Wednesday, 17. November 2010	2010-11-17	Lower house	Legislative period XXIV	-	-	Sitting 84	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
