Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2010-06-17-024-XXIV-NRSITZ-00071	ParlaMint-AT_2010-06-17-024-XXIV-NRSITZ-00071_d7e427	Sitting Number 71, Legislative period XXIV, Thursday, 17. June 2010	2010-06-17	Lower house	Legislative period XXIV	-	-	Sitting 71	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
ParlaMint-AT-en_2010-06-17-024-XXIV-NRSITZ-00071	ParlaMint-AT_2010-06-17-024-XXIV-NRSITZ-00071_d7e461	Sitting Number 71, Legislative period XXIV, Thursday, 17. June 2010	2010-06-17	Lower house	Legislative period XXIV	-	-	Sitting 71	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
ParlaMint-AT-en_2010-06-17-024-XXIV-NRSITZ-00071	ParlaMint-AT_2010-06-17-024-XXIV-NRSITZ-00071_d7e644	Sitting Number 71, Legislative period XXIV, Thursday, 17. June 2010	2010-06-17	Lower house	Legislative period XXIV	-	-	Sitting 71	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
