Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2010-03-25-024-XXIV-NRSITZ-00058	ParlaMint-AT_2010-03-25-024-XXIV-NRSITZ-00058_d7e474	Sitting Number 58, Legislative period XXIV, Thursday, 25. March 2010	2010-03-25	Lower house	Legislative period XXIV	-	-	Sitting 58	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2010-03-25-024-XXIV-NRSITZ-00058	ParlaMint-AT_2010-03-25-024-XXIV-NRSITZ-00058_d7e505	Sitting Number 58, Legislative period XXIV, Thursday, 25. March 2010	2010-03-25	Lower house	Legislative period XXIV	-	-	Sitting 58	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2010-03-25-024-XXIV-NRSITZ-00058	ParlaMint-AT_2010-03-25-024-XXIV-NRSITZ-00058_d7e924	Sitting Number 58, Legislative period XXIV, Thursday, 25. March 2010	2010-03-25	Lower house	Legislative period XXIV	-	-	Sitting 58	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
