Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2010-05-20-024-XXIV-NRSITZ-00068	ParlaMint-AT_2010-05-20-024-XXIV-NRSITZ-00068_d7e455	Sitting Number 68, Legislative period XXIV, Thursday, 20. May 2010	2010-05-20	Lower house	Legislative period XXIV	-	-	Sitting 68	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2010-05-20-024-XXIV-NRSITZ-00068	ParlaMint-AT_2010-05-20-024-XXIV-NRSITZ-00068_d7e486	Sitting Number 68, Legislative period XXIV, Thursday, 20. May 2010	2010-05-20	Lower house	Legislative period XXIV	-	-	Sitting 68	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2010-05-20-024-XXIV-NRSITZ-00068	ParlaMint-AT_2010-05-20-024-XXIV-NRSITZ-00068_d7e876	Sitting Number 68, Legislative period XXIV, Thursday, 20. May 2010	2010-05-20	Lower house	Legislative period XXIV	-	-	Sitting 68	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
