Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2010-11-30-024-XXIV-NRSITZ-00087	ParlaMint-AT_2010-11-30-024-XXIV-NRSITZ-00087_d7e525	Sitting Number 87, Legislative period XXIV, Tuesday, 30. November 2010	2010-11-30	Lower house	Legislative period XXIV	-	-	Sitting 87	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
ParlaMint-AT-en_2010-11-30-024-XXIV-NRSITZ-00087	ParlaMint-AT_2010-11-30-024-XXIV-NRSITZ-00087_d7e556	Sitting Number 87, Legislative period XXIV, Tuesday, 30. November 2010	2010-11-30	Lower house	Legislative period XXIV	-	-	Sitting 87	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
ParlaMint-AT-en_2010-11-30-024-XXIV-NRSITZ-00087	ParlaMint-AT_2010-11-30-024-XXIV-NRSITZ-00087_d7e755	Sitting Number 87, Legislative period XXIV, Tuesday, 30. November 2010	2010-11-30	Lower house	Legislative period XXIV	-	-	Sitting 87	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
