Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2010-05-05-024-XXIV-NRSITZ-00065	ParlaMint-AT_2010-05-05-024-XXIV-NRSITZ-00065_d7e430	Sitting Number 65, Legislative period XXIV, Wednesday, 5. May 2010	2010-05-05	Lower house	Legislative period XXIV	-	-	Sitting 65	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2010-05-05-024-XXIV-NRSITZ-00065	ParlaMint-AT_2010-05-05-024-XXIV-NRSITZ-00065_d7e461	Sitting Number 65, Legislative period XXIV, Wednesday, 5. May 2010	2010-05-05	Lower house	Legislative period XXIV	-	-	Sitting 65	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2010-05-05-024-XXIV-NRSITZ-00065	ParlaMint-AT_2010-05-05-024-XXIV-NRSITZ-00065_d7e629	Sitting Number 65, Legislative period XXIV, Wednesday, 5. May 2010	2010-05-05	Lower house	Legislative period XXIV	-	-	Sitting 65	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
