Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2010-04-22-024-XXIV-NRSITZ-00063	ParlaMint-AT_2010-04-22-024-XXIV-NRSITZ-00063_d7e415	Sitting Number 63, Legislative period XXIV, Thursday, 22. April 2010	2010-04-22	Lower house	Legislative period XXIV	-	-	Sitting 63	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2010-04-22-024-XXIV-NRSITZ-00063	ParlaMint-AT_2010-04-22-024-XXIV-NRSITZ-00063_d7e446	Sitting Number 63, Legislative period XXIV, Thursday, 22. April 2010	2010-04-22	Lower house	Legislative period XXIV	-	-	Sitting 63	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2010-04-22-024-XXIV-NRSITZ-00063	ParlaMint-AT_2010-04-22-024-XXIV-NRSITZ-00063_d7e644	Sitting Number 63, Legislative period XXIV, Thursday, 22. April 2010	2010-04-22	Lower house	Legislative period XXIV	-	-	Sitting 63	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
