Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2010-02-24-024-XXIV-NRSITZ-00056	ParlaMint-AT_2010-02-24-024-XXIV-NRSITZ-00056_d7e379	Sitting Number 56, Legislative period XXIV, Wednesday, 24. February 2010	2010-02-24	Lower house	Legislative period XXIV	-	-	Sitting 56	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
ParlaMint-AT-en_2010-02-24-024-XXIV-NRSITZ-00056	ParlaMint-AT_2010-02-24-024-XXIV-NRSITZ-00056_d7e410	Sitting Number 56, Legislative period XXIV, Wednesday, 24. February 2010	2010-02-24	Lower house	Legislative period XXIV	-	-	Sitting 56	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
ParlaMint-AT-en_2010-02-24-024-XXIV-NRSITZ-00056	ParlaMint-AT_2010-02-24-024-XXIV-NRSITZ-00056_d7e774	Sitting Number 56, Legislative period XXIV, Wednesday, 24. February 2010	2010-02-24	Lower house	Legislative period XXIV	-	-	Sitting 56	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
