Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2010-12-01-024-XXIV-NRSITZ-00089	ParlaMint-AT_2010-12-01-024-XXIV-NRSITZ-00089_d7e416	Sitting Number 89, Legislative period XXIV, Wednesday, 1. December 2010	2010-12-01	Lower house	Legislative period XXIV	-	-	Sitting 89	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
ParlaMint-AT-en_2010-12-01-024-XXIV-NRSITZ-00089	ParlaMint-AT_2010-12-01-024-XXIV-NRSITZ-00089_d7e447	Sitting Number 89, Legislative period XXIV, Wednesday, 1. December 2010	2010-12-01	Lower house	Legislative period XXIV	-	-	Sitting 89	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
ParlaMint-AT-en_2010-12-01-024-XXIV-NRSITZ-00089	ParlaMint-AT_2010-12-01-024-XXIV-NRSITZ-00089_d7e553	Sitting Number 89, Legislative period XXIV, Wednesday, 1. December 2010	2010-12-01	Lower house	Legislative period XXIV	-	-	Sitting 89	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
