Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2010-09-22-024-XXIV-NRSITZ-00078	ParlaMint-AT_2010-09-22-024-XXIV-NRSITZ-00078_d7e352	Sitting Number 78, Legislative period XXIV, Wednesday, 22. September 2010	2010-09-22	Lower house	Legislative period XXIV	-	-	Sitting 78	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2010-09-22-024-XXIV-NRSITZ-00078	ParlaMint-AT_2010-09-22-024-XXIV-NRSITZ-00078_d7e383	Sitting Number 78, Legislative period XXIV, Wednesday, 22. September 2010	2010-09-22	Lower house	Legislative period XXIV	-	-	Sitting 78	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2010-09-22-024-XXIV-NRSITZ-00078	ParlaMint-AT_2010-09-22-024-XXIV-NRSITZ-00078_d7e652	Sitting Number 78, Legislative period XXIV, Wednesday, 22. September 2010	2010-09-22	Lower house	Legislative period XXIV	-	-	Sitting 78	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2010-09-22-024-XXIV-NRSITZ-00078	ParlaMint-AT_2010-09-22-024-XXIV-NRSITZ-00078_d7e676	Sitting Number 78, Legislative period XXIV, Wednesday, 22. September 2010	2010-09-22	Lower house	Legislative period XXIV	-	-	Sitting 78	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
