Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT-en_2014-09-11-LEG17-Senato-sed-310	ParlaMint-IT_2014-09-11-LEG17-Senato-sed-310.ana.u1	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 310, Day (2014-09-11)	2014-09-11	Upper house	17 Legislatura	-	-	310 Seduta	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2014-09-11-LEG17-Senato-sed-310	ParlaMint-IT_2014-09-11-LEG17-Senato-sed-310.ana.u2	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 310, Day (2014-09-11)	2014-09-11	Upper house	17 Legislatura	-	-	310 Seduta	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2014-09-11-LEG17-Senato-sed-310	ParlaMint-IT_2014-09-11-LEG17-Senato-sed-310.ana.u3	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 310, Day (2014-09-11)	2014-09-11	Upper house	17 Legislatura	-	-	310 Seduta	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2014-09-11-LEG17-Senato-sed-310	ParlaMint-IT_2014-09-11-LEG17-Senato-sed-310.ana.u4	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 310, Day (2014-09-11)	2014-09-11	Upper house	17 Legislatura	-	-	310 Seduta	-	Reference	English	Guest	MP	notMinister	-	-	-	-	CostaEnrico	Costa, Enrico	M	1969	
ParlaMint-IT-en_2014-09-11-LEG17-Senato-sed-310	ParlaMint-IT_2014-09-11-LEG17-Senato-sed-310.ana.u5	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 310, Day (2014-09-11)	2014-09-11	Upper house	17 Legislatura	-	-	310 Seduta	-	Reference	English	Regular	MP	notMinister	PI	Per l'Italia	Coalition	Far-right	DiBiagioAldo	Di Biagio, Aldo	M	1964	
ParlaMint-IT-en_2014-09-11-LEG17-Senato-sed-310	ParlaMint-IT_2014-09-11-LEG17-Senato-sed-310.ana.u6	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 310, Day (2014-09-11)	2014-09-11	Upper house	17 Legislatura	-	-	310 Seduta	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2014-09-11-LEG17-Senato-sed-310	ParlaMint-IT_2014-09-11-LEG17-Senato-sed-310.ana.u7	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 310, Day (2014-09-11)	2014-09-11	Upper house	17 Legislatura	-	-	310 Seduta	-	Reference	English	Regular	MP	notMinister	PI	Per l'Italia	Coalition	Far-right	DiBiagioAldo	Di Biagio, Aldo	M	1964	
ParlaMint-IT-en_2014-09-11-LEG17-Senato-sed-310	ParlaMint-IT_2014-09-11-LEG17-Senato-sed-310.ana.u8	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 310, Day (2014-09-11)	2014-09-11	Upper house	17 Legislatura	-	-	310 Seduta	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2014-09-11-LEG17-Senato-sed-310	ParlaMint-IT_2014-09-11-LEG17-Senato-sed-310.ana.u9	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 310, Day (2014-09-11)	2014-09-11	Upper house	17 Legislatura	-	-	310 Seduta	-	Reference	English	Guest	MP	notMinister	-	-	-	-	CostaEnrico	Costa, Enrico	M	1969	
ParlaMint-IT-en_2014-09-11-LEG17-Senato-sed-310	ParlaMint-IT_2014-09-11-LEG17-Senato-sed-310.ana.u10	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 310, Day (2014-09-11)	2014-09-11	Upper house	17 Legislatura	-	-	310 Seduta	-	Reference	English	Regular	MP	notMinister	PdL	Il Popolo della Libertà	-	Centre-right	ZanettinPierantonio	Zanettin, Pierantonio	M	1961	
ParlaMint-IT-en_2014-09-11-LEG17-Senato-sed-310	ParlaMint-IT_2014-09-11-LEG17-Senato-sed-310.ana.u11	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 310, Day (2014-09-11)	2014-09-11	Upper house	17 Legislatura	-	-	310 Seduta	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2014-09-11-LEG17-Senato-sed-310	ParlaMint-IT_2014-09-11-LEG17-Senato-sed-310.ana.u12	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 310, Day (2014-09-11)	2014-09-11	Upper house	17 Legislatura	-	-	310 Seduta	-	Reference	English	Regular	MP	notMinister	PdL	Il Popolo della Libertà	-	Centre-right	ZanettinPierantonio	Zanettin, Pierantonio	M	1961	
ParlaMint-IT-en_2014-09-11-LEG17-Senato-sed-310	ParlaMint-IT_2014-09-11-LEG17-Senato-sed-310.ana.u13	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 310, Day (2014-09-11)	2014-09-11	Upper house	17 Legislatura	-	-	310 Seduta	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2014-09-11-LEG17-Senato-sed-310	ParlaMint-IT_2014-09-11-LEG17-Senato-sed-310.ana.u14	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 310, Day (2014-09-11)	2014-09-11	Upper house	17 Legislatura	-	-	310 Seduta	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2014-09-11-LEG17-Senato-sed-310	ParlaMint-IT_2014-09-11-LEG17-Senato-sed-310.ana.u15	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 310, Day (2014-09-11)	2014-09-11	Upper house	17 Legislatura	-	-	310 Seduta	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	LanzillottaLinda	Lanzillotta, Linda	F	1948	
