Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-RS-en_2008-02-15-0	ParlaMint-RS_2008-02-15-0.u15403	Term 7, Meeting p1	2008-02-15	Unicameralism	7. mandat	-	Zasedanje p1	2008-02-15	-	Reference	English	Chairperson	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	DulićOliver	Dulić, Oliver	M	1975	
ParlaMint-RS-en_2008-02-15-0	ParlaMint-RS_2008-02-15-0.u15404	Term 7, Meeting p1	2008-02-15	Unicameralism	7. mandat	-	Zasedanje p1	2008-02-15	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	TadićBoris	Tadić, Boris	U	-	
ParlaMint-RS-en_2008-02-15-0	ParlaMint-RS_2008-02-15-0.u15405	Term 7, Meeting p1	2008-02-15	Unicameralism	7. mandat	-	Zasedanje p1	2008-02-15	-	Reference	English	Chairperson	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	DulićOliver	Dulić, Oliver	M	1975	
ParlaMint-RS-en_2008-02-15-0	ParlaMint-RS_2008-02-15-0.u15406	Term 7, Meeting p1	2008-02-15	Unicameralism	7. mandat	-	Zasedanje p1	2008-02-15	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	TadićBoris	Tadić, Boris	U	-	
ParlaMint-RS-en_2008-02-15-0	ParlaMint-RS_2008-02-15-0.u15407	Term 7, Meeting p1	2008-02-15	Unicameralism	7. mandat	-	Zasedanje p1	2008-02-15	-	Reference	English	Chairperson	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	DulićOliver	Dulić, Oliver	M	1975	
