Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2015-01-16-0	ParlaMint-BA_2015-01-16-0.u4906	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 04	2015-01-16	Unicameralism	7. mandat	-	Sjednica 04	2015-05-18	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	DžaferovićŠefik	Džaferović, Šefik	M	1957	
ParlaMint-BA-en_2015-01-16-0	ParlaMint-BA_2015-01-16-0.u4908	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 04	2015-01-16	Unicameralism	7. mandat	-	Sjednica 04	2015-05-18	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-BA-en_2015-01-16-0	ParlaMint-BA_2015-01-16-0.u4909	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 04	2015-01-16	Unicameralism	7. mandat	-	Sjednica 04	2015-05-18	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	DžaferovićŠefik	Džaferović, Šefik	M	1957	
ParlaMint-BA-en_2015-01-16-0	ParlaMint-BA_2015-01-16-0.u4910	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 04	2015-01-16	Unicameralism	7. mandat	-	Sjednica 04	2015-05-18	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	HamondPhilip	Hamond, Philip	U	-	
ParlaMint-BA-en_2015-01-16-0	ParlaMint-BA_2015-01-16-0.u4911	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 04	2015-01-16	Unicameralism	7. mandat	-	Sjednica 04	2015-05-18	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	DžaferovićŠefik	Džaferović, Šefik	M	1957	
