Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2015-02-23-1	ParlaMint-BA_2015-02-23-1.u21097	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 01h	2015-02-23	Unicameralism	7. mandat	-	Sjednica 01h	2015-02-23	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	DžaferovićŠefik	Džaferović, Šefik	M	1957	
ParlaMint-BA-en_2015-02-23-1	ParlaMint-BA_2015-02-23-1.u21098	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 01h	2015-02-23	Unicameralism	7. mandat	-	Sjednica 01h	2015-02-23	-	Reference	English	Regular	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	KošaracStaša	Košarac, Staša	M	1975	
ParlaMint-BA-en_2015-02-23-1	ParlaMint-BA_2015-02-23-1.u21099	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 01h	2015-02-23	Unicameralism	7. mandat	-	Sjednica 01h	2015-02-23	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	DžaferovićŠefik	Džaferović, Šefik	M	1957	
ParlaMint-BA-en_2015-02-23-1	ParlaMint-BA_2015-02-23-1.u21101	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 01h	2015-02-23	Unicameralism	7. mandat	-	Sjednica 01h	2015-02-23	-	Reference	English	Regular	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Opposition	Centre-left	MagazinovićSaša	Magazinović, Saša	M	1978	
ParlaMint-BA-en_2015-02-23-1	ParlaMint-BA_2015-02-23-1.u21102	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 01h	2015-02-23	Unicameralism	7. mandat	-	Sjednica 01h	2015-02-23	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	DžaferovićŠefik	Džaferović, Šefik	M	1957	
ParlaMint-BA-en_2015-02-23-1	ParlaMint-BA_2015-02-23-1.u21103	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 01h	2015-02-23	Unicameralism	7. mandat	-	Sjednica 01h	2015-02-23	-	Reference	English	Regular	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Opposition	Centre-left	BećirovićDenis	Bećirović, Denis	M	1975	
ParlaMint-BA-en_2015-02-23-1	ParlaMint-BA_2015-02-23-1.u21104	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 01h	2015-02-23	Unicameralism	7. mandat	-	Sjednica 01h	2015-02-23	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	DžaferovićŠefik	Džaferović, Šefik	M	1957	
ParlaMint-BA-en_2015-02-23-1	ParlaMint-BA_2015-02-23-1.u21105	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 01h	2015-02-23	Unicameralism	7. mandat	-	Sjednica 01h	2015-02-23	-	Reference	English	Regular	MP	notMinister	A-SDA	Stranka demokratske aktivnosti	Opposition	Centre-right	EmrićJasmin	Emrić, Jasmin	M	1969	
ParlaMint-BA-en_2015-02-23-1	ParlaMint-BA_2015-02-23-1.u21106	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 01h	2015-02-23	Unicameralism	7. mandat	-	Sjednica 01h	2015-02-23	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	DžaferovićŠefik	Džaferović, Šefik	M	1957	
