Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2015-02-23-0	ParlaMint-BA_2015-02-23-0.u124	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 00h	2015-02-23	Unicameralism	7. mandat	-	Sjednica 00h	2016-12-15	-	Reference	English	Chairperson	MP	Minister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	ČolakBariša	Čolak, Bariša	M	1956	
ParlaMint-BA-en_2015-02-23-0	ParlaMint-BA_2015-02-23-0.u126	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 00h	2015-02-23	Unicameralism	7. mandat	-	Sjednica 00h	2016-12-15	-	Reference	English	Regular	MP	notMinister	HDZ_1990	Hrvatska demokratska zajednica 1991	Opposition	Centre-right	RagužMartin	Raguž, Martin	M	1958	
ParlaMint-BA-en_2015-02-23-0	ParlaMint-BA_2015-02-23-0.u127	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 00h	2015-02-23	Unicameralism	7. mandat	-	Sjednica 00h	2016-12-15	-	Reference	English	Chairperson	MP	Minister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	ČolakBariša	Čolak, Bariša	M	1956	
