Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-en_2017-07-11-CD170711	ParlaMint-ES_2017-07-11-CD170711.u1	Plenary session 65 (2017-07-11)	2017-07-11	Lower house	Legislatura XII	Sesión plenaria núm. 65 extraordinaria extraordinaria	-	2017-07-11	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2017-07-11-CD170711	ParlaMint-ES_2017-07-11-CD170711.u2	Plenary session 65 (2017-07-11)	2017-07-11	Lower house	Legislatura XII	Sesión plenaria núm. 65 extraordinaria extraordinaria	-	2017-07-11	-	Reference	English	Regular	MP	Minister	PP	Partido Popular	Coalition	Centre-right to right	CristóbalRicardoMontoroRomero	Montoro Romero, Cristóbal Ricardo	M	1950	
ParlaMint-ES-en_2017-07-11-CD170711	ParlaMint-ES_2017-07-11-CD170711.u3	Plenary session 65 (2017-07-11)	2017-07-11	Lower house	Legislatura XII	Sesión plenaria núm. 65 extraordinaria extraordinaria	-	2017-07-11	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2017-07-11-CD170711	ParlaMint-ES_2017-07-11-CD170711.u4	Plenary session 65 (2017-07-11)	2017-07-11	Lower house	Legislatura XII	Sesión plenaria núm. 65 extraordinaria extraordinaria	-	2017-07-11	-	Reference	English	Regular	MP	Minister	PP	Partido Popular	Coalition	Centre-right to right	CristóbalRicardoMontoroRomero	Montoro Romero, Cristóbal Ricardo	M	1950	
ParlaMint-ES-en_2017-07-11-CD170711	ParlaMint-ES_2017-07-11-CD170711.u5	Plenary session 65 (2017-07-11)	2017-07-11	Lower house	Legislatura XII	Sesión plenaria núm. 65 extraordinaria extraordinaria	-	2017-07-11	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2017-07-11-CD170711	ParlaMint-ES_2017-07-11-CD170711.u6	Plenary session 65 (2017-07-11)	2017-07-11	Lower house	Legislatura XII	Sesión plenaria núm. 65 extraordinaria extraordinaria	-	2017-07-11	-	Reference	English	Regular	MP	notMinister	PSOE	Partido Socialista Obrero Español	Opposition	Centre-left	PedroSauraGarcía	Saura García, Pedro	M	1962	
ParlaMint-ES-en_2017-07-11-CD170711	ParlaMint-ES_2017-07-11-CD170711.u7	Plenary session 65 (2017-07-11)	2017-07-11	Lower house	Legislatura XII	Sesión plenaria núm. 65 extraordinaria extraordinaria	-	2017-07-11	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2017-07-11-CD170711	ParlaMint-ES_2017-07-11-CD170711.u8	Plenary session 65 (2017-07-11)	2017-07-11	Lower house	Legislatura XII	Sesión plenaria núm. 65 extraordinaria extraordinaria	-	2017-07-11	-	Reference	English	Regular	MP	notMinister	PSOE	Partido Socialista Obrero Español	Opposition	Centre-left	PedroSauraGarcía	Saura García, Pedro	M	1962	
ParlaMint-ES-en_2017-07-11-CD170711	ParlaMint-ES_2017-07-11-CD170711.u9	Plenary session 65 (2017-07-11)	2017-07-11	Lower house	Legislatura XII	Sesión plenaria núm. 65 extraordinaria extraordinaria	-	2017-07-11	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2017-07-11-CD170711	ParlaMint-ES_2017-07-11-CD170711.u10	Plenary session 65 (2017-07-11)	2017-07-11	Lower house	Legislatura XII	Sesión plenaria núm. 65 extraordinaria extraordinaria	-	2017-07-11	-	Reference	English	Regular	MP	notMinister	PSOE	Partido Socialista Obrero Español	Opposition	Centre-left	PedroSauraGarcía	Saura García, Pedro	M	1962	
ParlaMint-ES-en_2017-07-11-CD170711	ParlaMint-ES_2017-07-11-CD170711.u11	Plenary session 65 (2017-07-11)	2017-07-11	Lower house	Legislatura XII	Sesión plenaria núm. 65 extraordinaria extraordinaria	-	2017-07-11	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2017-07-11-CD170711	ParlaMint-ES_2017-07-11-CD170711.u12	Plenary session 65 (2017-07-11)	2017-07-11	Lower house	Legislatura XII	Sesión plenaria núm. 65 extraordinaria extraordinaria	-	2017-07-11	-	Reference	English	Regular	MP	notMinister	UP	Unidas Podemos	Opposition	Left	AlbertoMonteroSoler	Montero Soler, Alberto	M	1970	
ParlaMint-ES-en_2017-07-11-CD170711	ParlaMint-ES_2017-07-11-CD170711.u13	Plenary session 65 (2017-07-11)	2017-07-11	Lower house	Legislatura XII	Sesión plenaria núm. 65 extraordinaria extraordinaria	-	2017-07-11	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2017-07-11-CD170711	ParlaMint-ES_2017-07-11-CD170711.u14	Plenary session 65 (2017-07-11)	2017-07-11	Lower house	Legislatura XII	Sesión plenaria núm. 65 extraordinaria extraordinaria	-	2017-07-11	-	Reference	English	Regular	MP	notMinister	UP	Unidas Podemos	Opposition	Left	AlbertoMonteroSoler	Montero Soler, Alberto	M	1970	
ParlaMint-ES-en_2017-07-11-CD170711	ParlaMint-ES_2017-07-11-CD170711.u15	Plenary session 65 (2017-07-11)	2017-07-11	Lower house	Legislatura XII	Sesión plenaria núm. 65 extraordinaria extraordinaria	-	2017-07-11	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2017-07-11-CD170711	ParlaMint-ES_2017-07-11-CD170711.u16	Plenary session 65 (2017-07-11)	2017-07-11	Lower house	Legislatura XII	Sesión plenaria núm. 65 extraordinaria extraordinaria	-	2017-07-11	-	Reference	English	Regular	MP	notMinister	UP	Unidas Podemos	Opposition	Left	AlbertoGarzónEspinosa	Garzón Espinosa, Alberto	M	1985	
ParlaMint-ES-en_2017-07-11-CD170711	ParlaMint-ES_2017-07-11-CD170711.u17	Plenary session 65 (2017-07-11)	2017-07-11	Lower house	Legislatura XII	Sesión plenaria núm. 65 extraordinaria extraordinaria	-	2017-07-11	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2017-07-11-CD170711	ParlaMint-ES_2017-07-11-CD170711.u18	Plenary session 65 (2017-07-11)	2017-07-11	Lower house	Legislatura XII	Sesión plenaria núm. 65 extraordinaria extraordinaria	-	2017-07-11	-	Reference	English	Regular	MP	notMinister	Cs	Ciudadanos	Opposition	Centre-right	AntonioRoldánMonés	Roldán Monés, Antonio	M	1983	
ParlaMint-ES-en_2017-07-11-CD170711	ParlaMint-ES_2017-07-11-CD170711.u19	Plenary session 65 (2017-07-11)	2017-07-11	Lower house	Legislatura XII	Sesión plenaria núm. 65 extraordinaria extraordinaria	-	2017-07-11	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2017-07-11-CD170711	ParlaMint-ES_2017-07-11-CD170711.u20	Plenary session 65 (2017-07-11)	2017-07-11	Lower house	Legislatura XII	Sesión plenaria núm. 65 extraordinaria extraordinaria	-	2017-07-11	-	Reference	English	Regular	MP	notMinister	ERC-CATSÍ	Esquerra Republicana de Catalunya - Catalunya Sí	Opposition	Centre-left to left	EsterCapellaiFarré	Capella i Farré, Ester	F	1963	
ParlaMint-ES-en_2017-07-11-CD170711	ParlaMint-ES_2017-07-11-CD170711.u21	Plenary session 65 (2017-07-11)	2017-07-11	Lower house	Legislatura XII	Sesión plenaria núm. 65 extraordinaria extraordinaria	-	2017-07-11	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2017-07-11-CD170711	ParlaMint-ES_2017-07-11-CD170711.u22	Plenary session 65 (2017-07-11)	2017-07-11	Lower house	Legislatura XII	Sesión plenaria núm. 65 extraordinaria extraordinaria	-	2017-07-11	-	Reference	English	Regular	MP	notMinister	EAJ-PNV	Euzko Alderdi Jeltzalea-Partido Nacionalista Vasco	Opposition	Centre	IdoiaSagastizabalUnzetabarrenetxea	Sagastizabal Unzetabarrenetxea, Idoia	F	1972	
ParlaMint-ES-en_2017-07-11-CD170711	ParlaMint-ES_2017-07-11-CD170711.u23	Plenary session 65 (2017-07-11)	2017-07-11	Lower house	Legislatura XII	Sesión plenaria núm. 65 extraordinaria extraordinaria	-	2017-07-11	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2017-07-11-CD170711	ParlaMint-ES_2017-07-11-CD170711.u24	Plenary session 65 (2017-07-11)	2017-07-11	Lower house	Legislatura XII	Sesión plenaria núm. 65 extraordinaria extraordinaria	-	2017-07-11	-	Reference	English	Regular	MP	notMinister	JxCat-Junts	Junts per Catalunya	Opposition	Centre-right	FerranBelAccensi	Bel Accensi, Ferran	M	1965	
