Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-CT-en_2022-06-30-3401	ParlaMint-ES-CT_2022-06-30-3401.1.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2022-06-30 3401.ana	2022-06-30	Unicameralism	XIV Legislatura	-	34	1	-	COVID,War	English	Chairperson	notMP	notMinister	GP-JxCAT	Grup Parlamentari de Junts per Catalunya	Coalition	Centre-right to right	BorràsLaura	Borràs i Castanyer, Laura	F	1970	
ParlaMint-ES-CT-en_2022-06-30-3401	ParlaMint-ES-CT_2022-06-30-3401.2.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2022-06-30 3401.ana	2022-06-30	Unicameralism	XIV Legislatura	-	34	1	-	COVID,War	English	Regular	MP	notMinister	GP-JxCAT	Grup Parlamentari de Junts per Catalunya	Coalition	Centre-right to right	ErraAnna	Erra i Solà, Anna	F	1965	
ParlaMint-ES-CT-en_2022-06-30-3401	ParlaMint-ES-CT_2022-06-30-3401.3.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2022-06-30 3401.ana	2022-06-30	Unicameralism	XIV Legislatura	-	34	1	-	COVID,War	English	Chairperson	notMP	notMinister	GP-JxCAT	Grup Parlamentari de Junts per Catalunya	Coalition	Centre-right to right	BorràsLaura	Borràs i Castanyer, Laura	F	1970	
ParlaMint-ES-CT-en_2022-06-30-3401	ParlaMint-ES-CT_2022-06-30-3401.4.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2022-06-30 3401.ana	2022-06-30	Unicameralism	XIV Legislatura	-	34	1	-	COVID,War	English	Regular	MP	notMinister	GP-PSC-UNITS	Grup Parlamentari Socialistes i Units per Avançar	-	Centre	AparicioOscar	Aparicio Pedrosa, Oscar	M	1972	
ParlaMint-ES-CT-en_2022-06-30-3401	ParlaMint-ES-CT_2022-06-30-3401.5.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2022-06-30 3401.ana	2022-06-30	Unicameralism	XIV Legislatura	-	34	1	-	COVID,War	English	Chairperson	notMP	notMinister	GP-JxCAT	Grup Parlamentari de Junts per Catalunya	Coalition	Centre-right to right	BorràsLaura	Borràs i Castanyer, Laura	F	1970	
ParlaMint-ES-CT-en_2022-06-30-3401	ParlaMint-ES-CT_2022-06-30-3401.6.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2022-06-30 3401.ana	2022-06-30	Unicameralism	XIV Legislatura	-	34	1	-	COVID,War	English	Regular	MP	notMinister	GP-VOX	Grup Parlamentari de VOX en Cataluña	Opposition	Right to far-right	MaciánSergio	Macián de Greef, Sergio	M	1975	
ParlaMint-ES-CT-en_2022-06-30-3401	ParlaMint-ES-CT_2022-06-30-3401.7.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2022-06-30 3401.ana	2022-06-30	Unicameralism	XIV Legislatura	-	34	1	-	COVID,War	English	Chairperson	notMP	notMinister	GP-JxCAT	Grup Parlamentari de Junts per Catalunya	Coalition	Centre-right to right	BorràsLaura	Borràs i Castanyer, Laura	F	1970	
ParlaMint-ES-CT-en_2022-06-30-3401	ParlaMint-ES-CT_2022-06-30-3401.8.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2022-06-30 3401.ana	2022-06-30	Unicameralism	XIV Legislatura	-	34	1	-	COVID,War	English	Regular	MP	notMinister	GP-CUP	Grup Parlamentari de la Candidatura d'Unitat Popular - Un Nou Cicle per Guanyar	Opposition	Left to far-left	RieraCarles	Riera i Albert, Carles	M	1960	
ParlaMint-ES-CT-en_2022-06-30-3401	ParlaMint-ES-CT_2022-06-30-3401.9.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2022-06-30 3401.ana	2022-06-30	Unicameralism	XIV Legislatura	-	34	1	-	COVID,War	English	Chairperson	notMP	notMinister	GP-JxCAT	Grup Parlamentari de Junts per Catalunya	Coalition	Centre-right to right	BorràsLaura	Borràs i Castanyer, Laura	F	1970	
ParlaMint-ES-CT-en_2022-06-30-3401	ParlaMint-ES-CT_2022-06-30-3401.10.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2022-06-30 3401.ana	2022-06-30	Unicameralism	XIV Legislatura	-	34	1	-	COVID,War	English	Regular	MP	notMinister	GP-ECP	Grup Parlamentari d'En Comú Podem	Opposition	Left	GallegoJoan	Gallego i Herrera, Joan Carles	M	1954	
