Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT-en_2020-05-19-LEG18-Senato-sed-218	ParlaMint-IT_2020-05-19-LEG18-Senato-sed-218.ana.u1	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 218, Day (2020-05-19)	2020-05-19	Upper house	18 Legislatura	-	-	218 Seduta	-	COVID	English	Chairperson	MP	notMinister	M5S.2	MoVimento 5 Stelle	Coalition	Big tent	TavernaPaola	Taverna, Paola	F	1969	
ParlaMint-IT-en_2020-05-19-LEG18-Senato-sed-218	ParlaMint-IT_2020-05-19-LEG18-Senato-sed-218.ana.u2	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 218, Day (2020-05-19)	2020-05-19	Upper house	18 Legislatura	-	-	218 Seduta	-	COVID	English	Chairperson	MP	notMinister	M5S.2	MoVimento 5 Stelle	Coalition	Big tent	TavernaPaola	Taverna, Paola	F	1969	
ParlaMint-IT-en_2020-05-19-LEG18-Senato-sed-218	ParlaMint-IT_2020-05-19-LEG18-Senato-sed-218.ana.u3	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 218, Day (2020-05-19)	2020-05-19	Upper house	18 Legislatura	-	-	218 Seduta	-	COVID	English	Chairperson	MP	notMinister	M5S.2	MoVimento 5 Stelle	Coalition	Big tent	TavernaPaola	Taverna, Paola	F	1969	
ParlaMint-IT-en_2020-05-19-LEG18-Senato-sed-218	ParlaMint-IT_2020-05-19-LEG18-Senato-sed-218.ana.u4	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 218, Day (2020-05-19)	2020-05-19	Upper house	18 Legislatura	-	-	218 Seduta	-	COVID	English	Chairperson	MP	notMinister	M5S.2	MoVimento 5 Stelle	Coalition	Big tent	TavernaPaola	Taverna, Paola	F	1969	
ParlaMint-IT-en_2020-05-19-LEG18-Senato-sed-218	ParlaMint-IT_2020-05-19-LEG18-Senato-sed-218.ana.u5	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 218, Day (2020-05-19)	2020-05-19	Upper house	18 Legislatura	-	-	218 Seduta	-	COVID	English	Chairperson	MP	notMinister	M5S.2	MoVimento 5 Stelle	Coalition	Big tent	TavernaPaola	Taverna, Paola	F	1969	
ParlaMint-IT-en_2020-05-19-LEG18-Senato-sed-218	ParlaMint-IT_2020-05-19-LEG18-Senato-sed-218.ana.u6	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 218, Day (2020-05-19)	2020-05-19	Upper house	18 Legislatura	-	-	218 Seduta	-	COVID	English	Chairperson	MP	notMinister	M5S.2	MoVimento 5 Stelle	Coalition	Big tent	TavernaPaola	Taverna, Paola	F	1969	
ParlaMint-IT-en_2020-05-19-LEG18-Senato-sed-218	ParlaMint-IT_2020-05-19-LEG18-Senato-sed-218.ana.u7	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 218, Day (2020-05-19)	2020-05-19	Upper house	18 Legislatura	-	-	218 Seduta	-	COVID	English	Regular	MP	notMinister	L-SP-PSd'Az	Lega-Salvini Premier-Partito Sardo d'Azione	Opposition	Right to far-right	AlessandriniValeria	Alessandrini, Valeria	F	1975	
ParlaMint-IT-en_2020-05-19-LEG18-Senato-sed-218	ParlaMint-IT_2020-05-19-LEG18-Senato-sed-218.ana.u8	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 218, Day (2020-05-19)	2020-05-19	Upper house	18 Legislatura	-	-	218 Seduta	-	COVID	English	Chairperson	MP	notMinister	M5S.2	MoVimento 5 Stelle	Coalition	Big tent	TavernaPaola	Taverna, Paola	F	1969	
ParlaMint-IT-en_2020-05-19-LEG18-Senato-sed-218	ParlaMint-IT_2020-05-19-LEG18-Senato-sed-218.ana.u9	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 218, Day (2020-05-19)	2020-05-19	Upper house	18 Legislatura	-	-	218 Seduta	-	COVID	English	Regular	MP	notMinister	L-SP-PSd'Az	Lega-Salvini Premier-Partito Sardo d'Azione	Opposition	Right to far-right	AlessandriniValeria	Alessandrini, Valeria	F	1975	
ParlaMint-IT-en_2020-05-19-LEG18-Senato-sed-218	ParlaMint-IT_2020-05-19-LEG18-Senato-sed-218.ana.u10	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 218, Day (2020-05-19)	2020-05-19	Upper house	18 Legislatura	-	-	218 Seduta	-	COVID	English	Chairperson	MP	notMinister	M5S.2	MoVimento 5 Stelle	Coalition	Big tent	TavernaPaola	Taverna, Paola	F	1969	
ParlaMint-IT-en_2020-05-19-LEG18-Senato-sed-218	ParlaMint-IT_2020-05-19-LEG18-Senato-sed-218.ana.u11	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 218, Day (2020-05-19)	2020-05-19	Upper house	18 Legislatura	-	-	218 Seduta	-	COVID	English	Regular	MP	notMinister	L-SP-PSd'Az	Lega-Salvini Premier-Partito Sardo d'Azione	Opposition	Right to far-right	AlessandriniValeria	Alessandrini, Valeria	F	1975	
ParlaMint-IT-en_2020-05-19-LEG18-Senato-sed-218	ParlaMint-IT_2020-05-19-LEG18-Senato-sed-218.ana.u12	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 218, Day (2020-05-19)	2020-05-19	Upper house	18 Legislatura	-	-	218 Seduta	-	COVID	English	Regular	MP	notMinister	M5S.2	MoVimento 5 Stelle	Coalition	Big tent	MaiorinoAlessandra	Maiorino, Alessandra	F	1974	
ParlaMint-IT-en_2020-05-19-LEG18-Senato-sed-218	ParlaMint-IT_2020-05-19-LEG18-Senato-sed-218.ana.u13	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 218, Day (2020-05-19)	2020-05-19	Upper house	18 Legislatura	-	-	218 Seduta	-	COVID	English	Chairperson	MP	notMinister	M5S.2	MoVimento 5 Stelle	Coalition	Big tent	TavernaPaola	Taverna, Paola	F	1969	
ParlaMint-IT-en_2020-05-19-LEG18-Senato-sed-218	ParlaMint-IT_2020-05-19-LEG18-Senato-sed-218.ana.u14	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 218, Day (2020-05-19)	2020-05-19	Upper house	18 Legislatura	-	-	218 Seduta	-	COVID	English	Regular	MP	notMinister	M5S.2	MoVimento 5 Stelle	Coalition	Big tent	MaiorinoAlessandra	Maiorino, Alessandra	F	1974	
ParlaMint-IT-en_2020-05-19-LEG18-Senato-sed-218	ParlaMint-IT_2020-05-19-LEG18-Senato-sed-218.ana.u15	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 218, Day (2020-05-19)	2020-05-19	Upper house	18 Legislatura	-	-	218 Seduta	-	COVID	English	Chairperson	MP	notMinister	M5S.2	MoVimento 5 Stelle	Coalition	Big tent	TavernaPaola	Taverna, Paola	F	1969	
ParlaMint-IT-en_2020-05-19-LEG18-Senato-sed-218	ParlaMint-IT_2020-05-19-LEG18-Senato-sed-218.ana.u16	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 218, Day (2020-05-19)	2020-05-19	Upper house	18 Legislatura	-	-	218 Seduta	-	COVID	English	Chairperson	MP	notMinister	M5S.2	MoVimento 5 Stelle	Coalition	Big tent	TavernaPaola	Taverna, Paola	F	1969	
