Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT-en_2020-01-14-LEG18-Senato-sed-180	ParlaMint-IT_2020-01-14-LEG18-Senato-sed-180.ana.u1	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 180, Day (2020-01-14)	2020-01-14	Upper house	18 Legislatura	-	-	180 Seduta	-	Reference	English	Chairperson	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2020-01-14-LEG18-Senato-sed-180	ParlaMint-IT_2020-01-14-LEG18-Senato-sed-180.ana.u2	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 180, Day (2020-01-14)	2020-01-14	Upper house	18 Legislatura	-	-	180 Seduta	-	Reference	English	Chairperson	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2020-01-14-LEG18-Senato-sed-180	ParlaMint-IT_2020-01-14-LEG18-Senato-sed-180.ana.u3	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 180, Day (2020-01-14)	2020-01-14	Upper house	18 Legislatura	-	-	180 Seduta	-	Reference	English	Chairperson	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2020-01-14-LEG18-Senato-sed-180	ParlaMint-IT_2020-01-14-LEG18-Senato-sed-180.ana.u4	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 180, Day (2020-01-14)	2020-01-14	Upper house	18 Legislatura	-	-	180 Seduta	-	Reference	English	Chairperson	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2020-01-14-LEG18-Senato-sed-180	ParlaMint-IT_2020-01-14-LEG18-Senato-sed-180.ana.u5	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 180, Day (2020-01-14)	2020-01-14	Upper house	18 Legislatura	-	-	180 Seduta	-	Reference	English	Chairperson	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2020-01-14-LEG18-Senato-sed-180	ParlaMint-IT_2020-01-14-LEG18-Senato-sed-180.ana.u6	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 180, Day (2020-01-14)	2020-01-14	Upper house	18 Legislatura	-	-	180 Seduta	-	Reference	English	Chairperson	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2020-01-14-LEG18-Senato-sed-180	ParlaMint-IT_2020-01-14-LEG18-Senato-sed-180.ana.u7	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 180, Day (2020-01-14)	2020-01-14	Upper house	18 Legislatura	-	-	180 Seduta	-	Reference	English	Regular	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	DeVecchisWilliam	De Vecchis, William	M	1971	
ParlaMint-IT-en_2020-01-14-LEG18-Senato-sed-180	ParlaMint-IT_2020-01-14-LEG18-Senato-sed-180.ana.u8	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 180, Day (2020-01-14)	2020-01-14	Upper house	18 Legislatura	-	-	180 Seduta	-	Reference	English	Chairperson	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2020-01-14-LEG18-Senato-sed-180	ParlaMint-IT_2020-01-14-LEG18-Senato-sed-180.ana.u9	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 180, Day (2020-01-14)	2020-01-14	Upper house	18 Legislatura	-	-	180 Seduta	-	Reference	English	Regular	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	DeVecchisWilliam	De Vecchis, William	M	1971	
ParlaMint-IT-en_2020-01-14-LEG18-Senato-sed-180	ParlaMint-IT_2020-01-14-LEG18-Senato-sed-180.ana.u10	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 180, Day (2020-01-14)	2020-01-14	Upper house	18 Legislatura	-	-	180 Seduta	-	Reference	English	Regular	MP	notMinister	M5S.2	MoVimento 5 Stelle	Coalition	Big tent	CastelloneMariaDomenica	Castellone, Maria Domenica	F	1975	
ParlaMint-IT-en_2020-01-14-LEG18-Senato-sed-180	ParlaMint-IT_2020-01-14-LEG18-Senato-sed-180.ana.u11	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 180, Day (2020-01-14)	2020-01-14	Upper house	18 Legislatura	-	-	180 Seduta	-	Reference	English	Chairperson	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2020-01-14-LEG18-Senato-sed-180	ParlaMint-IT_2020-01-14-LEG18-Senato-sed-180.ana.u12	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 180, Day (2020-01-14)	2020-01-14	Upper house	18 Legislatura	-	-	180 Seduta	-	Reference	English	Regular	MP	notMinister	M5S.2	MoVimento 5 Stelle	Coalition	Big tent	CastelloneMariaDomenica	Castellone, Maria Domenica	F	1975	
ParlaMint-IT-en_2020-01-14-LEG18-Senato-sed-180	ParlaMint-IT_2020-01-14-LEG18-Senato-sed-180.ana.u13	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 180, Day (2020-01-14)	2020-01-14	Upper house	18 Legislatura	-	-	180 Seduta	-	Reference	English	Regular	MP	notMinister	M5S.2	MoVimento 5 Stelle	Coalition	Big tent	LeoneCinzia	Leone, Cinzia	F	1976	
ParlaMint-IT-en_2020-01-14-LEG18-Senato-sed-180	ParlaMint-IT_2020-01-14-LEG18-Senato-sed-180.ana.u14	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 180, Day (2020-01-14)	2020-01-14	Upper house	18 Legislatura	-	-	180 Seduta	-	Reference	English	Chairperson	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2020-01-14-LEG18-Senato-sed-180	ParlaMint-IT_2020-01-14-LEG18-Senato-sed-180.ana.u15	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 180, Day (2020-01-14)	2020-01-14	Upper house	18 Legislatura	-	-	180 Seduta	-	Reference	English	Regular	MP	notMinister	M5S.2	MoVimento 5 Stelle	Coalition	Big tent	LeoneCinzia	Leone, Cinzia	F	1976	
ParlaMint-IT-en_2020-01-14-LEG18-Senato-sed-180	ParlaMint-IT_2020-01-14-LEG18-Senato-sed-180.ana.u16	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 180, Day (2020-01-14)	2020-01-14	Upper house	18 Legislatura	-	-	180 Seduta	-	Reference	English	Chairperson	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2020-01-14-LEG18-Senato-sed-180	ParlaMint-IT_2020-01-14-LEG18-Senato-sed-180.ana.u17	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 180, Day (2020-01-14)	2020-01-14	Upper house	18 Legislatura	-	-	180 Seduta	-	Reference	English	Chairperson	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
