Session,Date,Coalition,Opposition
ParlaMint-BA-en_1998-11-26-0-meta.tsv,1998-11-26,11,10
ParlaMint-BA-en_1998-12-04-0-meta.tsv,1998-12-04,0,3
ParlaMint-BA-en_1998-12-10-0-meta.tsv,1998-12-10,7,11
ParlaMint-BA-en_1999-01-11-0-meta.tsv,1999-01-11,0,2
ParlaMint-BA-en_1999-01-22-0-meta.tsv,1999-01-22,10,10
ParlaMint-BA-en_1999-02-10-0-meta.tsv,1999-02-10,13,9
ParlaMint-BA-en_1999-02-25-0-meta.tsv,1999-02-25,0,5
ParlaMint-BA-en_1999-05-11-0-meta.tsv,1999-05-11,8,5
ParlaMint-BA-en_1999-05-18-0-meta.tsv,1999-05-18,1,2
ParlaMint-BA-en_1999-06-09-0-meta.tsv,1999-06-09,0,5
ParlaMint-BA-en_1999-07-08-0-meta.tsv,1999-07-08,8,12
ParlaMint-BA-en_1999-07-15-0-meta.tsv,1999-07-15,9,10
ParlaMint-BA-en_1999-07-19-0-meta.tsv,1999-07-19,1,3
ParlaMint-BA-en_1999-07-27-0-meta.tsv,1999-07-27,0,0
ParlaMint-BA-en_1999-07-27-1-meta.tsv,1999-07-27,5,4
ParlaMint-BA-en_1999-08-31-0-meta.tsv,1999-08-31,0,4
ParlaMint-BA-en_1999-08-31-1-meta.tsv,1999-08-31,13,13
ParlaMint-BA-en_1999-09-17-0-meta.tsv,1999-09-17,11,8
ParlaMint-BA-en_1999-10-05-0-meta.tsv,1999-10-05,16,14
ParlaMint-BA-en_1999-10-06-0-meta.tsv,1999-10-06,0,5
ParlaMint-BA-en_1999-11-10-0-meta.tsv,1999-11-10,8,13
ParlaMint-BA-en_1999-11-11-0-meta.tsv,1999-11-11,0,4
ParlaMint-BA-en_1999-11-23-0-meta.tsv,1999-11-23,8,10
ParlaMint-BA-en_1999-12-01-0-meta.tsv,1999-12-01,7,11
ParlaMint-BA-en_1999-12-03-0-meta.tsv,1999-12-03,0,4
ParlaMint-BA-en_1999-12-15-0-meta.tsv,1999-12-15,10,14
ParlaMint-BA-en_1999-12-29-0-meta.tsv,1999-12-29,14,13
ParlaMint-BA-en_2000-01-17-0-meta.tsv,2000-01-17,0,0
ParlaMint-BA-en_2000-02-15-0-meta.tsv,2000-02-15,12,11
ParlaMint-BA-en_2000-03-02-0-meta.tsv,2000-03-02,0,0
ParlaMint-BA-en_2000-03-07-0-meta.tsv,2000-03-07,11,14
ParlaMint-BA-en_2000-03-21-0-meta.tsv,2000-03-21,0,6
ParlaMint-BA-en_2000-03-30-0-meta.tsv,2000-03-30,0,3
ParlaMint-BA-en_2000-04-13-0-meta.tsv,2000-04-13,0,4
ParlaMint-BA-en_2000-04-19-0-meta.tsv,2000-04-19,7,9
ParlaMint-BA-en_2000-04-27-0-meta.tsv,2000-04-27,0,1
ParlaMint-BA-en_2000-05-08-0-meta.tsv,2000-05-08,11,10
ParlaMint-BA-en_2000-06-06-0-meta.tsv,2000-06-06,8,9
ParlaMint-BA-en_2000-06-07-0-meta.tsv,2000-06-07,7,9
ParlaMint-BA-en_2000-06-09-0-meta.tsv,2000-06-09,0,2
ParlaMint-BA-en_2000-06-22-0-meta.tsv,2000-06-22,14,12
ParlaMint-BA-en_2000-07-06-0-meta.tsv,2000-07-06,0,6
ParlaMint-BA-en_2000-07-11-0-meta.tsv,2000-07-11,0,6
ParlaMint-BA-en_2000-07-27-0-meta.tsv,2000-07-27,12,12
ParlaMint-BA-en_2000-07-31-0-meta.tsv,2000-07-31,0,6
ParlaMint-BA-en_2000-08-29-0-meta.tsv,2000-08-29,14,13
ParlaMint-BA-en_2000-09-08-0-meta.tsv,2000-09-08,0,2
ParlaMint-BA-en_2000-10-13-0-meta.tsv,2000-10-13,0,2
ParlaMint-BA-en_2000-10-18-0-meta.tsv,2000-10-18,12,10
ParlaMint-BA-en_2000-10-23-0-meta.tsv,2000-10-23,1,4
