Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2018-05-29-ps2017-013-05-005-046	ParlaMint-CZ_2018-05-29-ps2017-013-05-005-046.u1	Parliament of the Czech Republic, Chamber of Deputies, 2018-05-29	2018-05-29	Lower house	ps2017	-	ps2017/013	ps2017/013/05	ps2017/013/046	Reference	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2018-05-29-ps2017-013-05-005-046	ParlaMint-CZ_2018-05-29-ps2017-013-05-005-046.u2	Parliament of the Czech Republic, Chamber of Deputies, 2018-05-29	2018-05-29	Lower house	ps2017	-	ps2017/013	ps2017/013/05	ps2017/013/046	Reference	English	Regular	notMP	Minister	-	-	-	-	LubomirMetnar.1967	Metnar, Lubomír	M	1967	
ParlaMint-CZ-en_2018-05-29-ps2017-013-05-005-046	ParlaMint-CZ_2018-05-29-ps2017-013-05-005-046.u3	Parliament of the Czech Republic, Chamber of Deputies, 2018-05-29	2018-05-29	Lower house	ps2017	-	ps2017/013	ps2017/013/05	ps2017/013/046	Reference	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2018-05-29-ps2017-013-05-005-046	ParlaMint-CZ_2018-05-29-ps2017-013-05-005-046.u4	Parliament of the Czech Republic, Chamber of Deputies, 2018-05-29	2018-05-29	Lower house	ps2017	-	ps2017/013	ps2017/013/05	ps2017/013/046	Reference	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	OndrejProfant.1988	Profant, Ondřej	M	1988	
ParlaMint-CZ-en_2018-05-29-ps2017-013-05-005-046	ParlaMint-CZ_2018-05-29-ps2017-013-05-005-046.u5	Parliament of the Czech Republic, Chamber of Deputies, 2018-05-29	2018-05-29	Lower house	ps2017	-	ps2017/013	ps2017/013/05	ps2017/013/046	Reference	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2018-05-29-ps2017-013-05-005-046	ParlaMint-CZ_2018-05-29-ps2017-013-05-005-046.u6	Parliament of the Czech Republic, Chamber of Deputies, 2018-05-29	2018-05-29	Lower house	ps2017	-	ps2017/013	ps2017/013/05	ps2017/013/046	Reference	English	Regular	MP	notMinister	TOP09	Political group TOP 09	Opposition	Centre-right	DominikFeri.1996	Feri, Dominik	M	1996	
ParlaMint-CZ-en_2018-05-29-ps2017-013-05-005-046	ParlaMint-CZ_2018-05-29-ps2017-013-05-005-046.u7	Parliament of the Czech Republic, Chamber of Deputies, 2018-05-29	2018-05-29	Lower house	ps2017	-	ps2017/013	ps2017/013/05	ps2017/013/046	Reference	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2018-05-29-ps2017-013-05-005-046	ParlaMint-CZ_2018-05-29-ps2017-013-05-005-046.u8	Parliament of the Czech Republic, Chamber of Deputies, 2018-05-29	2018-05-29	Lower house	ps2017	-	ps2017/013	ps2017/013/05	ps2017/013/046	Reference	English	Regular	notMP	Minister	-	-	-	-	LubomirMetnar.1967	Metnar, Lubomír	M	1967	
ParlaMint-CZ-en_2018-05-29-ps2017-013-05-005-046	ParlaMint-CZ_2018-05-29-ps2017-013-05-005-046.u9	Parliament of the Czech Republic, Chamber of Deputies, 2018-05-29	2018-05-29	Lower house	ps2017	-	ps2017/013	ps2017/013/05	ps2017/013/046	Reference	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2018-05-29-ps2017-013-05-005-046	ParlaMint-CZ_2018-05-29-ps2017-013-05-005-046.u10	Parliament of the Czech Republic, Chamber of Deputies, 2018-05-29	2018-05-29	Lower house	ps2017	-	ps2017/013	ps2017/013/05	ps2017/013/046	Reference	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	OndrejProfant.1988	Profant, Ondřej	M	1988	
ParlaMint-CZ-en_2018-05-29-ps2017-013-05-005-046	ParlaMint-CZ_2018-05-29-ps2017-013-05-005-046.u11	Parliament of the Czech Republic, Chamber of Deputies, 2018-05-29	2018-05-29	Lower house	ps2017	-	ps2017/013	ps2017/013/05	ps2017/013/046	Reference	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
