Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-RS-en_2010-11-30-0	ParlaMint-RS_2010-11-30-0.u47724	Term 8, Meeting 5	2010-11-30	Unicameralism	8. mandat	-	Zasedanje 5	2011-12-26	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-RS-en_2010-11-30-0	ParlaMint-RS_2010-11-30-0.u47725	Term 8, Meeting 5	2010-11-30	Unicameralism	8. mandat	-	Zasedanje 5	2011-12-26	-	Reference	English	Chairperson	MP	notMinister	SPS	Socijalistička partija Srbije	Coalition	Centre-left	ĐukićDejanovićSlavica	Đukić-Dejanović, Slavica	F	1951	
ParlaMint-RS-en_2010-11-30-0	ParlaMint-RS_2010-11-30-0.u47726	Term 8, Meeting 5	2010-11-30	Unicameralism	8. mandat	-	Zasedanje 5	2011-12-26	-	Reference	English	Regular	MP	notMinister	LDP	Liberalno-demokratska partija	Coalition	Centre	OstojićZoran	Ostojić, Zoran	M	1956	
ParlaMint-RS-en_2010-11-30-0	ParlaMint-RS_2010-11-30-0.u47727	Term 8, Meeting 5	2010-11-30	Unicameralism	8. mandat	-	Zasedanje 5	2011-12-26	-	Reference	English	Chairperson	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	ČomićGordana	Čomić, Gordana	F	1958	
ParlaMint-RS-en_2010-11-30-0	ParlaMint-RS_2010-11-30-0.u47728	Term 8, Meeting 5	2010-11-30	Unicameralism	8. mandat	-	Zasedanje 5	2011-12-26	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ĐelićBožidar	Đelić, Božidar	M	1965	
ParlaMint-RS-en_2010-11-30-0	ParlaMint-RS_2010-11-30-0.u47729	Term 8, Meeting 5	2010-11-30	Unicameralism	8. mandat	-	Zasedanje 5	2011-12-26	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	NovakovićNikola	Novaković, Nikola	M	1949	
ParlaMint-RS-en_2010-11-30-0	ParlaMint-RS_2010-11-30-0.u47730	Term 8, Meeting 5	2010-11-30	Unicameralism	8. mandat	-	Zasedanje 5	2011-12-26	-	Reference	English	Regular	MP	notMinister	PUPS	Partija ujedinjenih penzionera Srbije	Coalition	Right	StamenkovićSiniša	Stamenković, Siniša	M	1949	
ParlaMint-RS-en_2010-11-30-0	ParlaMint-RS_2010-11-30-0.u47731	Term 8, Meeting 5	2010-11-30	Unicameralism	8. mandat	-	Zasedanje 5	2011-12-26	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	NovakovićNikola	Novaković, Nikola	M	1949	
ParlaMint-RS-en_2010-11-30-0	ParlaMint-RS_2010-11-30-0.u47732	Term 8, Meeting 5	2010-11-30	Unicameralism	8. mandat	-	Zasedanje 5	2011-12-26	-	Reference	English	Regular	MP	notMinister	SPS	Socijalistička partija Srbije	Coalition	Centre-left	BortićZoran	Bortić, Zoran	M	1965	
ParlaMint-RS-en_2010-11-30-0	ParlaMint-RS_2010-11-30-0.u47733	Term 8, Meeting 5	2010-11-30	Unicameralism	8. mandat	-	Zasedanje 5	2011-12-26	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	NovakovićNikola	Novaković, Nikola	M	1949	
ParlaMint-RS-en_2010-11-30-0	ParlaMint-RS_2010-11-30-0.u47734	Term 8, Meeting 5	2010-11-30	Unicameralism	8. mandat	-	Zasedanje 5	2011-12-26	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	TabakovićJorgovanka	Tabaković, Jorgovanka	F	1960	
ParlaMint-RS-en_2010-11-30-0	ParlaMint-RS_2010-11-30-0.u47735	Term 8, Meeting 5	2010-11-30	Unicameralism	8. mandat	-	Zasedanje 5	2011-12-26	-	Reference	English	Chairperson	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	ČomićGordana	Čomić, Gordana	F	1958	
ParlaMint-RS-en_2010-11-30-0	ParlaMint-RS_2010-11-30-0.u47736	Term 8, Meeting 5	2010-11-30	Unicameralism	8. mandat	-	Zasedanje 5	2011-12-26	-	Reference	English	Regular	MP	notMinister	DSS	Demokratska stranka Srbije	Coalition	Right	ŠamiZoran	Šami, Zoran	M	1948	
ParlaMint-RS-en_2010-11-30-0	ParlaMint-RS_2010-11-30-0.u47737	Term 8, Meeting 5	2010-11-30	Unicameralism	8. mandat	-	Zasedanje 5	2011-12-26	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	NovakovićNikola	Novaković, Nikola	M	1949	
ParlaMint-RS-en_2010-11-30-0	ParlaMint-RS_2010-11-30-0.u47738	Term 8, Meeting 5	2010-11-30	Unicameralism	8. mandat	-	Zasedanje 5	2011-12-26	-	Reference	English	Regular	MP	notMinister	LDP	Liberalno-demokratska partija	Coalition	Centre	ProkićNenad	Prokić, Nenad	M	1954	
ParlaMint-RS-en_2010-11-30-0	ParlaMint-RS_2010-11-30-0.u47739	Term 8, Meeting 5	2010-11-30	Unicameralism	8. mandat	-	Zasedanje 5	2011-12-26	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	NovakovićNikola	Novaković, Nikola	M	1949	
ParlaMint-RS-en_2010-11-30-0	ParlaMint-RS_2010-11-30-0.u47740	Term 8, Meeting 5	2010-11-30	Unicameralism	8. mandat	-	Zasedanje 5	2011-12-26	-	Reference	English	Regular	MP	notMinister	DSS	Demokratska stranka Srbije	Coalition	Right	VojićMarkovićMilica	Vojić Marković, Milica	F	1959	
