Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-en_2020-12-15-CD201215	ParlaMint-ES_2020-12-15-CD201215.u1	Plenary session 66 (2020-12-15)	2020-12-15	Lower house	Legislatura XIV	Sesión plenaria núm. 66	-	2020-12-15	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2020-12-15-CD201215	ParlaMint-ES_2020-12-15-CD201215.u2	Plenary session 66 (2020-12-15)	2020-12-15	Lower house	Legislatura XIV	Sesión plenaria núm. 66	-	2020-12-15	-	COVID	English	Regular	MP	notMinister	PsdeG-PSOE	Partido dos Socialistas de Galicia - Partido Socialista Obrero Español	-	-	AnaPrietoNieto	Prieto Nieto, Ana	F	1965	
ParlaMint-ES-en_2020-12-15-CD201215	ParlaMint-ES_2020-12-15-CD201215.u3	Plenary session 66 (2020-12-15)	2020-12-15	Lower house	Legislatura XIV	Sesión plenaria núm. 66	-	2020-12-15	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2020-12-15-CD201215	ParlaMint-ES_2020-12-15-CD201215.u4	Plenary session 66 (2020-12-15)	2020-12-15	Lower house	Legislatura XIV	Sesión plenaria núm. 66	-	2020-12-15	-	COVID	English	Regular	MP	notMinister	PsdeG-PSOE	Partido dos Socialistas de Galicia - Partido Socialista Obrero Español	-	-	AnaPrietoNieto	Prieto Nieto, Ana	F	1965	
ParlaMint-ES-en_2020-12-15-CD201215	ParlaMint-ES_2020-12-15-CD201215.u5	Plenary session 66 (2020-12-15)	2020-12-15	Lower house	Legislatura XIV	Sesión plenaria núm. 66	-	2020-12-15	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2020-12-15-CD201215	ParlaMint-ES_2020-12-15-CD201215.u6	Plenary session 66 (2020-12-15)	2020-12-15	Lower house	Legislatura XIV	Sesión plenaria núm. 66	-	2020-12-15	-	COVID	English	Regular	MP	notMinister	PP-Foro	Partido Popular - Foro Asturias	Opposition	Centre-right to right	IsidroManuelMartínezOblanca	Martínez Oblanca, Isidro Manuel	M	1956	
ParlaMint-ES-en_2020-12-15-CD201215	ParlaMint-ES_2020-12-15-CD201215.u7	Plenary session 66 (2020-12-15)	2020-12-15	Lower house	Legislatura XIV	Sesión plenaria núm. 66	-	2020-12-15	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2020-12-15-CD201215	ParlaMint-ES_2020-12-15-CD201215.u8	Plenary session 66 (2020-12-15)	2020-12-15	Lower house	Legislatura XIV	Sesión plenaria núm. 66	-	2020-12-15	-	COVID	English	Regular	MP	notMinister	EAJ-PNV	Euzko Alderdi Jeltzalea-Partido Nacionalista Vasco	Opposition	Centre	JosuneGorospeElezcano	Gorospe Elezcano, Josune	F	1969	
ParlaMint-ES-en_2020-12-15-CD201215	ParlaMint-ES_2020-12-15-CD201215.u9	Plenary session 66 (2020-12-15)	2020-12-15	Lower house	Legislatura XIV	Sesión plenaria núm. 66	-	2020-12-15	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2020-12-15-CD201215	ParlaMint-ES_2020-12-15-CD201215.u10	Plenary session 66 (2020-12-15)	2020-12-15	Lower house	Legislatura XIV	Sesión plenaria núm. 66	-	2020-12-15	-	COVID	English	Regular	MP	notMinister	Cs	Ciudadanos	Opposition	Centre-right	MiguelÁngelGutiérrezVivas	Gutiérrez Vivas, Miguel Ángel	M	1964	
ParlaMint-ES-en_2020-12-15-CD201215	ParlaMint-ES_2020-12-15-CD201215.u11	Plenary session 66 (2020-12-15)	2020-12-15	Lower house	Legislatura XIV	Sesión plenaria núm. 66	-	2020-12-15	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
