Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-RS-en_2022-05-31-0	ParlaMint-RS_2022-05-31-0.u12442	Term 12, Meeting p11	2022-05-31	Unicameralism	12. mandat	-	Zasedanje p11	2022-05-31	-	COVID,War	English	Chairperson	MP	notMinister	SPS	Socijalistička partija Srbije	Coalition	Centre-left	DačićIvica	Dačić, Ivica	M	1966	
ParlaMint-RS-en_2022-05-31-0	ParlaMint-RS_2022-05-31-0.u12443	Term 12, Meeting p11	2022-05-31	Unicameralism	12. mandat	-	Zasedanje p11	2022-05-31	-	COVID,War	English	Regular	notMP	notMinister	-	-	-	-	VučićAleksandar	Vučić, Aleksandar	M	1970	
ParlaMint-RS-en_2022-05-31-0	ParlaMint-RS_2022-05-31-0.u12444	Term 12, Meeting p11	2022-05-31	Unicameralism	12. mandat	-	Zasedanje p11	2022-05-31	-	COVID,War	English	Chairperson	MP	notMinister	SPS	Socijalistička partija Srbije	Coalition	Centre-left	DačićIvica	Dačić, Ivica	M	1966	
ParlaMint-RS-en_2022-05-31-0	ParlaMint-RS_2022-05-31-0.u12445	Term 12, Meeting p11	2022-05-31	Unicameralism	12. mandat	-	Zasedanje p11	2022-05-31	-	COVID,War	English	Regular	notMP	notMinister	-	-	-	-	VučićAleksandar	Vučić, Aleksandar	M	1970	
ParlaMint-RS-en_2022-05-31-0	ParlaMint-RS_2022-05-31-0.u12446	Term 12, Meeting p11	2022-05-31	Unicameralism	12. mandat	-	Zasedanje p11	2022-05-31	-	COVID,War	English	Chairperson	MP	notMinister	SPS	Socijalistička partija Srbije	Coalition	Centre-left	DačićIvica	Dačić, Ivica	M	1966	
