Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GB-en_2019-12-18-commons	ParlaMint-GB_2019-12-18-commons.u1	Minutes of the House of Commons, Daily Session 2019-12-18	2019-12-18	Lower house	58	-	2019-12-18	2019-12-18	-	Reference	English	Chairperson	MP	notMinister	LAB	Labour	Opposition	Centre-left	LindsayHoyle	Hoyle, Lindsay Harvey	M	-	
ParlaMint-GB-en_2019-12-18-commons	ParlaMint-GB_2019-12-18-commons.u2	Minutes of the House of Commons, Daily Session 2019-12-18	2019-12-18	Lower house	58	-	2019-12-18	2019-12-18	-	Reference	English	Chairperson	MP	notMinister	LAB	Labour	Opposition	Centre-left	LindsayHoyle	Hoyle, Lindsay Harvey	M	-	
ParlaMint-GB-en_2019-12-18-commons	ParlaMint-GB_2019-12-18-commons.u3	Minutes of the House of Commons, Daily Session 2019-12-18	2019-12-18	Lower house	58	-	2019-12-18	2019-12-18	-	Reference	English	Chairperson	MP	notMinister	LAB	Labour	Opposition	Centre-left	LindsayHoyle	Hoyle, Lindsay Harvey	M	-	
ParlaMint-GB-en_2019-12-18-commons	ParlaMint-GB_2019-12-18-commons.u4	Minutes of the House of Commons, Daily Session 2019-12-18	2019-12-18	Lower house	58	-	2019-12-18	2019-12-18	-	Reference	English	Chairperson	MP	notMinister	LAB	Labour	Opposition	Centre-left	LindsayHoyle	Hoyle, Lindsay Harvey	M	-	
