Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2018-10-03-20181-M2	ParlaMint-DK_20181003130004	Hansard of the session of the Danish Parliament (Folketinget), 20181, M2 (2018-10-03), final version	2018-10-03	Unicameralism	Regeringen Lars Løkke Rasmussen III	20181	M2	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2018-10-03-20181-M2	ParlaMint-DK_20181003130302	Hansard of the session of the Danish Parliament (Folketinget), 20181, M2 (2018-10-03), final version	2018-10-03	Unicameralism	Regeringen Lars Løkke Rasmussen III	20181	M2	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2018-10-03-20181-M2	ParlaMint-DK_20181003130346	Hansard of the session of the Danish Parliament (Folketinget), 20181, M2 (2018-10-03), final version	2018-10-03	Unicameralism	Regeringen Lars Løkke Rasmussen III	20181	M2	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
