Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-CT-en_2016-09-28-2201	ParlaMint-ES-CT_2016-09-28-2201.1.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2016-09-28 2201.ana	2016-09-28	Unicameralism	XI Legislatura	-	22	1	-	Reference	English	Chairperson	MP	notMinister	GP-JxSi;GP-REP	Grup Parlamentari de Junts pel Sí;Grup Parlamentari Republicà	-	Big tent	ForcadellCarme	Forcadell i Lluís, Carme	F	1955	
ParlaMint-ES-CT-en_2016-09-28-2201	ParlaMint-ES-CT_2016-09-28-2201.2.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2016-09-28 2201.ana	2016-09-28	Unicameralism	XI Legislatura	-	22	1	-	Reference	English	Regular	MP	notMinister	GP-PSC	Grup Parlamentari Socialista	Opposition	Centre-left	PérezDavid	Pérez Ibáñez, David	M	1960	
ParlaMint-ES-CT-en_2016-09-28-2201	ParlaMint-ES-CT_2016-09-28-2201.3.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2016-09-28 2201.ana	2016-09-28	Unicameralism	XI Legislatura	-	22	1	-	Reference	English	Chairperson	MP	notMinister	GP-JxSi;GP-REP	Grup Parlamentari de Junts pel Sí;Grup Parlamentari Republicà	-	Big tent	ForcadellCarme	Forcadell i Lluís, Carme	F	1955	
ParlaMint-ES-CT-en_2016-09-28-2201	ParlaMint-ES-CT_2016-09-28-2201.4.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2016-09-28 2201.ana	2016-09-28	Unicameralism	XI Legislatura	-	22	1	-	Reference	English	Chairperson	MP	notMinister	GP-JxSi	Grup Parlamentari de Junts pel Sí	-	Big tent	PuigdemontCarles	Puigdemont i Casamajó, Carles	M	1962	
ParlaMint-ES-CT-en_2016-09-28-2201	ParlaMint-ES-CT_2016-09-28-2201.5.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2016-09-28 2201.ana	2016-09-28	Unicameralism	XI Legislatura	-	22	1	-	Reference	English	Chairperson	MP	notMinister	GP-JxSi;GP-REP	Grup Parlamentari de Junts pel Sí;Grup Parlamentari Republicà	-	Big tent	ForcadellCarme	Forcadell i Lluís, Carme	F	1955	
ParlaMint-ES-CT-en_2016-09-28-2201	ParlaMint-ES-CT_2016-09-28-2201.6.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2016-09-28 2201.ana	2016-09-28	Unicameralism	XI Legislatura	-	22	1	-	Reference	English	Chairperson	MP	notMinister	GP-JxSi	Grup Parlamentari de Junts pel Sí	-	Big tent	PuigdemontCarles	Puigdemont i Casamajó, Carles	M	1962	
ParlaMint-ES-CT-en_2016-09-28-2201	ParlaMint-ES-CT_2016-09-28-2201.7.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2016-09-28 2201.ana	2016-09-28	Unicameralism	XI Legislatura	-	22	1	-	Reference	English	Chairperson	MP	notMinister	GP-JxSi;GP-REP	Grup Parlamentari de Junts pel Sí;Grup Parlamentari Republicà	-	Big tent	ForcadellCarme	Forcadell i Lluís, Carme	F	1955	
