Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2015-12-19-60	ParlaMint-IS_2015-12-19-60.u1	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-60, 19.12.2015.	2015-12-19	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	EinarGudfinnsson1955	Guðfinnsson, Einar K.	M	1955	
ParlaMint-IS-en_2015-12-19-60	ParlaMint-IS_2015-12-19-60.u2	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-60, 19.12.2015.	2015-12-19	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	EinarGudfinnsson1955	Guðfinnsson, Einar K.	M	1955	
ParlaMint-IS-en_2015-12-19-60	ParlaMint-IS_2015-12-19-60.u3	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-60, 19.12.2015.	2015-12-19	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	F	Framsóknarflokkur	Coalition	Centre to centre-right	FrostiSigurjonsson	Sigurjónsson, Frosti	M	1962	
ParlaMint-IS-en_2015-12-19-60	ParlaMint-IS_2015-12-19-60.u4	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-60, 19.12.2015.	2015-12-19	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	RagnheidurRikhardsdottir	Ríkharðsdóttir, Ragnheiður	F	1949	
ParlaMint-IS-en_2015-12-19-60	ParlaMint-IS_2015-12-19-60.u5	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-60, 19.12.2015.	2015-12-19	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SteinunnArnadottir	Árnadóttir, Steinunn Þóra	F	1977	
ParlaMint-IS-en_2015-12-19-60	ParlaMint-IS_2015-12-19-60.u6	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-60, 19.12.2015.	2015-12-19	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	OgmundurJonasson	Jónasson, Ögmundur	M	1948	
ParlaMint-IS-en_2015-12-19-60	ParlaMint-IS_2015-12-19-60.u7	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-60, 19.12.2015.	2015-12-19	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	F	Framsóknarflokkur	Coalition	Centre to centre-right	WillumTHorsson	Þórsson, Willum Þór	M	1963	
ParlaMint-IS-en_2015-12-19-60	ParlaMint-IS_2015-12-19-60.u8	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-60, 19.12.2015.	2015-12-19	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	KatrinJakobsdottir	Jakobsdóttir, Katrín	F	1976	
ParlaMint-IS-en_2015-12-19-60	ParlaMint-IS_2015-12-19-60.u9	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-60, 19.12.2015.	2015-12-19	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	ArniArnason	Árnason, Árni Páll	M	1966	
ParlaMint-IS-en_2015-12-19-60	ParlaMint-IS_2015-12-19-60.u10	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-60, 19.12.2015.	2015-12-19	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	UnnurKonradsdottir	Konráðsdóttir, Unnur Brá	F	1974	
ParlaMint-IS-en_2015-12-19-60	ParlaMint-IS_2015-12-19-60.u11	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-60, 19.12.2015.	2015-12-19	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	OgmundurJonasson	Jónasson, Ögmundur	M	1948	
ParlaMint-IS-en_2015-12-19-60	ParlaMint-IS_2015-12-19-60.u12	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-60, 19.12.2015.	2015-12-19	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	SigridurIngadottir	Ingadóttir, Sigríður Ingibjörg	F	1968	
ParlaMint-IS-en_2015-12-19-60	ParlaMint-IS_2015-12-19-60.u13	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-60, 19.12.2015.	2015-12-19	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	RagnheidurRikhardsdottir	Ríkharðsdóttir, Ragnheiður	F	1949	
ParlaMint-IS-en_2015-12-19-60	ParlaMint-IS_2015-12-19-60.u14	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-60, 19.12.2015.	2015-12-19	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	SigridurAndersen	Andersen, Sigríður Á.	F	1971	
ParlaMint-IS-en_2015-12-19-60	ParlaMint-IS_2015-12-19-60.u15	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-60, 19.12.2015.	2015-12-19	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	F	Framsóknarflokkur	Coalition	Centre to centre-right	WillumTHorsson	Þórsson, Willum Þór	M	1963	
ParlaMint-IS-en_2015-12-19-60	ParlaMint-IS_2015-12-19-60.u16	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-60, 19.12.2015.	2015-12-19	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	ArniArnason	Árnason, Árni Páll	M	1966	
ParlaMint-IS-en_2015-12-19-60	ParlaMint-IS_2015-12-19-60.u17	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-60, 19.12.2015.	2015-12-19	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	KatrinJakobsdottir	Jakobsdóttir, Katrín	F	1976	
