Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2015-09-08-2	ParlaMint-IS_2015-09-08-2.u1	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-2, 08.09.2015.	2015-09-08	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	EinarGudfinnsson1955	Guðfinnsson, Einar K.	M	1955	
ParlaMint-IS-en_2015-09-08-2	ParlaMint-IS_2015-09-08-2.u2	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-2, 08.09.2015.	2015-09-08	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	SigmundurGunnlaugsson	Gunnlaugsson, Sigmundur Davíð	M	1975	
ParlaMint-IS-en_2015-09-08-2	ParlaMint-IS_2015-09-08-2.u3	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-2, 08.09.2015.	2015-09-08	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	ArniArnason	Árnason, Árni Páll	M	1966	
ParlaMint-IS-en_2015-09-08-2	ParlaMint-IS_2015-09-08-2.u4	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-2, 08.09.2015.	2015-09-08	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	KatrinJakobsdottir	Jakobsdóttir, Katrín	F	1976	
ParlaMint-IS-en_2015-09-08-2	ParlaMint-IS_2015-09-08-2.u5	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-2, 08.09.2015.	2015-09-08	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BjarniBenediktsson1970	Benediktsson, Bjarni	M	1970	
ParlaMint-IS-en_2015-09-08-2	ParlaMint-IS_2015-09-08-2.u6	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-2, 08.09.2015.	2015-09-08	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Bf	Björt framtíð	-	Centre	OttarrProppe	Proppé, Óttarr	M	1968	
ParlaMint-IS-en_2015-09-08-2	ParlaMint-IS_2015-09-08-2.u7	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-2, 08.09.2015.	2015-09-08	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	BirgittaJonsdottir	Jónsdóttir, Birgitta	F	1967	
ParlaMint-IS-en_2015-09-08-2	ParlaMint-IS_2015-09-08-2.u8	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-2, 08.09.2015.	2015-09-08	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	EygloHardardottir	Harðardóttir, Eygló	F	1972	
ParlaMint-IS-en_2015-09-08-2	ParlaMint-IS_2015-09-08-2.u9	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-2, 08.09.2015.	2015-09-08	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	KatrinJuliusdottir	Júlíusdóttir, Katrín	F	1974	
ParlaMint-IS-en_2015-09-08-2	ParlaMint-IS_2015-09-08-2.u10	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-2, 08.09.2015.	2015-09-08	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	BjarkeyGunnarsdottir	Gunnarsdóttir, Bjarkey Olsen	F	1965	
ParlaMint-IS-en_2015-09-08-2	ParlaMint-IS_2015-09-08-2.u11	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-2, 08.09.2015.	2015-09-08	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	JonGunnarsson	Gunnarsson, Jón	M	1956	
ParlaMint-IS-en_2015-09-08-2	ParlaMint-IS_2015-09-08-2.u12	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-2, 08.09.2015.	2015-09-08	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Bf	Björt framtíð	-	Centre	BrynhildurPetursdottir	Pétursdóttir, Brynhildur	F	1969	
