Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2015-04-20-92	ParlaMint-IS_2015-04-20-92.u1	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-92, 20.04.2015.	2015-04-20	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	SigrunMagnusdottir	Magnúsdóttir, Sigrún	F	1944	
ParlaMint-IS-en_2015-04-20-92	ParlaMint-IS_2015-04-20-92.u2	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-92, 20.04.2015.	2015-04-20	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2015-04-20-92	ParlaMint-IS_2015-04-20-92.u3	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-92, 20.04.2015.	2015-04-20	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	SigrunMagnusdottir	Magnúsdóttir, Sigrún	F	1944	
ParlaMint-IS-en_2015-04-20-92	ParlaMint-IS_2015-04-20-92.u4	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-92, 20.04.2015.	2015-04-20	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2015-04-20-92	ParlaMint-IS_2015-04-20-92.u5	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-92, 20.04.2015.	2015-04-20	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	SigrunMagnusdottir	Magnúsdóttir, Sigrún	F	1944	
ParlaMint-IS-en_2015-04-20-92	ParlaMint-IS_2015-04-20-92.u6	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-92, 20.04.2015.	2015-04-20	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	SigrunMagnusdottir	Magnúsdóttir, Sigrún	F	1944	
ParlaMint-IS-en_2015-04-20-92	ParlaMint-IS_2015-04-20-92.u7	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-92, 20.04.2015.	2015-04-20	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	KatrinJuliusdottir	Júlíusdóttir, Katrín	F	1974	
ParlaMint-IS-en_2015-04-20-92	ParlaMint-IS_2015-04-20-92.u8	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-92, 20.04.2015.	2015-04-20	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2015-04-20-92	ParlaMint-IS_2015-04-20-92.u9	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-92, 20.04.2015.	2015-04-20	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	F	Framsóknarflokkur	Coalition	Centre to centre-right	HoskuldurTHorhallsson	Þórhallsson, Höskuldur	M	1973	
ParlaMint-IS-en_2015-04-20-92	ParlaMint-IS_2015-04-20-92.u10	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-92, 20.04.2015.	2015-04-20	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	SigrunMagnusdottir	Magnúsdóttir, Sigrún	F	1944	
