Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2015-06-16-132	ParlaMint-IS_2015-06-16-132.u1	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-132, 16.06.2015.	2015-06-16	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	SigmundurGunnlaugsson	Gunnlaugsson, Sigmundur Davíð	M	1975	
ParlaMint-IS-en_2015-06-16-132	ParlaMint-IS_2015-06-16-132.u2	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-132, 16.06.2015.	2015-06-16	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	KatrinJakobsdottir	Jakobsdóttir, Katrín	F	1976	
ParlaMint-IS-en_2015-06-16-132	ParlaMint-IS_2015-06-16-132.u3	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-132, 16.06.2015.	2015-06-16	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	KatrinJuliusdottir	Júlíusdóttir, Katrín	F	1974	
ParlaMint-IS-en_2015-06-16-132	ParlaMint-IS_2015-06-16-132.u4	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-132, 16.06.2015.	2015-06-16	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	notMP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	SigridurAndersen	Andersen, Sigríður Á.	F	1971	
ParlaMint-IS-en_2015-06-16-132	ParlaMint-IS_2015-06-16-132.u5	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-132, 16.06.2015.	2015-06-16	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	UnnurKonradsdottir	Konráðsdóttir, Unnur Brá	F	1974	
ParlaMint-IS-en_2015-06-16-132	ParlaMint-IS_2015-06-16-132.u6	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-132, 16.06.2015.	2015-06-16	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	F	Framsóknarflokkur	Coalition	Centre to centre-right	JohannaSigmundsdottir	Sigmundsdóttir, Jóhanna María	F	1991	
ParlaMint-IS-en_2015-06-16-132	ParlaMint-IS_2015-06-16-132.u7	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-132, 16.06.2015.	2015-06-16	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	HannaKristjansdottir	Kristjánsdóttir, Hanna Birna	F	1966	
