Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2015-07-03-147	ParlaMint-IS_2015-07-03-147.u1	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-147, 03.07.2015.	2015-07-03	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	SigridurAndersen	Andersen, Sigríður Á.	F	1971	
ParlaMint-IS-en_2015-07-03-147	ParlaMint-IS_2015-07-03-147.u2	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-147, 03.07.2015.	2015-07-03	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	HelgiHjorvar	Hjörvar, Helgi	M	1967	
ParlaMint-IS-en_2015-07-03-147	ParlaMint-IS_2015-07-03-147.u3	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-147, 03.07.2015.	2015-07-03	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	EinarGudfinnsson1955	Guðfinnsson, Einar K.	M	1955	
ParlaMint-IS-en_2015-07-03-147	ParlaMint-IS_2015-07-03-147.u4	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-147, 03.07.2015.	2015-07-03	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	HelgiGunnarsson	Gunnarsson, Helgi Hrafn	M	1980	
ParlaMint-IS-en_2015-07-03-147	ParlaMint-IS_2015-07-03-147.u5	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-147, 03.07.2015.	2015-07-03	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	EinarGudfinnsson1955	Guðfinnsson, Einar K.	M	1955	
ParlaMint-IS-en_2015-07-03-147	ParlaMint-IS_2015-07-03-147.u6	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-147, 03.07.2015.	2015-07-03	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	SigmundurGunnlaugsson	Gunnlaugsson, Sigmundur Davíð	M	1975	
