Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2015-02-16-66	ParlaMint-IS_2015-02-16-66.u1	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-66, 16.02.2015.	2015-02-16	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	VilhjalmurBjarnason	Bjarnason, Vilhjálmur	M	1952	
ParlaMint-IS-en_2015-02-16-66	ParlaMint-IS_2015-02-16-66.u2	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-66, 16.02.2015.	2015-02-16	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	RagnheidurRikhardsdottir	Ríkharðsdóttir, Ragnheiður	F	1949	
ParlaMint-IS-en_2015-02-16-66	ParlaMint-IS_2015-02-16-66.u3	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-66, 16.02.2015.	2015-02-16	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	SigurdurJohannsson	Jóhannsson, Sigurður Ingi	M	1962	
ParlaMint-IS-en_2015-02-16-66	ParlaMint-IS_2015-02-16-66.u4	Speeches in the national parliament of Iceland, 21. term, regular meeting 144-66, 16.02.2015.	2015-02-16	Unicameralism	21. kjörtímabil	144. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	SigurdurJohannsson	Jóhannsson, Sigurður Ingi	M	1962	
