Year,AT,BA,BE,BG,CZ,DK,EE,ES,ES-CT,ES-GA,ES-PV,FI,FR,GB,GR,HR,HU,IS,IT,LV,NL,NO,PL,PT,RS,SE,SI,TR,UA
1996,0.012347434199182297,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,0.012372280845011126,,,,,,,,,,,,,,,,,,,,,,,,0.04825514069913572,,,,
1998,-0.0023707306374692256,-0.01614760293159634,,,,,,,,,,,,,,,,,,,,0.05747516171929114,,,-0.002197697547671861,,,,
1999,0.0032976406626403455,-0.0458750106793429,,,,,,,,,,,,,,,,,,,,0.059037581668235334,,,-0.0011124597804155107,,,,
2000,0.0020770122180693005,-0.0003995724570510656,,,,,,,,,,,,,,,,,,,,0.04590640259266364,,,0.011890169798529563,,0.024941934974776817,,
2001,-0.01091404796461574,-0.013529902307449689,,,,,,,,,,,,,,,,,,,,0.02615336879848149,,,-0.004427745413067892,,0.023593065152656186,,
2002,0.02119035249343141,-0.014768117260246072,,,,,,,,,,,,,,,,,,,,0.03641154377126237,,,-0.0007319468422792809,,0.010555684923019717,,0.013831262929468506
2003,0.001869892848844769,0.013769943740044243,,,,,,,,,,,,,,0.02351475613158981,,,,,,0.03312096668669253,,,-0.003637341109828813,,0.02528365872179468,,0.0035091470150897886
2004,0.012748489348450655,-0.022606930595429713,,,,,,,,,,,,,,0.015459053903921605,,,,,,0.02960263969402552,,,0.02715424234629608,,0.009548352689307645,,-0.013162014463159696
2005,0.013372720682430849,-0.05439052028426278,,,,,,,,,,,,,,0.023954410417354657,,,,,,0.0380657586705638,,,-0.015628281158569714,,0.014167362199966897,,0.00699932771676687
2006,-2.4209534406810814e-05,-0.010701827656400077,,,,,,,,,,,,,,0.017181551735848184,,,,,,0.04946285039732173,,,-0.015361289479187669,,0.020420016644897662,,0.0005511788230150105
2007,-0.0005872588037164013,-0.04322110751776821,,,,,,,,,,,,,,0.01568855397181324,,,,,,0.037329905021276005,,,-0.00047453353181481014,,0.01879788050751408,,-0.02087936729076318
2008,0.011004496737223226,-0.020680198565969476,,,,,,,,,,,,,,0.027075486254438536,,,,,,0.047893506649415926,,,-0.01245011618205656,,0.021772575629357666,,-0.01646858238382263
2009,0.016054930876836997,-0.025230945570001478,,,,,,,,,,,,,,0.01261999241833108,,,,,,0.04433393465135141,,,0.008971445883313809,,0.01267074024953116,,-0.0031076631922688663
2010,0.006074463664036651,0.006453559109104379,,,,,,,,,,,,,,0.019116839877096926,,,,,,0.03436867167571714,,,0.019133907859213636,,0.012133098322212592,,0.007788111714035026
