Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-UA-en_2015-05-08-m0	ParlaMint-UA_2015-05-08-m0.u1	Ukrainian parliamentary corpus ParlaMint-UA-en, term 8, session 2, sitting day 2015-05-08, n0	2015-05-08	Unicameralism	8	2	-	2015-05-08	-	Reference	English	Chairperson	MP	notMinister	NF	People's Front	-	Centre-right to right	АндрійВолодимировичПарубій.1971	Parubij, Andrij Volodymyrovyč	M	1971	
ParlaMint-UA-en_2015-05-08-m0	ParlaMint-UA_2015-05-08-m0.u2	Ukrainian parliamentary corpus ParlaMint-UA-en, term 8, session 2, sitting day 2015-05-08, n0	2015-05-08	Unicameralism	8	2	-	2015-05-08	-	Reference	English	Guest	notMP	notMinister	NU	Our Ukraine	-	Centre-right	ПетроОлексійовичПорошенко.1965	Porošenko, Petro Oleksijovyč	M	1965	
ParlaMint-UA-en_2015-05-08-m0	ParlaMint-UA_2015-05-08-m0.u3	Ukrainian parliamentary corpus ParlaMint-UA-en, term 8, session 2, sitting day 2015-05-08, n0	2015-05-08	Unicameralism	8	2	-	2015-05-08	-	Reference	English	Chairperson	MP	notMinister	NF	People's Front	-	Centre-right to right	АндрійВолодимировичПарубій.1971	Parubij, Andrij Volodymyrovyč	M	1971	
ParlaMint-UA-en_2015-05-08-m0	ParlaMint-UA_2015-05-08-m0.u4	Ukrainian parliamentary corpus ParlaMint-UA-en, term 8, session 2, sitting day 2015-05-08, n0	2015-05-08	Unicameralism	8	2	-	2015-05-08	-	Reference	English	Chairperson	MP	notMinister	NF	People's Front	-	Centre-right to right	АндрійВолодимировичПарубій.1971	Parubij, Andrij Volodymyrovyč	M	1971	
ParlaMint-UA-en_2015-05-08-m0	ParlaMint-UA_2015-05-08-m0.u5	Ukrainian parliamentary corpus ParlaMint-UA-en, term 8, session 2, sitting day 2015-05-08, n0	2015-05-08	Unicameralism	8	2	-	2015-05-08	-	Reference	English	Guest	notMP	notMinister	NU	Our Ukraine	-	Centre-right	ПетроОлексійовичПорошенко.1965	Porošenko, Petro Oleksijovyč	M	1965	
ParlaMint-UA-en_2015-05-08-m0	ParlaMint-UA_2015-05-08-m0.u6	Ukrainian parliamentary corpus ParlaMint-UA-en, term 8, session 2, sitting day 2015-05-08, n0	2015-05-08	Unicameralism	8	2	-	2015-05-08	-	Reference	English	Chairperson	MP	notMinister	NF	People's Front	-	Centre-right to right	АндрійВолодимировичПарубій.1971	Parubij, Andrij Volodymyrovyč	M	1971	
ParlaMint-UA-en_2015-05-08-m0	ParlaMint-UA_2015-05-08-m0.u7	Ukrainian parliamentary corpus ParlaMint-UA-en, term 8, session 2, sitting day 2015-05-08, n0	2015-05-08	Unicameralism	8	2	-	2015-05-08	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	ІгорРафаїловичЮхновський.1925	Juchnovs'kyj, Ihor Rafaïlovyč	M	1925	
ParlaMint-UA-en_2015-05-08-m0	ParlaMint-UA_2015-05-08-m0.u8	Ukrainian parliamentary corpus ParlaMint-UA-en, term 8, session 2, sitting day 2015-05-08, n0	2015-05-08	Unicameralism	8	2	-	2015-05-08	-	Reference	English	Chairperson	MP	notMinister	NF	People's Front	-	Centre-right to right	АндрійВолодимировичПарубій.1971	Parubij, Andrij Volodymyrovyč	M	1971	
ParlaMint-UA-en_2015-05-08-m0	ParlaMint-UA_2015-05-08-m0.u9	Ukrainian parliamentary corpus ParlaMint-UA-en, term 8, session 2, sitting day 2015-05-08, n0	2015-05-08	Unicameralism	8	2	-	2015-05-08	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	ВолодимирОлексійовичГринюк.1974	Hrynjuk, Volodymyr Oleksijovyč	M	1974	
ParlaMint-UA-en_2015-05-08-m0	ParlaMint-UA_2015-05-08-m0.u10	Ukrainian parliamentary corpus ParlaMint-UA-en, term 8, session 2, sitting day 2015-05-08, n0	2015-05-08	Unicameralism	8	2	-	2015-05-08	-	Reference	English	Chairperson	MP	notMinister	NF	People's Front	-	Centre-right to right	АндрійВолодимировичПарубій.1971	Parubij, Andrij Volodymyrovyč	M	1971	
ParlaMint-UA-en_2015-05-08-m0	ParlaMint-UA_2015-05-08-m0.u11	Ukrainian parliamentary corpus ParlaMint-UA-en, term 8, session 2, sitting day 2015-05-08, n0	2015-05-08	Unicameralism	8	2	-	2015-05-08	-	Reference	English	Chairperson	MP	notMinister	NF	People's Front	-	Centre-right to right	АндрійВолодимировичПарубій.1971	Parubij, Andrij Volodymyrovyč	M	1971	
