Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HR-en_2016-11-17-0	ParlaMint-HR_2016-11-17-0.u213	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 1	2016-11-17	Unicameralism	9. mandat	-	Zasedanje 1	2016-11-17	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	ReinerŽeljko	Reiner, Željko	M	1953	
ParlaMint-HR-en_2016-11-17-0	ParlaMint-HR_2016-11-17-0.u214	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 1	2016-11-17	Unicameralism	9. mandat	-	Zasedanje 1	2016-11-17	-	Reference	English	Regular	MP	notMinister	nezavisni	nezavisni	-	-	LackovićŽeljko	Lacković, Željko	M	1971	
ParlaMint-HR-en_2016-11-17-0	ParlaMint-HR_2016-11-17-0.u215	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 1	2016-11-17	Unicameralism	9. mandat	-	Zasedanje 1	2016-11-17	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	ReinerŽeljko	Reiner, Željko	M	1953	
ParlaMint-HR-en_2016-11-17-0	ParlaMint-HR_2016-11-17-0.u216	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 1	2016-11-17	Unicameralism	9. mandat	-	Zasedanje 1	2016-11-17	-	Reference	English	Regular	MP	notMinister	HSS	Hrvatska seljačka stranka	Coalition	Centre to centre-right	PetinAnaMarija	Petin, Ana-Marija	F	1976	
ParlaMint-HR-en_2016-11-17-0	ParlaMint-HR_2016-11-17-0.u217	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 1	2016-11-17	Unicameralism	9. mandat	-	Zasedanje 1	2016-11-17	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	ReinerŽeljko	Reiner, Željko	M	1953	
ParlaMint-HR-en_2016-11-17-0	ParlaMint-HR_2016-11-17-0.u218	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 1	2016-11-17	Unicameralism	9. mandat	-	Zasedanje 1	2016-11-17	-	Reference	English	Regular	MP	notMinister	Živi zid	Živi zid	Coalition	-	PernarIvan	Pernar, Ivan	M	1985	
ParlaMint-HR-en_2016-11-17-0	ParlaMint-HR_2016-11-17-0.u219	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 1	2016-11-17	Unicameralism	9. mandat	-	Zasedanje 1	2016-11-17	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	ReinerŽeljko	Reiner, Željko	M	1953	
ParlaMint-HR-en_2016-11-17-0	ParlaMint-HR_2016-11-17-0.u220	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 1	2016-11-17	Unicameralism	9. mandat	-	Zasedanje 1	2016-11-17	-	Reference	English	Regular	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	BačićBranko	Bačić, Branko	M	1959	
ParlaMint-HR-en_2016-11-17-0	ParlaMint-HR_2016-11-17-0.u221	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 1	2016-11-17	Unicameralism	9. mandat	-	Zasedanje 1	2016-11-17	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	ReinerŽeljko	Reiner, Željko	M	1953	
ParlaMint-HR-en_2016-11-17-0	ParlaMint-HR_2016-11-17-0.u223	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 1	2016-11-17	Unicameralism	9. mandat	-	Zasedanje 1	2016-11-17	-	Reference	English	Regular	MP	notMinister	nezavisni	nezavisni	-	-	LackovićŽeljko	Lacković, Željko	M	1971	
ParlaMint-HR-en_2016-11-17-0	ParlaMint-HR_2016-11-17-0.u224	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 1	2016-11-17	Unicameralism	9. mandat	-	Zasedanje 1	2016-11-17	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	ReinerŽeljko	Reiner, Željko	M	1953	
ParlaMint-HR-en_2016-11-17-0	ParlaMint-HR_2016-11-17-0.u225	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 1	2016-11-17	Unicameralism	9. mandat	-	Zasedanje 1	2016-11-17	-	Reference	English	Regular	MP	notMinister	HSS	Hrvatska seljačka stranka	Coalition	Centre to centre-right	PetinAnaMarija	Petin, Ana-Marija	F	1976	
