Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HR-en_2016-03-21-0	ParlaMint-HR_2016-03-21-0.u327	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 2	2016-03-21	Unicameralism	8. mandat	-	Zasedanje 2	2016-03-21	-	Reference	English	Regular	MP	notMinister	Hrvatski laburisti	Hrvatski laburisti – Stranka rada	Coalition	Centre-left to left	KončevskiTomislav	Končevski, Tomislav	M	1970	
ParlaMint-HR-en_2016-03-21-0	ParlaMint-HR_2016-03-21-0.u328	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 2	2016-03-21	Unicameralism	8. mandat	-	Zasedanje 2	2016-03-21	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	ReinerŽeljko	Reiner, Željko	M	1953	
ParlaMint-HR-en_2016-03-21-0	ParlaMint-HR_2016-03-21-0.u329	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 2	2016-03-21	Unicameralism	8. mandat	-	Zasedanje 2	2016-03-21	-	Reference	English	Regular	MP	notMinister	Hrvatski laburisti	Hrvatski laburisti – Stranka rada	Coalition	Centre-left to left	KončevskiTomislav	Končevski, Tomislav	M	1970	
ParlaMint-HR-en_2016-03-21-0	ParlaMint-HR_2016-03-21-0.u330	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 2	2016-03-21	Unicameralism	8. mandat	-	Zasedanje 2	2016-03-21	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	ReinerŽeljko	Reiner, Željko	M	1953	
ParlaMint-HR-en_2016-03-21-0	ParlaMint-HR_2016-03-21-0.u332	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 2	2016-03-21	Unicameralism	8. mandat	-	Zasedanje 2	2016-03-21	-	Reference	English	Regular	MP	notMinister	Hrvatski laburisti	Hrvatski laburisti – Stranka rada	Coalition	Centre-left to left	KončevskiTomislav	Končevski, Tomislav	M	1970	
ParlaMint-HR-en_2016-03-21-0	ParlaMint-HR_2016-03-21-0.u333	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 2	2016-03-21	Unicameralism	8. mandat	-	Zasedanje 2	2016-03-21	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	ReinerŽeljko	Reiner, Željko	M	1953	
ParlaMint-HR-en_2016-03-21-0	ParlaMint-HR_2016-03-21-0.u6830	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 2	2016-03-21	Unicameralism	8. mandat	-	Zasedanje 2	2016-03-21	-	Reference	English	Regular	MP	notMinister	BM365	Bandić Milan 365 - Stranka rada i solidarnosti	Coalition	Centre-left	DemoMiodrag	Demo, Miodrag	M	1967	
ParlaMint-HR-en_2016-03-21-0	ParlaMint-HR_2016-03-21-0.u6831	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 2	2016-03-21	Unicameralism	8. mandat	-	Zasedanje 2	2016-03-21	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	ReinerŽeljko	Reiner, Željko	M	1953	
ParlaMint-HR-en_2016-03-21-0	ParlaMint-HR_2016-03-21-0.u6832	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 2	2016-03-21	Unicameralism	8. mandat	-	Zasedanje 2	2016-03-21	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MedvedTomo	Medved, Tomo	M	1968	
ParlaMint-HR-en_2016-03-21-0	ParlaMint-HR_2016-03-21-0.u6833	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 2	2016-03-21	Unicameralism	8. mandat	-	Zasedanje 2	2016-03-21	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	ReinerŽeljko	Reiner, Željko	M	1953	
