Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HR-en_2016-10-27-0	ParlaMint-HR_2016-10-27-0.u66	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 1	2016-10-27	Unicameralism	9. mandat	-	Zasedanje 1	2016-11-17	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	ReinerŽeljko	Reiner, Željko	M	1953	
ParlaMint-HR-en_2016-10-27-0	ParlaMint-HR_2016-10-27-0.u67	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 1	2016-10-27	Unicameralism	9. mandat	-	Zasedanje 1	2016-11-17	-	Reference	English	Regular	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	BuljMiro	Bulj, Miro	M	1972	
ParlaMint-HR-en_2016-10-27-0	ParlaMint-HR_2016-10-27-0.u68	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 1	2016-10-27	Unicameralism	9. mandat	-	Zasedanje 1	2016-11-17	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	ReinerŽeljko	Reiner, Željko	M	1953	
ParlaMint-HR-en_2016-10-27-0	ParlaMint-HR_2016-10-27-0.u70	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 1	2016-10-27	Unicameralism	9. mandat	-	Zasedanje 1	2016-11-17	-	Reference	English	Regular	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	BuljMiro	Bulj, Miro	M	1972	
ParlaMint-HR-en_2016-10-27-0	ParlaMint-HR_2016-10-27-0.u71	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 1	2016-10-27	Unicameralism	9. mandat	-	Zasedanje 1	2016-11-17	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	ReinerŽeljko	Reiner, Željko	M	1953	
