Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HR-en_2016-12-15-0	ParlaMint-HR_2016-12-15-0.u18055	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 2	2016-12-15	Unicameralism	9. mandat	-	Zasedanje 2	2016-12-15	-	Reference	English	Regular	MP	notMinister	Živi zid	Živi zid	Coalition	-	SinčićIvanVilibor	Sinčić, Ivan Vilibor	M	1990	
ParlaMint-HR-en_2016-12-15-0	ParlaMint-HR_2016-12-15-0.u18056	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 2	2016-12-15	Unicameralism	9. mandat	-	Zasedanje 2	2016-12-15	-	Reference	English	Chairperson	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	PetrovBožo	Petrov, Božo	M	1979	
ParlaMint-HR-en_2016-12-15-0	ParlaMint-HR_2016-12-15-0.u18057	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 2	2016-12-15	Unicameralism	9. mandat	-	Zasedanje 2	2016-12-15	-	Reference	English	Regular	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	GrbinPeđa	Grbin, Peđa	M	1979	
ParlaMint-HR-en_2016-12-15-0	ParlaMint-HR_2016-12-15-0.u18058	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 2	2016-12-15	Unicameralism	9. mandat	-	Zasedanje 2	2016-12-15	-	Reference	English	Chairperson	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	PetrovBožo	Petrov, Božo	M	1979	
ParlaMint-HR-en_2016-12-15-0	ParlaMint-HR_2016-12-15-0.u18059	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 2	2016-12-15	Unicameralism	9. mandat	-	Zasedanje 2	2016-12-15	-	Reference	English	Regular	MP	notMinister	PH	Promijenimo Hrvatsku!	Coalition	-	LovrinovićIvan	Lovrinović, Ivan	M	1960	
ParlaMint-HR-en_2016-12-15-0	ParlaMint-HR_2016-12-15-0.u18060	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 2	2016-12-15	Unicameralism	9. mandat	-	Zasedanje 2	2016-12-15	-	Reference	English	Chairperson	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	PetrovBožo	Petrov, Božo	M	1979	
ParlaMint-HR-en_2016-12-15-0	ParlaMint-HR_2016-12-15-0.u18061	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 2	2016-12-15	Unicameralism	9. mandat	-	Zasedanje 2	2016-12-15	-	Reference	English	Regular	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	BuljMiro	Bulj, Miro	M	1972	
ParlaMint-HR-en_2016-12-15-0	ParlaMint-HR_2016-12-15-0.u18062	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 2	2016-12-15	Unicameralism	9. mandat	-	Zasedanje 2	2016-12-15	-	Reference	English	Chairperson	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	PetrovBožo	Petrov, Božo	M	1979	
ParlaMint-HR-en_2016-12-15-0	ParlaMint-HR_2016-12-15-0.u18063	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 2	2016-12-15	Unicameralism	9. mandat	-	Zasedanje 2	2016-12-15	-	Reference	English	Regular	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	BuljMiro	Bulj, Miro	M	1972	
ParlaMint-HR-en_2016-12-15-0	ParlaMint-HR_2016-12-15-0.u18064	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 2	2016-12-15	Unicameralism	9. mandat	-	Zasedanje 2	2016-12-15	-	Reference	English	Chairperson	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	PetrovBožo	Petrov, Božo	M	1979	
ParlaMint-HR-en_2016-12-15-0	ParlaMint-HR_2016-12-15-0.u18066	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 2	2016-12-15	Unicameralism	9. mandat	-	Zasedanje 2	2016-12-15	-	Reference	English	Regular	MP	notMinister	Živi zid	Živi zid	Coalition	-	SinčićIvanVilibor	Sinčić, Ivan Vilibor	M	1990	
ParlaMint-HR-en_2016-12-15-0	ParlaMint-HR_2016-12-15-0.u18067	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 2	2016-12-15	Unicameralism	9. mandat	-	Zasedanje 2	2016-12-15	-	Reference	English	Chairperson	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	PetrovBožo	Petrov, Božo	M	1979	
ParlaMint-HR-en_2016-12-15-0	ParlaMint-HR_2016-12-15-0.u18068	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 2	2016-12-15	Unicameralism	9. mandat	-	Zasedanje 2	2016-12-15	-	Reference	English	Regular	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	GrčićBranko	Grčić, Branko	M	1964	
ParlaMint-HR-en_2016-12-15-0	ParlaMint-HR_2016-12-15-0.u18069	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 2	2016-12-15	Unicameralism	9. mandat	-	Zasedanje 2	2016-12-15	-	Reference	English	Chairperson	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	PetrovBožo	Petrov, Božo	M	1979	
ParlaMint-HR-en_2016-12-15-0	ParlaMint-HR_2016-12-15-0.u18070	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 2	2016-12-15	Unicameralism	9. mandat	-	Zasedanje 2	2016-12-15	-	Reference	English	Regular	MP	notMinister	PH	Promijenimo Hrvatsku!	Coalition	-	LovrinovićIvan	Lovrinović, Ivan	M	1960	
ParlaMint-HR-en_2016-12-15-0	ParlaMint-HR_2016-12-15-0.u18071	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 2	2016-12-15	Unicameralism	9. mandat	-	Zasedanje 2	2016-12-15	-	Reference	English	Chairperson	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	PetrovBožo	Petrov, Božo	M	1979	
ParlaMint-HR-en_2016-12-15-0	ParlaMint-HR_2016-12-15-0.u18072	Minutes of the National Assembly of the Republic of Croatia, Term 9, Session 2	2016-12-15	Unicameralism	9. mandat	-	Zasedanje 2	2016-12-15	-	Reference	English	Regular	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	PanenićTomislav	Panenić, Tomislav	M	1973	
