Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2014-05-05	ParlaMint-EE_2014-05-05_U1	XII Parliament term, VII Session, Plenary Assembly regular meeting on Monday, 05.05.2014, 15:00	2014-05-05	Unicameralism	XII Riigikogu	VII regular session	-	2014-05-05	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2014-05-05	ParlaMint-EE_2014-05-05_U2	XII Parliament term, VII Session, Plenary Assembly regular meeting on Monday, 05.05.2014, 15:00	2014-05-05	Unicameralism	XII Riigikogu	VII regular session	-	2014-05-05	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	m_reps_19750113	Reps, Mailis	F	1975	
ParlaMint-EE-en_2014-05-05	ParlaMint-EE_2014-05-05_U3	XII Parliament term, VII Session, Plenary Assembly regular meeting on Monday, 05.05.2014, 15:00	2014-05-05	Unicameralism	XII Riigikogu	VII regular session	-	2014-05-05	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2014-05-05	ParlaMint-EE_2014-05-05_U4	XII Parliament term, VII Session, Plenary Assembly regular meeting on Monday, 05.05.2014, 15:00	2014-05-05	Unicameralism	XII Riigikogu	VII regular session	-	2014-05-05	-	Reference	English	Regular	MP	notMinister	-	-	-	-	r_vakra_19810310	Vakra, Rainer	M	1981	
ParlaMint-EE-en_2014-05-05	ParlaMint-EE_2014-05-05_U5	XII Parliament term, VII Session, Plenary Assembly regular meeting on Monday, 05.05.2014, 15:00	2014-05-05	Unicameralism	XII Riigikogu	VII regular session	-	2014-05-05	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2014-05-05	ParlaMint-EE_2014-05-05_U6	XII Parliament term, VII Session, Plenary Assembly regular meeting on Monday, 05.05.2014, 15:00	2014-05-05	Unicameralism	XII Riigikogu	VII regular session	-	2014-05-05	-	Reference	English	Regular	MP	notMinister	ISA	Isamaa	-	Centre-right to right	a_kokk_19600415	Kokk, Aivar	M	1960	
ParlaMint-EE-en_2014-05-05	ParlaMint-EE_2014-05-05_U7	XII Parliament term, VII Session, Plenary Assembly regular meeting on Monday, 05.05.2014, 15:00	2014-05-05	Unicameralism	XII Riigikogu	VII regular session	-	2014-05-05	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2014-05-05	ParlaMint-EE_2014-05-05_U8	XII Parliament term, VII Session, Plenary Assembly regular meeting on Monday, 05.05.2014, 15:00	2014-05-05	Unicameralism	XII Riigikogu	VII regular session	-	2014-05-05	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	h_tõnisson_00000000	Tõnisson, Heili	F	-	
ParlaMint-EE-en_2014-05-05	ParlaMint-EE_2014-05-05_U9	XII Parliament term, VII Session, Plenary Assembly regular meeting on Monday, 05.05.2014, 15:00	2014-05-05	Unicameralism	XII Riigikogu	VII regular session	-	2014-05-05	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2014-05-05	ParlaMint-EE_2014-05-05_U10	XII Parliament term, VII Session, Plenary Assembly regular meeting on Monday, 05.05.2014, 15:00	2014-05-05	Unicameralism	XII Riigikogu	VII regular session	-	2014-05-05	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
