Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2014-10-09	ParlaMint-EE_2014-10-09_U1	XII Parliament term, VIII Session, Plenary Assembly regular meeting on Thursday, 09.10.2014, 10:00	2014-10-09	Unicameralism	XII Riigikogu	VIII regular session	-	2014-10-09	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2014-10-09	ParlaMint-EE_2014-10-09_U2	XII Parliament term, VIII Session, Plenary Assembly regular meeting on Thursday, 09.10.2014, 10:00	2014-10-09	Unicameralism	XII Riigikogu	VIII regular session	-	2014-10-09	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2014-10-09	ParlaMint-EE_2014-10-09_U3	XII Parliament term, VIII Session, Plenary Assembly regular meeting on Thursday, 09.10.2014, 10:00	2014-10-09	Unicameralism	XII Riigikogu	VIII regular session	-	2014-10-09	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	k_michal_19750712	Michal, Kristen	M	1975	
ParlaMint-EE-en_2014-10-09	ParlaMint-EE_2014-10-09_U4	XII Parliament term, VIII Session, Plenary Assembly regular meeting on Thursday, 09.10.2014, 10:00	2014-10-09	Unicameralism	XII Riigikogu	VIII regular session	-	2014-10-09	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2014-10-09	ParlaMint-EE_2014-10-09_U5	XII Parliament term, VIII Session, Plenary Assembly regular meeting on Thursday, 09.10.2014, 10:00	2014-10-09	Unicameralism	XII Riigikogu	VIII regular session	-	2014-10-09	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	i_gräzin_19520627	Gräzin, Igor	M	1952	
ParlaMint-EE-en_2014-10-09	ParlaMint-EE_2014-10-09_U6	XII Parliament term, VIII Session, Plenary Assembly regular meeting on Thursday, 09.10.2014, 10:00	2014-10-09	Unicameralism	XII Riigikogu	VIII regular session	-	2014-10-09	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2014-10-09	ParlaMint-EE_2014-10-09_U7	XII Parliament term, VIII Session, Plenary Assembly regular meeting on Thursday, 09.10.2014, 10:00	2014-10-09	Unicameralism	XII Riigikogu	VIII regular session	-	2014-10-09	-	Reference	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2014-10-09	ParlaMint-EE_2014-10-09_U8	XII Parliament term, VIII Session, Plenary Assembly regular meeting on Thursday, 09.10.2014, 10:00	2014-10-09	Unicameralism	XII Riigikogu	VIII regular session	-	2014-10-09	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2014-10-09	ParlaMint-EE_2014-10-09_U9	XII Parliament term, VIII Session, Plenary Assembly regular meeting on Thursday, 09.10.2014, 10:00	2014-10-09	Unicameralism	XII Riigikogu	VIII regular session	-	2014-10-09	-	Reference	English	Regular	MP	notMinister	ISA	Isamaa	-	Centre-right to right	k_iva_19640428	Iva, Kaia	F	1964	
ParlaMint-EE-en_2014-10-09	ParlaMint-EE_2014-10-09_U10	XII Parliament term, VIII Session, Plenary Assembly regular meeting on Thursday, 09.10.2014, 10:00	2014-10-09	Unicameralism	XII Riigikogu	VIII regular session	-	2014-10-09	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2014-10-09	ParlaMint-EE_2014-10-09_U11	XII Parliament term, VIII Session, Plenary Assembly regular meeting on Thursday, 09.10.2014, 10:00	2014-10-09	Unicameralism	XII Riigikogu	VIII regular session	-	2014-10-09	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	k_simson_19770122	Simson, Kadri	F	1977	
ParlaMint-EE-en_2014-10-09	ParlaMint-EE_2014-10-09_U12	XII Parliament term, VIII Session, Plenary Assembly regular meeting on Thursday, 09.10.2014, 10:00	2014-10-09	Unicameralism	XII Riigikogu	VIII regular session	-	2014-10-09	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2014-10-09	ParlaMint-EE_2014-10-09_U13	XII Parliament term, VIII Session, Plenary Assembly regular meeting on Thursday, 09.10.2014, 10:00	2014-10-09	Unicameralism	XII Riigikogu	VIII regular session	-	2014-10-09	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2014-10-09	ParlaMint-EE_2014-10-09_U14	XII Parliament term, VIII Session, Plenary Assembly regular meeting on Thursday, 09.10.2014, 10:00	2014-10-09	Unicameralism	XII Riigikogu	VIII regular session	-	2014-10-09	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	r_maruste_19530927	Maruste, Rait	M	1953	
ParlaMint-EE-en_2014-10-09	ParlaMint-EE_2014-10-09_U15	XII Parliament term, VIII Session, Plenary Assembly regular meeting on Thursday, 09.10.2014, 10:00	2014-10-09	Unicameralism	XII Riigikogu	VIII regular session	-	2014-10-09	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
