Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2014-09-15	ParlaMint-EE_2014-09-15_U1	XII Parliament term, VIII Session, Plenary Assembly regular meeting on Monday, 15.09.2014, 15:00	2014-09-15	Unicameralism	XII Riigikogu	VIII regular session	-	2014-09-15	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2014-09-15	ParlaMint-EE_2014-09-15_U2	XII Parliament term, VIII Session, Plenary Assembly regular meeting on Monday, 15.09.2014, 15:00	2014-09-15	Unicameralism	XII Riigikogu	VIII regular session	-	2014-09-15	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	h_tõnisson_00000000	Tõnisson, Heili	F	-	
ParlaMint-EE-en_2014-09-15	ParlaMint-EE_2014-09-15_U3	XII Parliament term, VIII Session, Plenary Assembly regular meeting on Monday, 15.09.2014, 15:00	2014-09-15	Unicameralism	XII Riigikogu	VIII regular session	-	2014-09-15	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2014-09-15	ParlaMint-EE_2014-09-15_U4	XII Parliament term, VIII Session, Plenary Assembly regular meeting on Monday, 15.09.2014, 15:00	2014-09-15	Unicameralism	XII Riigikogu	VIII regular session	-	2014-09-15	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	m_korb_19800803	Korb, Mihhail	M	1980	
ParlaMint-EE-en_2014-09-15	ParlaMint-EE_2014-09-15_U5	XII Parliament term, VIII Session, Plenary Assembly regular meeting on Monday, 15.09.2014, 15:00	2014-09-15	Unicameralism	XII Riigikogu	VIII regular session	-	2014-09-15	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2014-09-15	ParlaMint-EE_2014-09-15_U6	XII Parliament term, VIII Session, Plenary Assembly regular meeting on Monday, 15.09.2014, 15:00	2014-09-15	Unicameralism	XII Riigikogu	VIII regular session	-	2014-09-15	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2014-09-15	ParlaMint-EE_2014-09-15_U7	XII Parliament term, VIII Session, Plenary Assembly regular meeting on Monday, 15.09.2014, 15:00	2014-09-15	Unicameralism	XII Riigikogu	VIII regular session	-	2014-09-15	-	Reference	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	m_berg_19450827	Berg, Maimu	F	1945	
ParlaMint-EE-en_2014-09-15	ParlaMint-EE_2014-09-15_U8	XII Parliament term, VIII Session, Plenary Assembly regular meeting on Monday, 15.09.2014, 15:00	2014-09-15	Unicameralism	XII Riigikogu	VIII regular session	-	2014-09-15	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2014-09-15	ParlaMint-EE_2014-09-15_U9	XII Parliament term, VIII Session, Plenary Assembly regular meeting on Monday, 15.09.2014, 15:00	2014-09-15	Unicameralism	XII Riigikogu	VIII regular session	-	2014-09-15	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	m_stalnuhhin_19610915	Stalnuhhin, Mihhail	M	1961	
ParlaMint-EE-en_2014-09-15	ParlaMint-EE_2014-09-15_U10	XII Parliament term, VIII Session, Plenary Assembly regular meeting on Monday, 15.09.2014, 15:00	2014-09-15	Unicameralism	XII Riigikogu	VIII regular session	-	2014-09-15	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
