Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2014-04-10	ParlaMint-EE_2014-04-10_U1	XII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 10.04.2014, 10:00	2014-04-10	Unicameralism	XII Riigikogu	VII regular session	-	2014-04-10	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2014-04-10	ParlaMint-EE_2014-04-10_U2	XII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 10.04.2014, 10:00	2014-04-10	Unicameralism	XII Riigikogu	VII regular session	-	2014-04-10	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	k_simson_19770122	Simson, Kadri	F	1977	
ParlaMint-EE-en_2014-04-10	ParlaMint-EE_2014-04-10_U3	XII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 10.04.2014, 10:00	2014-04-10	Unicameralism	XII Riigikogu	VII regular session	-	2014-04-10	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2014-04-10	ParlaMint-EE_2014-04-10_U4	XII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 10.04.2014, 10:00	2014-04-10	Unicameralism	XII Riigikogu	VII regular session	-	2014-04-10	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2014-04-10	ParlaMint-EE_2014-04-10_U5	XII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 10.04.2014, 10:00	2014-04-10	Unicameralism	XII Riigikogu	VII regular session	-	2014-04-10	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2014-04-10	ParlaMint-EE_2014-04-10_U6	XII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 10.04.2014, 10:00	2014-04-10	Unicameralism	XII Riigikogu	VII regular session	-	2014-04-10	-	Reference	English	Regular	MP	notMinister	ISA	Isamaa	-	Centre-right to right	u_reinsalu_19750622	Reinsalu, Urmas	M	1975	
ParlaMint-EE-en_2014-04-10	ParlaMint-EE_2014-04-10_U7	XII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 10.04.2014, 10:00	2014-04-10	Unicameralism	XII Riigikogu	VII regular session	-	2014-04-10	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2014-04-10	ParlaMint-EE_2014-04-10_U8	XII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 10.04.2014, 10:00	2014-04-10	Unicameralism	XII Riigikogu	VII regular session	-	2014-04-10	-	Reference	English	Regular	MP	notMinister	ISA	Isamaa	-	Centre-right to right	u_reinsalu_19750622	Reinsalu, Urmas	M	1975	
ParlaMint-EE-en_2014-04-10	ParlaMint-EE_2014-04-10_U9	XII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 10.04.2014, 10:00	2014-04-10	Unicameralism	XII Riigikogu	VII regular session	-	2014-04-10	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2014-04-10	ParlaMint-EE_2014-04-10_U10	XII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 10.04.2014, 10:00	2014-04-10	Unicameralism	XII Riigikogu	VII regular session	-	2014-04-10	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2014-04-10	ParlaMint-EE_2014-04-10_U11	XII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 10.04.2014, 10:00	2014-04-10	Unicameralism	XII Riigikogu	VII regular session	-	2014-04-10	-	Reference	English	Regular	MP	notMinister	ISA	Isamaa	-	Centre-right to right	t_tõniste_19670426	Tõniste, Toomas	M	1967	
ParlaMint-EE-en_2014-04-10	ParlaMint-EE_2014-04-10_U12	XII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 10.04.2014, 10:00	2014-04-10	Unicameralism	XII Riigikogu	VII regular session	-	2014-04-10	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
