Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2015-07-09-20142-M4	ParlaMint-DK_20150709110004	Hansard of the session of the Danish Parliament (Folketinget), 20142, M4 (2015-07-09), final version	2015-07-09	Unicameralism	Regeringen Lars Løkke Rasmussen II	20142	M4	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2015-07-09-20142-M4	ParlaMint-DK_20150709110021	Hansard of the session of the Danish Parliament (Folketinget), 20142, M4 (2015-07-09), final version	2015-07-09	Unicameralism	Regeringen Lars Løkke Rasmussen II	20142	M4	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2015-07-09-20142-M4	ParlaMint-DK_20150709110103	Hansard of the session of the Danish Parliament (Folketinget), 20142, M4 (2015-07-09), final version	2015-07-09	Unicameralism	Regeringen Lars Løkke Rasmussen II	20142	M4	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
