Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2015-05-27-20141-M98	ParlaMint-DK_20150527130001	Hansard of the session of the Danish Parliament (Folketinget), 20141, M98 (2015-05-27), final version	2015-05-27	Unicameralism	Regeringen Helle Thorning-Schmidt II	20141	M98	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	LykketoftMogens	Lykketoft, Mogens	M	1946	
ParlaMint-DK-en_2015-05-27-20141-M98	ParlaMint-DK_20150527130202	Hansard of the session of the Danish Parliament (Folketinget), 20141, M98 (2015-05-27), final version	2015-05-27	Unicameralism	Regeringen Helle Thorning-Schmidt II	20141	M98	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	LykketoftMogens	Lykketoft, Mogens	M	1946	
ParlaMint-DK-en_2015-05-27-20141-M98	ParlaMint-DK_20150527130204	Hansard of the session of the Danish Parliament (Folketinget), 20141, M98 (2015-05-27), final version	2015-05-27	Unicameralism	Regeringen Helle Thorning-Schmidt II	20141	M98	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	LykketoftMogens	Lykketoft, Mogens	M	1946	
