Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2015-10-07-20151-M2	ParlaMint-DK_20151007130011	Hansard of the session of the Danish Parliament (Folketinget), 20151, M2 (2015-10-07), final version	2015-10-07	Unicameralism	Regeringen Lars Løkke Rasmussen II	20151	M2	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2015-10-07-20151-M2	ParlaMint-DK_20151007130644	Hansard of the session of the Danish Parliament (Folketinget), 20151, M2 (2015-10-07), final version	2015-10-07	Unicameralism	Regeringen Lars Løkke Rasmussen II	20151	M2	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2015-10-07-20151-M2	ParlaMint-DK_20151007130725	Hansard of the session of the Danish Parliament (Folketinget), 20151, M2 (2015-10-07), final version	2015-10-07	Unicameralism	Regeringen Lars Løkke Rasmussen II	20151	M2	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
