Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-CT-en_2017-10-10-4301	ParlaMint-ES-CT_2017-10-10-4301.1.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2017-10-10 4301.ana	2017-10-10	Unicameralism	XI Legislatura	-	43	1	-	Reference	English	Chairperson	MP	notMinister	GP-JxSi;GP-REP	Grup Parlamentari de Junts pel Sí;Grup Parlamentari Republicà	-	Big tent	ForcadellCarme	Forcadell i Lluís, Carme	F	1955	
ParlaMint-ES-CT-en_2017-10-10-4301	ParlaMint-ES-CT_2017-10-10-4301.2.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2017-10-10 4301.ana	2017-10-10	Unicameralism	XI Legislatura	-	43	1	-	Reference	English	Chairperson	MP	notMinister	GP-JxSi	Grup Parlamentari de Junts pel Sí	-	Big tent	PuigdemontCarles	Puigdemont i Casamajó, Carles	M	1962	
ParlaMint-ES-CT-en_2017-10-10-4301	ParlaMint-ES-CT_2017-10-10-4301.3.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2017-10-10 4301.ana	2017-10-10	Unicameralism	XI Legislatura	-	43	1	-	Reference	English	Chairperson	MP	notMinister	GP-JxSi;GP-REP	Grup Parlamentari de Junts pel Sí;Grup Parlamentari Republicà	-	Big tent	ForcadellCarme	Forcadell i Lluís, Carme	F	1955	
ParlaMint-ES-CT-en_2017-10-10-4301	ParlaMint-ES-CT_2017-10-10-4301.4.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2017-10-10 4301.ana	2017-10-10	Unicameralism	XI Legislatura	-	43	1	-	Reference	English	Regular	MP	notMinister	GP-Cs	Grup Parlamentari de Ciutadans	Opposition	Centre-right	ArrimadasInés	Arrimadas García, Inés	F	1981	
ParlaMint-ES-CT-en_2017-10-10-4301	ParlaMint-ES-CT_2017-10-10-4301.5.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2017-10-10 4301.ana	2017-10-10	Unicameralism	XI Legislatura	-	43	1	-	Reference	English	Chairperson	MP	notMinister	GP-JxSi;GP-REP	Grup Parlamentari de Junts pel Sí;Grup Parlamentari Republicà	-	Big tent	ForcadellCarme	Forcadell i Lluís, Carme	F	1955	
ParlaMint-ES-CT-en_2017-10-10-4301	ParlaMint-ES-CT_2017-10-10-4301.6.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2017-10-10 4301.ana	2017-10-10	Unicameralism	XI Legislatura	-	43	1	-	Reference	English	Regular	MP	notMinister	GP-PSC	Grup Parlamentari Socialista	Opposition	Centre-left	IcetaMiquel	Iceta i Llorens, Miquel	M	1960	
ParlaMint-ES-CT-en_2017-10-10-4301	ParlaMint-ES-CT_2017-10-10-4301.7.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2017-10-10 4301.ana	2017-10-10	Unicameralism	XI Legislatura	-	43	1	-	Reference	English	Chairperson	MP	notMinister	GP-JxSi;GP-REP	Grup Parlamentari de Junts pel Sí;Grup Parlamentari Republicà	-	Big tent	ForcadellCarme	Forcadell i Lluís, Carme	F	1955	
ParlaMint-ES-CT-en_2017-10-10-4301	ParlaMint-ES-CT_2017-10-10-4301.8.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2017-10-10 4301.ana	2017-10-10	Unicameralism	XI Legislatura	-	43	1	-	Reference	English	Regular	MP	notMinister	GP-CSP	Grup Parlamentari Catalunya sí que es Pot	Opposition	Left	FrancoJosep	Franco Rabell, Josep Lluís	M	1954	
ParlaMint-ES-CT-en_2017-10-10-4301	ParlaMint-ES-CT_2017-10-10-4301.9.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2017-10-10 4301.ana	2017-10-10	Unicameralism	XI Legislatura	-	43	1	-	Reference	English	Chairperson	MP	notMinister	GP-JxSi;GP-REP	Grup Parlamentari de Junts pel Sí;Grup Parlamentari Republicà	-	Big tent	ForcadellCarme	Forcadell i Lluís, Carme	F	1955	
ParlaMint-ES-CT-en_2017-10-10-4301	ParlaMint-ES-CT_2017-10-10-4301.10.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2017-10-10 4301.ana	2017-10-10	Unicameralism	XI Legislatura	-	43	1	-	Reference	English	Regular	MP	notMinister	GP-PPC	Grup Parlamentari del Partit Popular de Catalunya	Opposition	Centre-right to right	GarcíaXavier	García Albiol, Xavier	M	1967	
ParlaMint-ES-CT-en_2017-10-10-4301	ParlaMint-ES-CT_2017-10-10-4301.11.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2017-10-10 4301.ana	2017-10-10	Unicameralism	XI Legislatura	-	43	1	-	Reference	English	Chairperson	MP	notMinister	GP-JxSi;GP-REP	Grup Parlamentari de Junts pel Sí;Grup Parlamentari Republicà	-	Big tent	ForcadellCarme	Forcadell i Lluís, Carme	F	1955	
ParlaMint-ES-CT-en_2017-10-10-4301	ParlaMint-ES-CT_2017-10-10-4301.12.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2017-10-10 4301.ana	2017-10-10	Unicameralism	XI Legislatura	-	43	1	-	Reference	English	Regular	MP	notMinister	GP-CUP	Grup Parlamentari de la Candidatura d'Unitat Popular - Crida Constituent	Opposition	Left to far-left	GabrielAnna	Gabriel i Sabaté, Anna	F	1975	
ParlaMint-ES-CT-en_2017-10-10-4301	ParlaMint-ES-CT_2017-10-10-4301.13.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2017-10-10 4301.ana	2017-10-10	Unicameralism	XI Legislatura	-	43	1	-	Reference	English	Chairperson	MP	notMinister	GP-JxSi;GP-REP	Grup Parlamentari de Junts pel Sí;Grup Parlamentari Republicà	-	Big tent	ForcadellCarme	Forcadell i Lluís, Carme	F	1955	
ParlaMint-ES-CT-en_2017-10-10-4301	ParlaMint-ES-CT_2017-10-10-4301.14.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2017-10-10 4301.ana	2017-10-10	Unicameralism	XI Legislatura	-	43	1	-	Reference	English	Regular	MP	notMinister	GP-JxSi	Grup Parlamentari de Junts pel Sí	-	Big tent	GordòGermà	Gordò i Aubarell, Germà	M	1963	
ParlaMint-ES-CT-en_2017-10-10-4301	ParlaMint-ES-CT_2017-10-10-4301.15.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2017-10-10 4301.ana	2017-10-10	Unicameralism	XI Legislatura	-	43	1	-	Reference	English	Chairperson	MP	notMinister	GP-JxSi;GP-REP	Grup Parlamentari de Junts pel Sí;Grup Parlamentari Republicà	-	Big tent	ForcadellCarme	Forcadell i Lluís, Carme	F	1955	
ParlaMint-ES-CT-en_2017-10-10-4301	ParlaMint-ES-CT_2017-10-10-4301.16.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2017-10-10 4301.ana	2017-10-10	Unicameralism	XI Legislatura	-	43	1	-	Reference	English	Regular	MP	notMinister	GP-JxSi	Grup Parlamentari de Junts pel Sí	-	Big tent	CorominasLluís	Corominas i Diaz, Lluís	M	1963	
ParlaMint-ES-CT-en_2017-10-10-4301	ParlaMint-ES-CT_2017-10-10-4301.17.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2017-10-10 4301.ana	2017-10-10	Unicameralism	XI Legislatura	-	43	1	-	Reference	English	Chairperson	MP	notMinister	GP-JxSi;GP-REP	Grup Parlamentari de Junts pel Sí;Grup Parlamentari Republicà	-	Big tent	ForcadellCarme	Forcadell i Lluís, Carme	F	1955	
