Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GR-en_2016-06-03-S1-commons	ParlaMint-GR_2016-06-03-S1-commons.u1	Minutes of the assembly of the greek parliament, Term 17, session 1, sitting 138, 2016-06-03	2016-06-03	Unicameralism	17	1	-	138	-	Reference	English	Chairperson	MP	notMinister	N.D.	New Democracy	Opposition	Centre-right	ΚΑΚΛΑΜΑΝΗΣ_ΜΙΧΑΗΛ_ΝΙΚΗΤΑΣ	Kaklamanīs, Nikītas	M	-	
ParlaMint-GR-en_2016-06-03-S1-commons	ParlaMint-GR_2016-06-03-S1-commons.u2	Minutes of the assembly of the greek parliament, Term 17, session 1, sitting 138, 2016-06-03	2016-06-03	Unicameralism	17	1	-	138	-	Reference	English	Regular	MP	notMinister	-	-	-	-	ΠΑΝΑΓΟΥΛΗΣ_ΒΑΣΙΛΕΙΟΥ_ΕΥΣΤΑΘΙΟΣ_ΣΤΑΘΗΣ	Panagoylīs, Eystathios	M	-	
ParlaMint-GR-en_2016-06-03-S1-commons	ParlaMint-GR_2016-06-03-S1-commons.u3	Minutes of the assembly of the greek parliament, Term 17, session 1, sitting 138, 2016-06-03	2016-06-03	Unicameralism	17	1	-	138	-	Reference	English	Chairperson	MP	notMinister	N.D.	New Democracy	Opposition	Centre-right	ΚΑΚΛΑΜΑΝΗΣ_ΜΙΧΑΗΛ_ΝΙΚΗΤΑΣ	Kaklamanīs, Nikītas	M	-	
ParlaMint-GR-en_2016-06-03-S1-commons	ParlaMint-GR_2016-06-03-S1-commons.u4	Minutes of the assembly of the greek parliament, Term 17, session 1, sitting 138, 2016-06-03	2016-06-03	Unicameralism	17	1	-	138	-	Reference	English	Chairperson	MP	notMinister	N.D.	New Democracy	Opposition	Centre-right	ΚΑΚΛΑΜΑΝΗΣ_ΜΙΧΑΗΛ_ΝΙΚΗΤΑΣ	Kaklamanīs, Nikītas	M	-	
ParlaMint-GR-en_2016-06-03-S1-commons	ParlaMint-GR_2016-06-03-S1-commons.u5	Minutes of the assembly of the greek parliament, Term 17, session 1, sitting 138, 2016-06-03	2016-06-03	Unicameralism	17	1	-	138	-	Reference	English	Chairperson	MP	notMinister	N.D.	New Democracy	Opposition	Centre-right	ΚΑΚΛΑΜΑΝΗΣ_ΜΙΧΑΗΛ_ΝΙΚΗΤΑΣ	Kaklamanīs, Nikītas	M	-	
ParlaMint-GR-en_2016-06-03-S1-commons	ParlaMint-GR_2016-06-03-S1-commons.u6	Minutes of the assembly of the greek parliament, Term 17, session 1, sitting 138, 2016-06-03	2016-06-03	Unicameralism	17	1	-	138	-	Reference	English	Regular	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΙΓΓΛΕΖΗ_ΘΕΟΔΩΡΟΥ_ΑΙΚΑΤΕΡΙΝΗ	Igglezī, Aikaterinī	F	-	
ParlaMint-GR-en_2016-06-03-S1-commons	ParlaMint-GR_2016-06-03-S1-commons.u7	Minutes of the assembly of the greek parliament, Term 17, session 1, sitting 138, 2016-06-03	2016-06-03	Unicameralism	17	1	-	138	-	Reference	English	Chairperson	MP	notMinister	N.D.	New Democracy	Opposition	Centre-right	ΚΑΚΛΑΜΑΝΗΣ_ΜΙΧΑΗΛ_ΝΙΚΗΤΑΣ	Kaklamanīs, Nikītas	M	-	
ParlaMint-GR-en_2016-06-03-S1-commons	ParlaMint-GR_2016-06-03-S1-commons.u8	Minutes of the assembly of the greek parliament, Term 17, session 1, sitting 138, 2016-06-03	2016-06-03	Unicameralism	17	1	-	138	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ΤΡΥΦΩΝ_ΑΛΕΞΙΑΔΗΣ	Alexiadīs, Tryfōn	M	-	
ParlaMint-GR-en_2016-06-03-S1-commons	ParlaMint-GR_2016-06-03-S1-commons.u9	Minutes of the assembly of the greek parliament, Term 17, session 1, sitting 138, 2016-06-03	2016-06-03	Unicameralism	17	1	-	138	-	Reference	English	Chairperson	MP	notMinister	N.D.	New Democracy	Opposition	Centre-right	ΚΑΚΛΑΜΑΝΗΣ_ΜΙΧΑΗΛ_ΝΙΚΗΤΑΣ	Kaklamanīs, Nikītas	M	-	
ParlaMint-GR-en_2016-06-03-S1-commons	ParlaMint-GR_2016-06-03-S1-commons.u10	Minutes of the assembly of the greek parliament, Term 17, session 1, sitting 138, 2016-06-03	2016-06-03	Unicameralism	17	1	-	138	-	Reference	English	Regular	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΙΓΓΛΕΖΗ_ΘΕΟΔΩΡΟΥ_ΑΙΚΑΤΕΡΙΝΗ	Igglezī, Aikaterinī	F	-	
ParlaMint-GR-en_2016-06-03-S1-commons	ParlaMint-GR_2016-06-03-S1-commons.u11	Minutes of the assembly of the greek parliament, Term 17, session 1, sitting 138, 2016-06-03	2016-06-03	Unicameralism	17	1	-	138	-	Reference	English	Chairperson	MP	notMinister	N.D.	New Democracy	Opposition	Centre-right	ΚΑΚΛΑΜΑΝΗΣ_ΜΙΧΑΗΛ_ΝΙΚΗΤΑΣ	Kaklamanīs, Nikītas	M	-	
ParlaMint-GR-en_2016-06-03-S1-commons	ParlaMint-GR_2016-06-03-S1-commons.u12	Minutes of the assembly of the greek parliament, Term 17, session 1, sitting 138, 2016-06-03	2016-06-03	Unicameralism	17	1	-	138	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ΤΡΥΦΩΝ_ΑΛΕΞΙΑΔΗΣ	Alexiadīs, Tryfōn	M	-	
ParlaMint-GR-en_2016-06-03-S1-commons	ParlaMint-GR_2016-06-03-S1-commons.u13	Minutes of the assembly of the greek parliament, Term 17, session 1, sitting 138, 2016-06-03	2016-06-03	Unicameralism	17	1	-	138	-	Reference	English	Chairperson	MP	notMinister	N.D.	New Democracy	Opposition	Centre-right	ΚΑΚΛΑΜΑΝΗΣ_ΜΙΧΑΗΛ_ΝΙΚΗΤΑΣ	Kaklamanīs, Nikītas	M	-	
ParlaMint-GR-en_2016-06-03-S1-commons	ParlaMint-GR_2016-06-03-S1-commons.u14	Minutes of the assembly of the greek parliament, Term 17, session 1, sitting 138, 2016-06-03	2016-06-03	Unicameralism	17	1	-	138	-	Reference	English	Regular	MP	notMinister	-	-	-	-	ΠΑΝΑΓΟΥΛΗΣ_ΒΑΣΙΛΕΙΟΥ_ΕΥΣΤΑΘΙΟΣ_ΣΤΑΘΗΣ	Panagoylīs, Eystathios	M	-	
ParlaMint-GR-en_2016-06-03-S1-commons	ParlaMint-GR_2016-06-03-S1-commons.u15	Minutes of the assembly of the greek parliament, Term 17, session 1, sitting 138, 2016-06-03	2016-06-03	Unicameralism	17	1	-	138	-	Reference	English	Chairperson	MP	notMinister	N.D.	New Democracy	Opposition	Centre-right	ΚΑΚΛΑΜΑΝΗΣ_ΜΙΧΑΗΛ_ΝΙΚΗΤΑΣ	Kaklamanīs, Nikītas	M	-	
