Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GR-en_2016-10-05-S1-commons	ParlaMint-GR_2016-10-05-S1-commons.u1	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 3, 2016-10-05	2016-10-05	Unicameralism	17	2	-	3	-	Reference	English	Chairperson	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΛΥΚΟΥΔΗΣ_ΔΙΟΝΥΣΙΟΥ_ΣΠΥΡΙΔΩΝ	Lykoydīs, Spyridōn	M	-	
ParlaMint-GR-en_2016-10-05-S1-commons	ParlaMint-GR_2016-10-05-S1-commons.u2	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 3, 2016-10-05	2016-10-05	Unicameralism	17	2	-	3	-	Reference	English	Chairperson	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΛΥΚΟΥΔΗΣ_ΔΙΟΝΥΣΙΟΥ_ΣΠΥΡΙΔΩΝ	Lykoydīs, Spyridōn	M	-	
ParlaMint-GR-en_2016-10-05-S1-commons	ParlaMint-GR_2016-10-05-S1-commons.u3	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 3, 2016-10-05	2016-10-05	Unicameralism	17	2	-	3	-	Reference	English	Chairperson	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΛΥΚΟΥΔΗΣ_ΔΙΟΝΥΣΙΟΥ_ΣΠΥΡΙΔΩΝ	Lykoydīs, Spyridōn	M	-	
ParlaMint-GR-en_2016-10-05-S1-commons	ParlaMint-GR_2016-10-05-S1-commons.u4	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 3, 2016-10-05	2016-10-05	Unicameralism	17	2	-	3	-	Reference	English	Chairperson	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΛΥΚΟΥΔΗΣ_ΔΙΟΝΥΣΙΟΥ_ΣΠΥΡΙΔΩΝ	Lykoydīs, Spyridōn	M	-	
ParlaMint-GR-en_2016-10-05-S1-commons	ParlaMint-GR_2016-10-05-S1-commons.u5	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 3, 2016-10-05	2016-10-05	Unicameralism	17	2	-	3	-	Reference	English	Regular	MP	notMinister	Ch.A.	Popular Association – Golden Dawn	Opposition	Far-right	ΣΑΧΙΝΙΔΗΣ_ΙΣΑΑΚ_ΙΩΑΝΝΗΣ	Sachinidīs, Iōannīs	M	-	
ParlaMint-GR-en_2016-10-05-S1-commons	ParlaMint-GR_2016-10-05-S1-commons.u6	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 3, 2016-10-05	2016-10-05	Unicameralism	17	2	-	3	-	Reference	English	Chairperson	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΛΥΚΟΥΔΗΣ_ΔΙΟΝΥΣΙΟΥ_ΣΠΥΡΙΔΩΝ	Lykoydīs, Spyridōn	M	-	
ParlaMint-GR-en_2016-10-05-S1-commons	ParlaMint-GR_2016-10-05-S1-commons.u7	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 3, 2016-10-05	2016-10-05	Unicameralism	17	2	-	3	-	Reference	English	Regular	MP	notMinister	K.K.E.	Communist Party of Greece	Opposition	Far-left	ΛΑΜΠΡΟΥΛΗΣ_ΑΡΙΣΤΕΙΔΗ_ΓΕΩΡΓΙΟΣ	Lamproylīs, Geōrgios	M	-	
ParlaMint-GR-en_2016-10-05-S1-commons	ParlaMint-GR_2016-10-05-S1-commons.u8	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 3, 2016-10-05	2016-10-05	Unicameralism	17	2	-	3	-	Reference	English	Chairperson	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΛΥΚΟΥΔΗΣ_ΔΙΟΝΥΣΙΟΥ_ΣΠΥΡΙΔΩΝ	Lykoydīs, Spyridōn	M	-	
ParlaMint-GR-en_2016-10-05-S1-commons	ParlaMint-GR_2016-10-05-S1-commons.u9	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 3, 2016-10-05	2016-10-05	Unicameralism	17	2	-	3	-	Reference	English	Regular	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΤΣΙΡΩΝΗΣ_ΓΕΩΡΓΙΟΥ_ΙΩΑΝΝΗΣ	Tsirōnīs, Iōannīs	M	-	
ParlaMint-GR-en_2016-10-05-S1-commons	ParlaMint-GR_2016-10-05-S1-commons.u10	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 3, 2016-10-05	2016-10-05	Unicameralism	17	2	-	3	-	Reference	English	Regular	MP	notMinister	K.K.E.	Communist Party of Greece	Opposition	Far-left	ΛΑΜΠΡΟΥΛΗΣ_ΑΡΙΣΤΕΙΔΗ_ΓΕΩΡΓΙΟΣ	Lamproylīs, Geōrgios	M	-	
ParlaMint-GR-en_2016-10-05-S1-commons	ParlaMint-GR_2016-10-05-S1-commons.u11	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 3, 2016-10-05	2016-10-05	Unicameralism	17	2	-	3	-	Reference	English	Chairperson	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΛΥΚΟΥΔΗΣ_ΔΙΟΝΥΣΙΟΥ_ΣΠΥΡΙΔΩΝ	Lykoydīs, Spyridōn	M	-	
ParlaMint-GR-en_2016-10-05-S1-commons	ParlaMint-GR_2016-10-05-S1-commons.u12	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 3, 2016-10-05	2016-10-05	Unicameralism	17	2	-	3	-	Reference	English	Regular	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΙΓΓΛΕΖΗ_ΘΕΟΔΩΡΟΥ_ΑΙΚΑΤΕΡΙΝΗ	Igglezī, Aikaterinī	F	-	
ParlaMint-GR-en_2016-10-05-S1-commons	ParlaMint-GR_2016-10-05-S1-commons.u13	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 3, 2016-10-05	2016-10-05	Unicameralism	17	2	-	3	-	Reference	English	Regular	MP	notMinister	N.D.	New Democracy	Opposition	Centre-right	ΣΚΡΕΚΑΣ_ΘΕΟΔΩΡΟΥ_ΚΩΝΣΤΑΝΤΙΝΟΣ	Skrekas, Kōnstantinos	M	-	
ParlaMint-GR-en_2016-10-05-S1-commons	ParlaMint-GR_2016-10-05-S1-commons.u14	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 3, 2016-10-05	2016-10-05	Unicameralism	17	2	-	3	-	Reference	English	Regular	MP	notMinister	Ch.A.	Popular Association – Golden Dawn	Opposition	Far-right	ΣΑΧΙΝΙΔΗΣ_ΙΣΑΑΚ_ΙΩΑΝΝΗΣ	Sachinidīs, Iōannīs	M	-	
ParlaMint-GR-en_2016-10-05-S1-commons	ParlaMint-GR_2016-10-05-S1-commons.u15	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 3, 2016-10-05	2016-10-05	Unicameralism	17	2	-	3	-	Reference	English	Regular	MP	notMinister	DĪ.SY.	Democratic Alignment	Opposition	Centre-left	ΑΡΒΑΝΙΤΙΔΗΣ_ΠΕΤΡΟΥ_ΓΕΩΡΓΙΟΣ	Arvanitidīs, Geōrgios	M	-	
ParlaMint-GR-en_2016-10-05-S1-commons	ParlaMint-GR_2016-10-05-S1-commons.u16	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 3, 2016-10-05	2016-10-05	Unicameralism	17	2	-	3	-	Reference	English	Regular	MP	notMinister	K.K.E.	Communist Party of Greece	Opposition	Far-left	ΛΑΜΠΡΟΥΛΗΣ_ΑΡΙΣΤΕΙΔΗ_ΓΕΩΡΓΙΟΣ	Lamproylīs, Geōrgios	M	-	
ParlaMint-GR-en_2016-10-05-S1-commons	ParlaMint-GR_2016-10-05-S1-commons.u17	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 3, 2016-10-05	2016-10-05	Unicameralism	17	2	-	3	-	Reference	English	Regular	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΑΜΥΡΑΣ_ΣΤΥΛΙΑΝΟΥ_ΓΕΩΡΓΙΟΣ	Amyras, Geōrgios	M	-	
ParlaMint-GR-en_2016-10-05-S1-commons	ParlaMint-GR_2016-10-05-S1-commons.u18	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 3, 2016-10-05	2016-10-05	Unicameralism	17	2	-	3	-	Reference	English	Regular	MP	notMinister	AN.EL.	Independent Greeks National Patriotic Alliance	Coalition	Right	ΛΑΖΑΡΙΔΗΣ_ΙΩΑΝΝΗ_ΓΕΩΡΓΙΟΣ	Lazaridīs, Geōrgios	M	-	
ParlaMint-GR-en_2016-10-05-S1-commons	ParlaMint-GR_2016-10-05-S1-commons.u19	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 3, 2016-10-05	2016-10-05	Unicameralism	17	2	-	3	-	Reference	English	Regular	MP	notMinister	E.K.	Union of Centrists	Opposition	Centre	ΣΑΡΙΔΗΣ_ΓΕΩΡΓΙΟΥ_ΙΩΑΝΝΗΣ	Saridīs, Iōannīs	M	-	
ParlaMint-GR-en_2016-10-05-S1-commons	ParlaMint-GR_2016-10-05-S1-commons.u20	Minutes of the assembly of the greek parliament, Term 17, session 2, sitting 3, 2016-10-05	2016-10-05	Unicameralism	17	2	-	3	-	Reference	English	Chairperson	MP	notMinister	T.P.	The River	Opposition	Centre to centre-left	ΛΥΚΟΥΔΗΣ_ΔΙΟΝΥΣΙΟΥ_ΣΠΥΡΙΔΩΝ	Lykoydīs, Spyridōn	M	-	
