Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2018-03-21-54-commissie-ic850x	ParlaMint-BE_2018-03-21-54-commissie-ic850x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2018	2018-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanRompuyEric	Van Rompuy, Eric	M	1949	
ParlaMint-BE-en_2018-03-21-54-commissie-ic850x	ParlaMint-BE_2018-03-21-54-commissie-ic850x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2018	2018-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	BenHamouNawal	Ben Hamou, Nawal	F	1987	
ParlaMint-BE-en_2018-03-21-54-commissie-ic850x	ParlaMint-BE_2018-03-21-54-commissie-ic850x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2018	2018-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	WilmèsSophie	Wilmès, Sophie	F	1975	
ParlaMint-BE-en_2018-03-21-54-commissie-ic850x	ParlaMint-BE_2018-03-21-54-commissie-ic850x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2018	2018-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	BenHamouNawal	Ben Hamou, Nawal	F	1987	
ParlaMint-BE-en_2018-03-21-54-commissie-ic850x	ParlaMint-BE_2018-03-21-54-commissie-ic850x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2018	2018-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	WilmèsSophie	Wilmès, Sophie	F	1975	
ParlaMint-BE-en_2018-03-21-54-commissie-ic850x	ParlaMint-BE_2018-03-21-54-commissie-ic850x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2018	2018-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	BenHamouNawal	Ben Hamou, Nawal	F	1987	
ParlaMint-BE-en_2018-03-21-54-commissie-ic850x	ParlaMint-BE_2018-03-21-54-commissie-ic850x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2018	2018-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	WilmèsSophie	Wilmès, Sophie	F	1975	
ParlaMint-BE-en_2018-03-21-54-commissie-ic850x	ParlaMint-BE_2018-03-21-54-commissie-ic850x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2018	2018-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	BenHamouNawal	Ben Hamou, Nawal	F	1987	
ParlaMint-BE-en_2018-03-21-54-commissie-ic850x	ParlaMint-BE_2018-03-21-54-commissie-ic850x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2018	2018-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanRompuyEric	Van Rompuy, Eric	M	1949	
ParlaMint-BE-en_2018-03-21-54-commissie-ic850x	ParlaMint-BE_2018-03-21-54-commissie-ic850x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2018	2018-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanRompuyEric	Van Rompuy, Eric	M	1949	
ParlaMint-BE-en_2018-03-21-54-commissie-ic850x	ParlaMint-BE_2018-03-21-54-commissie-ic850x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-03-2018	2018-03-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	JadinKattrin	Jadin, Kattrin	F	1980	
