Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2018-03-19-54-commissie-ic846x	ParlaMint-BE_2018-03-19-54-commissie-ic846x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-03-2018	2018-03-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2018-03-19-54-commissie-ic846x	ParlaMint-BE_2018-03-19-54-commissie-ic846x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-03-2018	2018-03-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	DucarmeDenis	Ducarme, Denis	M	1973	
ParlaMint-BE-en_2018-03-19-54-commissie-ic846x	ParlaMint-BE_2018-03-19-54-commissie-ic846x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-03-2018	2018-03-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	DeBlockMaggie	De Block, Maggie	F	1962	
ParlaMint-BE-en_2018-03-19-54-commissie-ic846x	ParlaMint-BE_2018-03-19-54-commissie-ic846x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-03-2018	2018-03-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	NolletJeanMarc	Nollet, Jean-Marc	M	1970	
ParlaMint-BE-en_2018-03-19-54-commissie-ic846x	ParlaMint-BE_2018-03-19-54-commissie-ic846x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-03-2018	2018-03-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	DucarmeDenis	Ducarme, Denis	M	1973	
ParlaMint-BE-en_2018-03-19-54-commissie-ic846x	ParlaMint-BE_2018-03-19-54-commissie-ic846x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-03-2018	2018-03-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	NolletJeanMarc	Nollet, Jean-Marc	M	1970	
ParlaMint-BE-en_2018-03-19-54-commissie-ic846x	ParlaMint-BE_2018-03-19-54-commissie-ic846x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-03-2018	2018-03-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	LambrechtAnnick	Lambrecht, Annick	F	1969	
ParlaMint-BE-en_2018-03-19-54-commissie-ic846x	ParlaMint-BE_2018-03-19-54-commissie-ic846x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-03-2018	2018-03-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	ThiéryDamien	Thiéry, Damien	M	1963	
ParlaMint-BE-en_2018-03-19-54-commissie-ic846x	ParlaMint-BE_2018-03-19-54-commissie-ic846x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-03-2018	2018-03-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	NolletJeanMarc	Nollet, Jean-Marc	M	1970	
ParlaMint-BE-en_2018-03-19-54-commissie-ic846x	ParlaMint-BE_2018-03-19-54-commissie-ic846x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-03-2018	2018-03-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	ThiéryDamien	Thiéry, Damien	M	1963	
ParlaMint-BE-en_2018-03-19-54-commissie-ic846x	ParlaMint-BE_2018-03-19-54-commissie-ic846x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-03-2018	2018-03-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	CalvoKristof	Calvo, Kristof	M	1987	
ParlaMint-BE-en_2018-03-19-54-commissie-ic846x	ParlaMint-BE_2018-03-19-54-commissie-ic846x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-03-2018	2018-03-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	ThiéryDamien	Thiéry, Damien	M	1963	
ParlaMint-BE-en_2018-03-19-54-commissie-ic846x	ParlaMint-BE_2018-03-19-54-commissie-ic846x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-03-2018	2018-03-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	CalvoKristof	Calvo, Kristof	M	1987	
