Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2018-02-07-54-commissie-ic815x	ParlaMint-BE_2018-02-07-54-commissie-ic815x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-02-2018	2018-02-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	HellingsBenoit	Hellings, Benoit	M	1978	
ParlaMint-BE-en_2018-02-07-54-commissie-ic815x	ParlaMint-BE_2018-02-07-54-commissie-ic815x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-02-2018	2018-02-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	FernandezFernandezJulie	Fernandez Fernandez, Julie	F	1972	
ParlaMint-BE-en_2018-02-07-54-commissie-ic815x	ParlaMint-BE_2018-02-07-54-commissie-ic815x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-02-2018	2018-02-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	VanderMaelenDirk	Van der Maelen, Dirk	M	1953	
ParlaMint-BE-en_2018-02-07-54-commissie-ic815x	ParlaMint-BE_2018-02-07-54-commissie-ic815x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-02-2018	2018-02-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	ThiéryDamien	Thiéry, Damien	M	1963	
ParlaMint-BE-en_2018-02-07-54-commissie-ic815x	ParlaMint-BE_2018-02-07-54-commissie-ic815x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-02-2018	2018-02-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	VandeputSteven	Vandeput, Steven	M	1967	
ParlaMint-BE-en_2018-02-07-54-commissie-ic815x	ParlaMint-BE_2018-02-07-54-commissie-ic815x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-02-2018	2018-02-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	HellingsBenoit	Hellings, Benoit	M	1978	
ParlaMint-BE-en_2018-02-07-54-commissie-ic815x	ParlaMint-BE_2018-02-07-54-commissie-ic815x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-02-2018	2018-02-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	VandeputSteven	Vandeput, Steven	M	1967	
ParlaMint-BE-en_2018-02-07-54-commissie-ic815x	ParlaMint-BE_2018-02-07-54-commissie-ic815x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-02-2018	2018-02-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	HellingsBenoit	Hellings, Benoit	M	1978	
ParlaMint-BE-en_2018-02-07-54-commissie-ic815x	ParlaMint-BE_2018-02-07-54-commissie-ic815x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-02-2018	2018-02-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	FernandezFernandezJulie	Fernandez Fernandez, Julie	F	1972	
ParlaMint-BE-en_2018-02-07-54-commissie-ic815x	ParlaMint-BE_2018-02-07-54-commissie-ic815x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-02-2018	2018-02-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	VanderMaelenDirk	Van der Maelen, Dirk	M	1953	
ParlaMint-BE-en_2018-02-07-54-commissie-ic815x	ParlaMint-BE_2018-02-07-54-commissie-ic815x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-02-2018	2018-02-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	CrusnièreStéphane	Crusnière, Stéphane	M	1967	
ParlaMint-BE-en_2018-02-07-54-commissie-ic815x	ParlaMint-BE_2018-02-07-54-commissie-ic815x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-02-2018	2018-02-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	VandeputSteven	Vandeput, Steven	M	1967	
ParlaMint-BE-en_2018-02-07-54-commissie-ic815x	ParlaMint-BE_2018-02-07-54-commissie-ic815x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-02-2018	2018-02-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	CrusnièreStéphane	Crusnière, Stéphane	M	1967	
ParlaMint-BE-en_2018-02-07-54-commissie-ic815x	ParlaMint-BE_2018-02-07-54-commissie-ic815x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-02-2018	2018-02-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	ThiéryDamien	Thiéry, Damien	M	1963	
ParlaMint-BE-en_2018-02-07-54-commissie-ic815x	ParlaMint-BE_2018-02-07-54-commissie-ic815x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-02-2018	2018-02-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	DallemagneGeorges	Dallemagne, Georges	M	1958	
ParlaMint-BE-en_2018-02-07-54-commissie-ic815x	ParlaMint-BE_2018-02-07-54-commissie-ic815x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-02-2018	2018-02-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	ThiéryDamien	Thiéry, Damien	M	1963	
ParlaMint-BE-en_2018-02-07-54-commissie-ic815x	ParlaMint-BE_2018-02-07-54-commissie-ic815x.u17	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-02-2018	2018-02-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	VandeputSteven	Vandeput, Steven	M	1967	
ParlaMint-BE-en_2018-02-07-54-commissie-ic815x	ParlaMint-BE_2018-02-07-54-commissie-ic815x.u18	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-02-2018	2018-02-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	DallemagneGeorges	Dallemagne, Georges	M	1958	
ParlaMint-BE-en_2018-02-07-54-commissie-ic815x	ParlaMint-BE_2018-02-07-54-commissie-ic815x.u19	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-02-2018	2018-02-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	TopAlain	Top, Alain	M	1965	
ParlaMint-BE-en_2018-02-07-54-commissie-ic815x	ParlaMint-BE_2018-02-07-54-commissie-ic815x.u20	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-02-2018	2018-02-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	VandeputSteven	Vandeput, Steven	M	1967	
ParlaMint-BE-en_2018-02-07-54-commissie-ic815x	ParlaMint-BE_2018-02-07-54-commissie-ic815x.u21	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-02-2018	2018-02-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	TopAlain	Top, Alain	M	1965	
ParlaMint-BE-en_2018-02-07-54-commissie-ic815x	ParlaMint-BE_2018-02-07-54-commissie-ic815x.u22	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-02-2018	2018-02-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	VandeputSteven	Vandeput, Steven	M	1967	
