Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2018-03-12-54-commissie-ic839x	ParlaMint-BE_2018-03-12-54-commissie-ic839x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-03-2018	2018-03-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2018-03-12-54-commissie-ic839x	ParlaMint-BE_2018-03-12-54-commissie-ic839x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-03-2018	2018-03-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	DucarmeDenis	Ducarme, Denis	M	1973	
ParlaMint-BE-en_2018-03-12-54-commissie-ic839x	ParlaMint-BE_2018-03-12-54-commissie-ic839x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-03-2018	2018-03-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	DeBlockMaggie	De Block, Maggie	F	1962	
ParlaMint-BE-en_2018-03-12-54-commissie-ic839x	ParlaMint-BE_2018-03-12-54-commissie-ic839x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-03-2018	2018-03-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	PeetersKris	Peeters, Kris	M	1962	
ParlaMint-BE-en_2018-03-12-54-commissie-ic839x	ParlaMint-BE_2018-03-12-54-commissie-ic839x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-03-2018	2018-03-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	DiricksHerman	Diricks, Herman	U	-	
ParlaMint-BE-en_2018-03-12-54-commissie-ic839x	ParlaMint-BE_2018-03-12-54-commissie-ic839x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-03-2018	2018-03-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	NolletJeanMarc	Nollet, Jean-Marc	M	1970	
ParlaMint-BE-en_2018-03-12-54-commissie-ic839x	ParlaMint-BE_2018-03-12-54-commissie-ic839x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-03-2018	2018-03-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	NolletJeanMarc	Nollet, Jean-Marc	M	1970	
ParlaMint-BE-en_2018-03-12-54-commissie-ic839x	ParlaMint-BE_2018-03-12-54-commissie-ic839x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-03-2018	2018-03-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	NolletJeanMarc	Nollet, Jean-Marc	M	1970	
ParlaMint-BE-en_2018-03-12-54-commissie-ic839x	ParlaMint-BE_2018-03-12-54-commissie-ic839x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-03-2018	2018-03-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	NolletJeanMarc	Nollet, Jean-Marc	M	1970	
ParlaMint-BE-en_2018-03-12-54-commissie-ic839x	ParlaMint-BE_2018-03-12-54-commissie-ic839x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-03-2018	2018-03-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	SenesaelDaniel	Senesael, Daniel	M	1957	
ParlaMint-BE-en_2018-03-12-54-commissie-ic839x	ParlaMint-BE_2018-03-12-54-commissie-ic839x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 12-03-2018	2018-03-12	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	DedryAnne	Dedry, Anne	F	1956	
