Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2018-06-06-54-commissie-ic913x	ParlaMint-BE_2018-06-06-54-commissie-ic913x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-06-2018	2018-06-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	FlahauxJeanJacques	Flahaux, Jean-Jacques	M	1955	
ParlaMint-BE-en_2018-06-06-54-commissie-ic913x	ParlaMint-BE_2018-06-06-54-commissie-ic913x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-06-2018	2018-06-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DemirZuhal	Demir, Zuhal	F	1980	
ParlaMint-BE-en_2018-06-06-54-commissie-ic913x	ParlaMint-BE_2018-06-06-54-commissie-ic913x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-06-2018	2018-06-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	FlahauxJeanJacques	Flahaux, Jean-Jacques	M	1955	
ParlaMint-BE-en_2018-06-06-54-commissie-ic913x	ParlaMint-BE_2018-06-06-54-commissie-ic913x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-06-2018	2018-06-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	HellingsBenoit	Hellings, Benoit	M	1978	
ParlaMint-BE-en_2018-06-06-54-commissie-ic913x	ParlaMint-BE_2018-06-06-54-commissie-ic913x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-06-2018	2018-06-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	HellingsBenoit	Hellings, Benoit	M	1978	
ParlaMint-BE-en_2018-06-06-54-commissie-ic913x	ParlaMint-BE_2018-06-06-54-commissie-ic913x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-06-2018	2018-06-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	VanHeesMarco	Van Hees, Marco	M	1964	
ParlaMint-BE-en_2018-06-06-54-commissie-ic913x	ParlaMint-BE_2018-06-06-54-commissie-ic913x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-06-2018	2018-06-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DemirZuhal	Demir, Zuhal	F	1980	
ParlaMint-BE-en_2018-06-06-54-commissie-ic913x	ParlaMint-BE_2018-06-06-54-commissie-ic913x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-06-2018	2018-06-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	HellingsBenoit	Hellings, Benoit	M	1978	
ParlaMint-BE-en_2018-06-06-54-commissie-ic913x	ParlaMint-BE_2018-06-06-54-commissie-ic913x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-06-2018	2018-06-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	VanHeesMarco	Van Hees, Marco	M	1964	
ParlaMint-BE-en_2018-06-06-54-commissie-ic913x	ParlaMint-BE_2018-06-06-54-commissie-ic913x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-06-2018	2018-06-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanHoofEls	Van Hoof, Els	F	1969	
ParlaMint-BE-en_2018-06-06-54-commissie-ic913x	ParlaMint-BE_2018-06-06-54-commissie-ic913x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-06-2018	2018-06-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DemirZuhal	Demir, Zuhal	F	1980	
ParlaMint-BE-en_2018-06-06-54-commissie-ic913x	ParlaMint-BE_2018-06-06-54-commissie-ic913x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-06-2018	2018-06-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanHoofEls	Van Hoof, Els	F	1969	
ParlaMint-BE-en_2018-06-06-54-commissie-ic913x	ParlaMint-BE_2018-06-06-54-commissie-ic913x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-06-2018	2018-06-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	HellingsBenoit	Hellings, Benoit	M	1978	
ParlaMint-BE-en_2018-06-06-54-commissie-ic913x	ParlaMint-BE_2018-06-06-54-commissie-ic913x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-06-2018	2018-06-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	VanHeesMarco	Van Hees, Marco	M	1964	
ParlaMint-BE-en_2018-06-06-54-commissie-ic913x	ParlaMint-BE_2018-06-06-54-commissie-ic913x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-06-2018	2018-06-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	HellingsBenoit	Hellings, Benoit	M	1978	
ParlaMint-BE-en_2018-06-06-54-commissie-ic913x	ParlaMint-BE_2018-06-06-54-commissie-ic913x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-06-2018	2018-06-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DemirZuhal	Demir, Zuhal	F	1980	
ParlaMint-BE-en_2018-06-06-54-commissie-ic913x	ParlaMint-BE_2018-06-06-54-commissie-ic913x.u17	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-06-2018	2018-06-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	VanHeesMarco	Van Hees, Marco	M	1964	
ParlaMint-BE-en_2018-06-06-54-commissie-ic913x	ParlaMint-BE_2018-06-06-54-commissie-ic913x.u18	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-06-2018	2018-06-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	KitirMeryame	Kitir, Meryame	F	1980	
ParlaMint-BE-en_2018-06-06-54-commissie-ic913x	ParlaMint-BE_2018-06-06-54-commissie-ic913x.u19	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-06-2018	2018-06-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	VanHeesMarco	Van Hees, Marco	M	1964	
ParlaMint-BE-en_2018-06-06-54-commissie-ic913x	ParlaMint-BE_2018-06-06-54-commissie-ic913x.u20	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-06-2018	2018-06-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	HellingsBenoit	Hellings, Benoit	M	1978	
ParlaMint-BE-en_2018-06-06-54-commissie-ic913x	ParlaMint-BE_2018-06-06-54-commissie-ic913x.u21	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-06-2018	2018-06-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DemirZuhal	Demir, Zuhal	F	1980	
ParlaMint-BE-en_2018-06-06-54-commissie-ic913x	ParlaMint-BE_2018-06-06-54-commissie-ic913x.u22	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-06-2018	2018-06-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	KitirMeryame	Kitir, Meryame	F	1980	
ParlaMint-BE-en_2018-06-06-54-commissie-ic913x	ParlaMint-BE_2018-06-06-54-commissie-ic913x.u23	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-06-2018	2018-06-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	VanHeesMarco	Van Hees, Marco	M	1964	
